isoform_id	gene_id	counts_E65	counts_E75	counts_E85	prop_E65	prop_E75	prop_E85	prop_diff_E65_E85	trend	gene_name
ENSMUST00000026658	ENSMUSG00000025571	0	6.31706796366925	66.0892752806076	0	0.0543892213245787	0.99611343343399	0.99611343343399	increasing	Tnrc6c
ENSMUST00000138299	ENSMUSG00000025571	63.946857035759	109.828517684098	0.257862567711774	1	0.945610778675421	0.0038865665660106	-0.996113433433989	decreasing	Tnrc6c
ENSMUST00000092822	ENSMUSG00000059439	0.222185124291983	3.78823837279446	19.9079529011938	0.00847567496145145	0.712723120377902	0.966561904995291	0.95808623003384	increasing	Bcas3
ENSMUST00000108062	ENSMUSG00000059439	25.9922609584698	1.5269229633298	0.688713280565952	0.991524325038549	0.287276879622098	0.0334380950047087	-0.95808623003384	decreasing	Bcas3
ENSMUST00000030088	ENSMUSG00000028392	283.606066614334	8.64545399051423	0	0.956342821746281	0.429850428621793	0	-0.956342821746281	decreasing	Bspry
ENSMUST00000107449	ENSMUSG00000028392	12.9466550304728	11.467248975105	0.555360312794086	0.0436571782537191	0.570149571378207	1	0.956342821746281	increasing	Bspry
ENSMUST00000076251	ENSMUSG00000074405	0.175141037035445	18.2057449170411	8.38072477293805	0.0143151250480115	0.520450318340746	0.966051250265361	0.95173612521735	increasing	Zfp865
ENSMUST00000207193	ENSMUSG00000074405	12.0595433578294	16.7750097783985	0.294513492770918	0.985684874951989	0.479549681659254	0.033948749734639	-0.95173612521735	decreasing	Zfp865
ENSMUST00000057884	ENSMUSG00000023170	89.286162567002	54.7073850784956	0.633830293624314	0.894334349790684	0.812940479185959	0.00794168530690688	-0.886392664483777	decreasing	Gps2
ENSMUST00000116358	ENSMUSG00000023170	10.5491647777423	12.5882982823293	79.1767223951194	0.105665650209316	0.187059520814041	0.992058314693093	0.886392664483777	increasing	Gps2
ENSMUST00000139231	ENSMUSG00000052419	117.198510804225	6.58309459190895	0.898886871070035	0.947337218387031	0.422875634474246	0.0730315612450074	-0.874305657142024	decreasing	Smim30
ENSMUST00000185219	ENSMUSG00000052419	6.51510302778638	8.98435374332938	11.4093105129957	0.0526627816129688	0.577124365525754	0.926968438754993	0.874305657142024	increasing	Smim30
ENSMUST00000027250	ENSMUSG00000037138	1.75309335160344	6.86319671838652	49.546872873306	0.0983767753203302	0.179816341782023	0.969374541195994	0.870997765875664	increasing	Aff3
ENSMUST00000238906	ENSMUSG00000037138	16.0671019729037	31.3046174545113	1.56533481081173	0.90162322467967	0.820183658217977	0.0306254588040056	-0.870997765875664	decreasing	Aff3
ENSMUST00000236361	ENSMUSG00000039615	0.335310402481335	2.58791978807401	461.752656444499	0.00790299212113537	0.073058407226726	0.873554318959348	0.865651326838213	increasing	Stub1
ENSMUST00000049780	ENSMUSG00000037426	24.7636941446486	9.88998496860552	0.600074673578715	0.975079153899608	0.453758014561092	0.124742684675559	-0.850336469224049	decreasing	Depdc5
ENSMUST00000118698	ENSMUSG00000037426	0.63290473208035	11.9057401783582	4.21042523781439	0.024920846100392	0.546241985438907	0.875257315324441	0.850336469224049	increasing	Depdc5
ENSMUST00000178271	ENSMUSG00000094870	47.3417760914155	30.2553482168202	2.85933328958552	0.932937871494875	0.34116220222604	0.0834044326559574	-0.849533438838917	decreasing	Zfp131
ENSMUST00000223722	ENSMUSG00000094870	3.40305648308202	58.427829519189	31.4234164220545	0.0670621285051252	0.65883779777396	0.916595567344043	0.849533438838917	increasing	Zfp131
ENSMUST00000167204	ENSMUSG00000027797	0.186763328231175	2.01224239342575	12.6416584391829	0.0112011289363638	0.440756586601766	0.859171377648649	0.847970248712286	increasing	Dclk1
ENSMUST00000199585	ENSMUSG00000027797	16.4868531699113	2.5531854517714	2.07212133520873	0.988798871063636	0.559243413398234	0.140828622351351	-0.847970248712286	decreasing	Dclk1
ENSMUST00000199817	ENSMUSG00000054099	38.4947839054979	21.1892067262249	6.58972418624084	0.971378289155987	0.50953508908803	0.125313206143506	-0.846065083012482	decreasing	Slc25a40
ENSMUST00000169503	ENSMUSG00000020954	80.5906334353415	17.8848001149837	0.559848842015408	0.816891745094036	0.0636397455129908	0.0030378401999397	-0.813853904894096	decreasing	Strn3
ENSMUST00000057089	ENSMUSG00000020453	29.4230373893293	62.6712492184089	2.132474543523	0.852528711780247	0.508244046660175	0.0396454421132647	-0.812883269666983	decreasing	Patz1
ENSMUST00000098814	ENSMUSG00000056394	161.588944401557	3.0778689127969	2.08155630749786	0.862765007348035	0.723445165927656	0.0518990421457699	-0.810865965202265	decreasing	Lig1
ENSMUST00000146998	ENSMUSG00000056394	25.7030099838541	1.17659162928195	38.0262418605561	0.137234992651965	0.276554834072344	0.94810095785423	0.810865965202265	increasing	Lig1
ENSMUST00000174479	ENSMUSG00000071454	0.182228925259939	8.41148476381129	26.4699780654841	0.00558947995904289	0.210163445448534	0.809458173578778	0.803868693619735	increasing	Dtnb
