n_studies	n_junctions	gtag_rate	n_total_studies
1	1509066	0.4942116514453311	13
2	304853	0.6405152647341505	13
3	137365	0.6612674262002693	13
4	86003	0.6882434333686034	13
5	63162	0.7116462429942054	13
6	51307	0.7364297269378447	13
7	43815	0.7633458861120621	13
8	38535	0.7892565200467108	13
9	34089	0.8140749215289389	13
10	29611	0.8454966059910168	13
11	27280	0.8960043988269795	13
12	27124	0.9421545494764784	13
13	16983	0.9696166754990284	13
