gse	labeled_frac
GSE224045	1.0
GSE289790	0.9992586228653506
GSE303762	0.9986537754141611
GSE248118	0.9948971110896309
GSE283658	0.992781157901318
GSE130708	0.992681417524787
GSE274249	0.9827450985528535
GSE307660	0.9823581767425237
GSE178175	0.9818688550201022
GSE276974	0.9404198857373974
GSE283629	0.9200470886510129
GSE212945	0.8678634918228939
GSE301658	0.817225797172854
GSE288222	0.4024821936258343
GSE158450	0.0
