gse	tissue	cell_type	splice_reads	novel_reads	novel_frac
GSE292324	AML marrow (PacBio)	B cell	8333214	4273192	0.5127903831582868
GSE292324	AML marrow (PacBio)	Dendritic cell	6320970	3149064	0.49819315706291917
GSE292324	AML marrow (PacBio)	NK cell	72130480	35928374	0.49810252198515803
GSE292324	AML marrow (PacBio)	Granulo/Myeloid	187115814	92875083	0.49635079480775474
GSE292324	AML marrow (PacBio)	T cell	6150233	3014045	0.4900700510045717
GSE292324	AML marrow (PacBio)	Monocyte	187988264	80034029	0.42573949722733756
GSE292324	AML marrow (PacBio)	Erythroid	1404727	116441	0.0828922630518243
