	n_runs
DNAJA1	24
CRAT	24
PLIN3	24
MANBAL	24
NAGLU	24
VHL	24
SLCO4A1	24
AGPAT2	24
MRPS2	24
STOM	24
KIF9	24
ISG15	24
EIF3H	24
CAT	24
HTATIP2	24
SYVN1	24
CCDC12	24
GNAS	24
CD93	24
PDCD4	24
ATMIN	24
ZNF598	24
SDHAF1	24
CCDC25	24
CD82	24
P3H4	24
METTL2A	24
MOB2	24
RPSA	24
LSM7	24
RHOT2	24
TMED2	24
CAVIN3	24
PELP1	24
GDE1	24
PSMC2	24
PDK2	24
C19orf73	24
DYNLT3	24
PLXNA3	24
TMBIM4	24
ENSG00000278743	24
TKFC	24
BOLA2	24
AURKB	24
SH3BGRL	24
SLC35C2	24
QPRT	23
CTSH	23
PRDX3	23
EEF1D	23
CD151	23
MTMR6	23
SET	23
LSM5	23
SRSF6	23
SELENOW	23
NGDN	23
LDAF1	23
ZFAND1	23
SLC35C1	23
ZNF681	23
HPF1	23
RCN2	23
NOA1	23
ENSG00000257732	23
FDX2	23
MPG	23
MAN1B1	23
CTU2	23
PWWP3A	23
REEP5	23
NAXE	23
IGBP1	23
C4orf33	23
RASD1	23
DDT	23
DDOST	23
MAGED2	23
NUFIP1	23
RNF113A	23
C4orf46	23
SRSF8	23
DUSP3	23
ENSG00000278376	23
NCBP2	23
ENSG00000254682	23
MUSTN1	23
MPHOSPH6	23
ENSG00000289084	23
TMEM68	23
USP11	23
TAX1BP3	23
LIME1	23
ZDHHC9	23
ENSG00000289019	23
EIF4B	23
ILVBL	23
TFE3	23
MRPS17	23
RPS28	23
PLA2G4B	23
PSMD9	23
POLR1E	23
THAP9-AS1	23
ISCU	22
ENSG00000267058	22
SYDE1	22
NEIL2	22
EFEMP2	22
FDXR	22
UBA52	22
IDS	22
FAM78A	22
PHYH	22
KHNYN	22
PIM3	22
PUS3	22
ENHO	22
SUV39H1	22
ALAD	22
RPL39	22
FLNA	22
MGP	22
KBTBD7	22
AP1S1	22
ENSG00000280195	22
TGS1	22
HDAC10	22
HIGD1A	22
PDLIM3	22
POMP	22
UBE2G2	22
JAGN1	22
VDAC1	22
RPL14	22
HOXB2	22
UBAC1	22
CDKN2A	22
SPPL2B	22
KPNB1	22
SNRPD2	22
SF1	22
PSAT1	22
NDUFS8	22
RPS6	22
PCBD1	22
BEX4	22
IRAK1	22
MDH2	22
HMGCL	22
HNRNPDL	22
RSKR	22
TMEM161A	22
CALM1	22
ABRAXAS1	22
UBAC2-AS1	22
SLC25A19	22
SHARPIN	22
NANS	22
FN3K	22
ENSG00000290396	22
ENSG00000288899	22
NSDHL	22
SRRD	22
ENSG00000277368	22
LYPLA2	22
MCPH1-DT	21
CDK3	21
DNAJA3	21
ENSG00000289306	21
PGLS	21
SAP18	21
TSPAN6	21
DNAJB11	21
NOC2L	21
SEPTIN9	21
NCBP2AS2	21
NAP1L5	21
ADH5	21
B3GAT3	21
ST6GALNAC6	21
ANXA5	21
NUCB1	21
DMKN	21
RPL7	21
ENSG00000289001	21
ENSG00000289515	21
HEXA-AS1	21
VPS25	21
GUCD1	21
VASN	21
CDC42SE1	21
PBDC1	21
ENSG00000288939	21
MIR503HG	21
RAB5IF	21
NUMA1	21
S100P	21
IRF7	21
PYM1	21
RGS16	21
MYZAP	21
MAP1LC3A	21
NAGPA	21
TXNIP	21
FKBP10	21
UQCR10	21
GET1	21
THEM4	21
NAT9	21
HNRNPUL1	21
AAMP	21
DYNLL1	21
ILF3-DT	21
MRGBP	21
CYB5D2	21
NOP14-AS1	21
BSG-AS1	21
NOMO1	21
CSNK2A3	21
FAM241B	21
ENSG00000225411	21
CCNB1IP1	21
GRWD1	21
TSPAN4	21
CCDC34	21
CRELD1	21
ATRAID	21
LGALS3BP	21
WASHC1	21
ENSG00000291066	21
PER1	21
TMEM186	21
HAUS7	21
HSPH1	21
AKAP1	21
NEURL2	21
CDKN2D	21
RAB1B	21
GASK1B	21
MAPRE1	21
XPA	21
GEMIN4	21
TRAPPC2B	21
GSTZ1	20
TRAM1	20
CMC2	20
STK16	20
SLC25A39	20
CHCHD2	20
NELFB	20
TCIRG1	20
GLIPR1	20
AIFM1	20
ZNF699	20
AFG3L2	20
NDUFA1	20
GTF3A	20
RFXAP	20
CEP55	20
SKA1	20
NARS1	20
FBXO22	20
SCO2	20
CLUH	20
KDELR2	20
CDK5RAP2	20
MAN1B1-DT	20
LAP3	20
GFUS	20
CHMP2B	20
CKB	20
LOXL1	20
OMA1	20
ARF3	20
RRAGC	20
HERC2P7	20
CINP	20
CDC123	20
ECH1	20
TCIM	20
RAB8A	20
SNHG17	20
AGTRAP	20
MON1B	20
PCNP	20
SUCLG1	20
POLR2A	20
UQCRQ	20
ARPP19	20
PDCD4-AS1	20
CSTB	20
GPX4	20
ZNF675	20
GEM	20
SKIC8	20
HDHD3	20
VCPKMT	20
SERP2	20
IFITM2	20
FHL1	20
ARL2	20
LAMTOR1	20
ISG20	20
ZNF275	20
TAF9B	19
RNF166	19
CCNA2	19
RWDD3	19
RNF167	19
SLC35A5	19
MRPL13	19
NDUFB6	19
ENSG00000274828	19
ENSG00000273226	19
BEX2	19
PIGBOS1	19
RPL10	19
NECAB3	19
ADAMTS1	19
ENSG00000288841	19
GTPBP4	19
PSMG1	19
MRPL37	19
BORCS7	19
PHF19	19
NEMF	19
ZNF106	19
TRABD	19
MORF4L2	19
FBXL3	19
PTP4A3	19
LSM8	19
EIF3F	19
CREG1	19
KLHDC2	19
PIGP	19
TRIP4	19
IFT27	19
CASTOR1	19
LINC02352	19
CA5BP1	19
MICOS10	19
SSR4	19
ITM2A	19
NEURL1B	19
FGFR1OP2	19
G0S2	19
NANOS1	19
HPS4	19
JAG2	19
ASMTL	19
ENSG00000289528	19
ENSG00000275764	19
ENSG00000291272	19
UPRT	19
CASP4	19
EIF1AX	19
RPL13	19
AKAP17A	19
RAB14	19
GOSR2	19
PHF11	19
CRACR2B	19
SLC9A3-AS1	19
SCRIB	19
GMPPB	19
NDUFS7	19
ARHGAP4	19
PDCD6	19
MFF	19
ARMC1	19
ROMO1	19
OSGEP	19
NT5C3A	19
PTGR1	19
BET1L	19
GTF2B	19
MTFR1L	19
CBX1	19
NDUFS6	19
RUNDC1	19
ENSG00000272991	19
RPL30	19
DUS1L	19
PSMC3	19
MEN1	19
HSBP1	19
NPIPB15	19
DNASE1L1	19
ZBTB33	19
MRPL52	19
ARHGAP1	19
ATG16L2	19
TAF9	18
AKR1C1	18
ATG9A	18
WDR18	18
STXBP2	18
ITGB2-AS1	18
RAB38	18
ETFB	18
PGGHG	18
TPP1	18
AIF1L	18
GSKIP	18
C1QB	18
ENSG00000276007	18
PTPN2	18
C20orf96	18
MAP7D3	18
FXN	18
KLF9	18
KDELR3	18
OSBPL7	18
PSMA4	18
SNU13	18
ENSG00000273017	18
EMC8	18
ANKRD20A11P	18
FRAT2	18
CHMP1B	18
LINC00667	18
RNF14	18
METTL3	18
MYOM2	18
SNRPN	18
MIR210HG	18
ZNF749	18
FAM110A	18
GOLT1B	18
VPS9D1	18
TEX264	18
ZFYVE21	18
EME1	18
PREB	18
KPNA2	18
DENND10	18
OAZ2	18
CBX6	18
NHERF1	18
NEDD8	18
KIF23	18
LINC00339	18
MRPS6	18
ENSG00000261141	18
ERI1	18
MCAT	18
RPS9	18
LINC02067	18
SOD3	18
KLHL17	18
SNHG6	18
AIFM2	18
LRP3	18
CAP1	18
CXorf38	18
DPH3	18
GSTP1	18
MPDU1	18
MAD2L1	18
FANCF	18
PNMA3	18
TBC1D10C	18
WDR55	18
RRAS	18
EEF1A2	18
CBR1	18
MBIP	18
LINC01089	18
ESF1	18
CRBN	18
C3orf38	18
FAM86C2P	18
NDEL1	18
TCTA	18
BAIAP2-DT	18
CDK1	18
TIGD5	18
WDR6	18
ZNF224	18
FADD	18
RABGGTB	18
VASP	18
MPND	18
ZNF724	18
RAB29	18
CDK20	18
THAP1	18
ETFRF1	18
ARRB2	18
ZFAS1	18
MMADHC	17
EHD1	17
NAA16	17
IL32	17
ATG3	17
RPL3	17
METTL22	17
PFN1	17
GOT2	17
SPATC1L	17
SMCO4	17
LONRF1	17
RPS21	17
ACTR1A	17
RHBDF1	17
ASNSD1	17
OAF	17
LIN7C	17
MLST8	17
SRA1	17
ID3	17
TMEM106C	17
NAA10	17
CD47	17
ENSG00000261889	17
CUL5	17
FRMD8	17
ENSG00000275741	17
SRP14-DT	17
DRG2	17
CFAP97	17
CLPTM1L	17
SF3A2	17
TMEM185A	17
DMTN	17
LACTB	17
TSPAN3	17
CKAP2	17
DHRS4	17
DNAL4	17
SHCBP1	17
EIF2B1	17
TMEM50B	17
ADGRE3	17
RPL7A	17
ISOC1	17
SOCS3	17
ATP6AP1	17
PPM1K	17
ENSG00000277383	17
C9orf85	17
TM7SF2	17
DUSP1	17
JRK	17
CISH	17
GTPBP8	17
NDUFA11	17
RFNG	17
MXRA8	17
LINC00526	17
PDRG1	17
HSPA5	17
PCMTD1-DT	17
TMEM107	17
USB1	17
PPP2CA	17
SNHG7	17
SMARCD2	17
TBKBP1	17
NOP56	17
TM4SF1	17
ESD	17
GZMA	17
CLEC11A	17
SORBS3	17
GTPBP6	17
LINC02916	17
NDUFA3	17
EIF1B	17
ENSG00000259623	17
RPUSD3	17
AARS1	17
NFATC4	17
MKNK2	17
GET4	17
ZNF17	17
ENSG00000273338	17
ZFAND5	17
PEX11A	17
SNURF	17
TOLLIP-DT	17
GPRC5C	17
TMEM147	17
GSTM4	17
PNPO	17
TMEM42	17
TMEM187	17
CORO1A	17
IFIT1	17
CTSW	17
EIF2AK4	17
FAM50A	16
JCHAIN	16
IFRD2	16
PDIA3	16
SNX11	16
CCDC47	16
HADHB	16
SPNS1	16
PCMTD1	16
LPAR2	16
ZNF761	16
TRIM32	16
FLYWCH2	16
C1orf174	16
POLR2I	16
ATXN7L3B	16
SERPINH1	16
HMOX2	16
RPL4	16
BLVRA	16
THUMPD3	16
MRPL34	16
AHSA1	16
SMIM19	16
MIS18A	16
ENSG00000272173	16
ENSG00000176868	16
CDCA4	16
ISG20L2	16
OXA1L	16
MSL3	16
HNRNPF	16
EDNRB	16
DHCR24	16
RRM1	16
MID1IP1	16
OFD1	16
RIN1	16
AURKAIP1	16
ABHD11	16
UROD	16
FKBP1A	16
SYCE1L	16
ALKBH5	16
TMEM80	16
PSMC5	16
E4F1	16
COPE	16
TXNL1	16
PLS3	16
PRKACB-DT	16
RRP7A	16
CALM2	16
KBTBD6	16
RPL17	16
ANAPC4	16
LRRC8A	16
NUDT7	16
CAPN10	16
CDC34	16
ARL6IP4	16
SETD6	16
SDHAF3	16
RAB4B	16
SLC48A1	16
PP7080	16
ENSG00000254910	16
ZMYM3	16
DYNLRB2	16
ENSG00000267503	16
TSPO	16
COPS7A	16
FASTK	16
PDHA1	16
RNPEPL1	16
SH3TC1	16
POP5	16
TP53INP1	16
RBBP7	16
PTPMT1	16
EIF2A	16
GDF15	16
ERAL1	16
PIGW	16
COPS4	16
TMX1	16
GPKOW	16
RSL1D1	16
PIGA	16
ENSG00000289161	16
UBA1	16
SLC39A3	16
ISCA1	16
EEF1AKMT4	16
ENSG00000291107	16
BIRC5	16
C11orf58	16
HMGN1	16
KLHDC8B	16
RPAIN	16
SNRPF	16
MVP-DT	16
ARMCX1	16
ENSG00000273619	16
SPTAN1	16
PAXIP1-DT	16
ENSG00000262663	16
RABAC1	16
SUMF2	16
CACYBP	16
COG4	16
PPA1	16
SPATA20	16
SGCA	16
NUDT18	16
SCAMP2	16
UBXN6	16
OSTC	16
SPOUT1	16
WDR73	16
TRAPPC2	16
CHCHD4	15
TACC3	15
SMIM10L1	15
STEEP1	15
SNHG16	15
CPTP	15
HNRNPA3	15
LYPLAL1	15
APBB3	15
RCBTB1	15
NDST2	15
SMC5	15
RBIS	15
NFE2L1	15
BACH1-IT3	15
ELAC2	15
MUS81	15
NET1	15
UBXN1	15
CHIC2	15
ENSG00000276672	15
SLC16A13	15
TMEM259	15
ORMDL1	15
CHPF	15
RPL26	15
FTSJ3	15
TRAPPC4	15
AP1S2	15
USO1	15
OXCT1	15
ZNF138	15
HEXB	15
ENSG00000290849	15
RPL12	15
SRSF10	15
ENSG00000268205	15
SUPT5H	15
FYTTD1	15
EIF5A	15
RPS3A	15
DVL1	15
RBM26-AS1	15
JKAMP	15
SUPT6H	15
TMEM43	15
SH3BGR	15
ZDHHC6	15
DSTN	15
PHB2	15
COX11	15
PAOX	15
PLA2G15	15
KLF2	15
TXNDC12	15
PABIR1	15
ODF2	15
HBB	15
TASL	15
MT1M	15
THOC1	15
BCL2L2	15
NUDT2	15
FAM3C	15
SETDB2	15
CAPZA1	15
FDFT1	15
TPD52L2	15
BABAM1	15
PEX10	15
MS4A4A	15
DCTN6	15
LBHD1	15
GBA3	15
RPS16	15
RPL36A	15
CLP1	15
BORCS6	15
UBTD1	15
ABI3	15
TNIP2	15
PSMF1	15
GBA2	15
NAIF1	15
UCP2	15
SLC28A2-AS1	15
CRNKL1	15
RAB11B-AS1	15
CD40	15
MIF4GD	15
FAM153CP	15
ALDH1B1	15
ZNF7	15
OAZ1	15
CENPC	15
RABL6	15
TM2D3	15
RNF114	15
COL6A1	15
SLC25A25-AS1	15
SLC29A2	15
RPRD1A	15
KCTD17	15
SETD4	15
HSPA13	15
PGP	15
BTBD3	15
ENSG00000272447	15
CCNDBP1	15
ZNF330	15
ATP8B1-AS1	15
INTS11	15
SRGN	15
SMS	15
NUP88	15
ADGRG1	15
KXD1	15
DEF8	15
GABARAPL1	15
BTF3	15
MAGEF1	15
PSMD13	15
COPRS	15
FXYD5	15
PRPS2	15
TMEM41B	15
COMMD4	15
ENSG00000289317	15
NME2	15
BEND5	15
ENSG00000274383	14
FBL	14
ELP6	14
HILPDA	14
ADAM8	14
TMUB2	14
CXCL16	14
MFAP4	14
METTL25B	14
DHX38	14
ARL4D	14
MED17	14
ARAF	14
ROGDI	14
ENSG00000274422	14
ENSG00000286190	14
ELMOD2	14
EXOSC7	14
ZNF593	14
ASMTL-AS1	14
SAR1A	14
RIOK2	14
NAT1	14
BACE1-AS	14
VPS9D1-AS1	14
PLEKHB1	14
TSEN54	14
CITED1	14
SUPT16H	14
DERL1	14
ATP5MC3	14
PSMB4	14
LGMN	14
GDI1	14
SGSH	14
BIVM	14
GOLGA6L9	14
SPINT1	14
ASB9	14
EXOSC5	14
TYMP	14
GALC	14
CYB5B	14
RBM18	14
PHKG2	14
S100B	14
HNRNPK	14
PINK1	14
ENSG00000259891	14
SERPINE2	14
IRX3	14
CYTL1	14
N4BP2L2-IT2	14
ZC3H18	14
RNASEH2C	14
TOB2	14
PPID	14
SLC25A6	14
FNBP1	14
NEPRO	14
VMA21	14
ZNF267	14
KIAA1191	14
RIT1	14
MCTS1	14
ENSG00000289295	14
MAPK7	14
ENSG00000264066	14
ARRDC1-AS1	14
TMED4	14
PRKCD	14
TUBA1A	14
USP22	14
PIAS4	14
KRBOX4	14
MPP1	14
MASTL	14
PDCD5	14
C1GALT1C1	14
RGS3	14
SPATA33	14
RAD17	14
PRG2	14
POLR2M	14
SPARC	14
ENSG00000288983	14
MSN	14
ENSG00000288744	14
ZNF226	14
EPHB6	14
TMEM11	14
ENSG00000289067	14
ANXA7	14
LBR	14
HADHA	14
RAD51-AS1	14
BNIP3L	14
MCAM	14
CST7	14
ZNF529-AS1	14
PAIP1	14
WRAP73	14
EEF2	14
GDPD5	14
NDUFB7	14
ENC1	14
ENSG00000289017	14
ZFP36L1	14
DTD2	14
EIF4EBP2	14
PLSCR3	14
TCF25	14
SNW1	14
HAT1	14
POMGNT1	14
ENSG00000289579	14
ENSG00000246851	14
IFFO1	14
PPP1R3C	14
FLOT2	14
MSX1	14
ENSG00000226332	14
BORA	14
ZNF304	14
MIS12	14
MRPS33	14
C15orf40	14
PLAAT3	14
ERV3-1	14
WAPL-DT	14
NEIL1	14
THRAP3	14
MRPS9	14
EI24	14
CDC42EP1	14
ENSG00000275457	14
TPM2	14
RAB26	14
VPS26B	14
IFIT5	14
HECTD3	14
NAP1L3	14
STBD1	14
TPM1	14
NCAPH2	14
RBM39	14
SUGP2	14
PPIF	14
NADSYN1	14
MRPL54	14
TRIM22	13
NUP85	13
GADD45B	13
ELF1	13
PEMT	13
SHKBP1	13
RXRA	13
FAM174A	13
NSUN5P2	13
GSDMD	13
TPT1	13
FOS	13
NPEPL1	13
RNF26	13
CD27	13
RABIF	13
TUBGCP2	13
ENSG00000289119	13
IPO7	13
ENTPD6	13
EIF6	13
ZWINT	13
SLC35B1	13
CASP6	13
POLR2J	13
RHOA	13
NRAV	13
TSPAN17	13
OSTF1	13
APOBEC3B	13
RPA1	13
ITPA	13
MRPL44	13
DNAJA4	13
ARFGAP2	13
ATP5IF1	13
ENSG00000289437	13
GNPTG	13
ANP32B	13
MRPL50	13
TMEM255B	13
ELP5	13
ATP5PF	13
HSPA9	13
MX1	13
IL7R	13
SMTN	13
NUDT6	13
DDTL	13
ZNF256	13
SERTAD1	13
AKR1E2	13
ENSG00000229278	13
FGD5-AS1	13
GPR34	13
SRPX	13
BNIP2	13
MRPL21	13
TGDS	13
C11orf24	13
CCDC86	13
DUSP14	13
NSFL1C	13
SUGT1	13
WIPI1	13
BEST1	13
NOL6	13
IL2RG	13
SNX22	13
GAR1	13
ENSG00000278834	13
HACD4	13
LINC01260	13
ACTR2	13
SLFN12	13
BANF1	13
PSMB7	13
MMP2	13
PJA1	13
ENSG00000260733	13
CCDC122	13
TMEM265	13
WDR5	13
PCIF1	13
JMJD7	13
FHL3	13
LAPTM4B	13
FOXRED1	13
FICD	13
ATP5MC1	13
FAM219B	13
DDX5	13
NALT1	13
PIM2	13
CBR3	13
ZRSR2	13
SMCR5	13
EPB41L4A-AS1	13
BCAS2	13
ZFP90	13
VPS51	13
ING2	13
TMEM176A	13
CFI	13
ZNF23	13
SMC1A	13
LINC00115	13
FIGNL1	13
PSMA2	13
GOT1	13
ENSG00000276934	13
LAYN	13
IFI6	13
GGNBP2	13
ENSG00000278601	13
ENSG00000270127	13
HDGFL2	13
MIR223HG	13
IDNK	13
ZNF48	13
TUBG1	13
RPL23	13
TRIM13	13
FMR1	13
IL18BP	13
TBX2-AS1	13
DUT	13
ENSG00000203279	13
KIZ	13
MRPS23	13
COA1	13
HMGCS1	13
SRP19	13
GSTO1	13
EID2B	13
TFIP11	13
RMI2	13
API5	13
MAPK3	13
RGS9	13
HNRNPH1	13
TIMM22	13
ENSG00000273271	13
NPW	13
MDM1	13
TUSC1	13
CHCHD3	13
IDH1	13
DHRS1	13
MMGT1	13
ENSG00000287168	13
PLCXD1	13
ENSG00000235100	13
SERTAD3	13
PELO	13
RHOF	13
NECAP2	13
C1orf109	13
FIP1L1	13
MED28	13
CPNE3	13
EXOSC8	13
SEC13	13
TMEM60	13
RAP2C	13
TAF7	13
IDI1	13
SLTM	13
CD79B	13
NDUFB10	13
HOTAIRM1	13
RPAP1	13
AHCY	13
FASN	13
PCED1A	13
DCTD	13
ARMCX3	13
RPL24	13
MAPK12	13
GORASP2	13
DPYSL4	13
IL17RC	13
RAB35-AS1	13
WFS1	13
DCAF13	13
ENSG00000290122	13
MEX3B	13
DAZAP2	13
PIGQ	13
PDGFRB	13
WIZ	12
ALDH16A1	12
TUBB4A	12
FIBP	12
DPH2	12
GNG11	12
EMP3	12
DNAJC15	12
ZNF331	12
TSPAN32	12
RNF4	12
CLN8	12
ACTB	12
RBMX2	12
YME1L1	12
LRRC59	12
EXOG	12
LINC00662	12
DALRD3	12
MAK16	12
NMRAL1	12
SCAF1	12
FAAP20	12
SMARCA5	12
RAB3IL1	12
ENSG00000278133	12
PANK2-AS1	12
TADA3	12
GZMM	12
CTSC	12
CD37	12
HYOU1	12
DDX28	12
U2AF1	12
GDI2	12
RAD50	12
KRT19	12
GOLGA8N	12
GRTP1	12
ENSG00000289887	12
LINC03049	12
DMWD	12
NDUFV3	12
HEATR3	12
HDAC7	12
ZNF425	12
TUBB6	12
FAM118A	12
JUN	12
IL10RB-DT	12
BUB1B	12
FEM1B	12
UBL3	12
METTL14	12
ST3GAL1-DT	12
CTSA	12
UCHL1	12
RPL23A	12
GOLGA7	12
XIAP	12
PNPLA2	12
QDPR	12
PSIP1	12
ZNF335	12
B9D2	12
ENSG00000272518	12
HYAL2	12
ENSG00000272871	12
SNRPB	12
SRM	12
RINL	12
LINC01882	12
ENSG00000289472	12
SF3A1	12
CCDC124	12
PITRM1	12
CENPF	12
APOL2	12
FBXO44	12
PGM2	12
VAT1	12
KLHL11	12
CYTH2	12
ENSG00000289277	12
ZNF707	12
IRX5	12
LINC00888	12
CELSR2	12
ENSG00000289194	12
STING1	12
SLC25A28	12
NFYC-AS1	12
CA2	12
TTF1	12
C7orf25	12
EIF2S3	12
HSPB1	12
ARPC4	12
SH3GLB2	12
PFKP	12
GPX7	12
ENSG00000272106	12
ARFRP1	12
TSPYL2	12
LINC02558	12
WDR45B	12
LINC00205	12
ENSG00000291303	12
POLG-DT	12
XPC	12
INCENP	12
HSF1	12
ELAC1	12
ZBTB6	12
PRDX4	12
MFSD13A	12
