	n_runs
PDCL3	5
BCAT1	5
ZNF530	5
ENSG00000289145	5
MCF2L	5
RPL36AL	5
TSC22D3	5
SERPINB5	5
ENSG00000229116	5
NOL9	5
NBN	5
HBG2	5
ALOX5AP	5
RPL27A	5
GRAP	5
RNASE6	5
ZNF66	5
FAM76B	5
KCTD12	5
ENSG00000289499	5
CBX3	5
PLEKHG2	5
CIDEB	5
ENSG00000258623	5
DGCR11	5
YWHAZ	5
YTHDF1	5
EEF1G	5
ENSG00000225806	5
LAMC3	5
ALPK2	5
NES	5
TBRG4	5
PRNCR1	5
TM9SF3	5
LINC03061	5
ASH2L	5
TRMT5	5
SLC29A3	5
C15orf61	5
ENSG00000267222	5
ENSG00000290090	5
SLC25A12	5
KLHL8	5
HPS5	5
HAUS4	5
ANKRD29	5
OBSL1	5
LILRB2	5
NDUFA12	5
SLC20A1	5
C12orf71	5
ENSG00000289617	5
PRH1	5
WDR74	5
DNAJC9-AS1	5
EXOSC1	5
ENSG00000256226	5
RRAD	5
TLR2	5
ZMYM2	5
CEROX1	5
ZNF768	5
MTX3	5
SECISBP2L	5
SIRT1	5
NUSAP1	5
ARF6	5
CDCA7L	5
LILRB4	5
WAC	5
SIVA1	5
ZNFX1	5
C17orf75	5
WASHC2C	5
PRR4	5
MIX23	5
APOL4	5
ENSG00000253168	5
PMM2	5
CD300A	5
ENSG00000284691	5
UBE2K	5
F10	5
SON	5
LINC02139	5
TDRP	5
MTFMT	5
ENSG00000266696	5
PLK3	5
ENSG00000269559	5
DENND2D	5
STK11IP	5
ENSG00000260136	5
ITGB2	5
NEBL	5
SYNC	5
DHRSX-IT1	5
RUVBL1	5
IGF2BP1	5
SMARCD1	5
GNL2	5
ENSG00000258851	5
ENSG00000289382	5
GIPC1	5
METTL17	5
IFT20	5
CDC37L1-DT	5
GRN	5
SNAPC4	5
INTS13	5
HNRNPL	5
ENSG00000286931	5
DNAAF2	5
ENSG00000256116	5
MS4A14	5
BLOC1S1	5
KCTD1	5
ZNF429	5
LINC00551	5
ALPL	5
POLR2K	5
ENSG00000261098	5
CYREN	5
CASP4LP	5
ABCE1	5
PRMT7	5
SNAI1	5
COA6	5
ENSG00000289183	5
ARHGAP27	5
ZBP1	5
SPDYE5	5
DNAJC3-DT	5
MYL9	5
ENSG00000230894	5
ENSG00000289294	5
ABCB6	5
NFKBIB	5
RHBDF2	5
ENSG00000287287	5
TMEM98	5
TADA1	5
SLC7A11	5
AGBL5	5
PCBP2	5
HHATL	5
ENSG00000287692	5
SPATA32	5
PATL2	5
BCCIP	5
NCF2	5
AXIN1	5
MXRA7	5
RPP25L	5
ENSG00000288644	5
DLGAP1-AS2	5
DIP2A-IT1	5
ENSG00000286186	5
HINT1	5
ANKRD63	5
ACKR1	5
SGTA	5
BCAS4	5
IFT22	5
FLNC	5
ZFP1	5
PRDX1	5
ILK	5
ENSG00000261837	5
C9orf72	5
ENSG00000253307	5
SMIM22	5
HTATSF1	5
ZBED4	5
SLC16A5	5
ATP5PD	5
EOLA1-DT	5
RANGAP1	5
GANC	5
RMI1	5
TICAM2	5
VDAC3	5
UPP1	5
TCEA2	5
ATP1B2	5
GLRA3	5
MED25	5
ENSG00000274215	5
IGDCC4	5
MIR3150BHG	5
ASCC2	5
LRRC61	5
ANK1	5
LINC00216	5
ENSG00000253385	5
B2M	5
P4HA2	5
CCDC159	5
ZNF473	5
TMEM179	5
NUP62	5
ENSG00000274677	5
GSK3A	5
FABP5	5
KIF26A	5
NPTN-IT1	5
ENSG00000291131	5
LEO1	5
TMEM165	5
VIRMA-DT	5
URM1	5
OR2W3	5
ZNF177	5
TAF10	5
NARF-AS2	5
SLC2A3	5
JMJD4	5
ENSG00000269918	5
COLEC12	5
ENSG00000257568	5
IRF3	5
CNTRL	5
ENSG00000287303	5
FRG1	5
ENSG00000286634	5
GALNT4	5
ALG11	5
TPST2	5
ENSG00000275426	5
BAIAP3	5
CCDC184	5
CASP7	5
DNAJA2-DT	5
KLKB1	5
ENSG00000253475	5
ACADS	5
DLGAP1-AS1	5
DOK7	5
ENSG00000290434	5
FAS	5
NDUFA7	5
TBC1D8-AS1	5
DPPA4	5
ENSG00000259366	5
NUBP1	5
POMZP3	5
ENSG00000269825	5
LINC02481	5
PELP1-DT	5
SHISA2	5
TM9SF1	5
HPS1	5
ENSG00000289154	5
COLGALT1	5
PLXNB3	5
BUB3	5
BZW2	5
HIBCH	5
IGSF6	5
CFL2	5
NUB1	5
LINC02985	5
CAV2	5
ARPC5L	5
H2AZ1	5
PLAC4	5
NAP1L4	5
TMEM266	5
GPR143	5
DVL2	5
ATG4D	5
HMG20A	5
ENSG00000272483	5
THSD4	5
ENSG00000229491	5
FERMT2	5
ZC3H14	5
ENSG00000289080	5
CSGALNACT2-DT	5
NEU3	5
L3MBTL2	5
CYBB	5
C15orf62	5
BMP2	5
TCEAL7	5
SSH3	5
ANKRD20A5P	5
HSPBP1	5
POLD3	5
ADGRE1	5
FARSB	5
RBM4B	5
ENSG00000270871	5
RP2	5
TEX14	5
SLC37A2	5
SEMA3F-AS1	5
PRMT3	5
ZDHHC16	5
KDM5C	5
ENSG00000286846	5
TEN1	5
ENSG00000223379	5
HEXIM2	5
EIF4A2	5
NUTM2A-AS1	5
IRS2	5
ENSG00000287475	5
CDC16	5
ACTG2	5
UBLCP1	5
FAM177A1	5
GARS1	5
DCAF4L1	5
ENSG00000277373	5
UNC50	5
CCL5	5
ENSG00000285863	5
ENSG00000260989	5
VDAC2	5
MBD4	5
H3-3A	5
MCCC1	5
ZNF493	5
SLC39A4	5
THOC1-DT	5
CORO6	5
ENSG00000289164	5
ENSG00000267529	5
ZNF557	5
PDE6D	5
MBD3	5
SNAP25	5
DLG3	5
EPB42	5
SURF2	5
SMPDL3B	5
CD40LG	5
CLUL1	5
CRY2	5
ENSG00000260618	5
ZGLP1	5
SNHG18	5
SCML2	5
DNAAF8	5
PNPLA4	5
ENSG00000261888	5
EDEM1	5
TOR1A	5
PRC1-AS1	5
POLI	5
PPP1CB	5
OTUB1	5
ENSG00000270589	5
MAPRE3	5
MKKS	5
IL13RA1	5
LINC00996	5
RNFT1-DT	5
ESM1	4
TOLLIP	4
CCDC9B	4
TCF7L1-IT1	4
ENTPD7	4
FCGR3A	4
STAM-DT	4
SSNA1	4
ZXDB	4
KHDC4	4
FZD10-AS1	4
FAM210A	4
ESPL1	4
RRAGC-DT	4
ENSG00000288948	4
MRPS14	4
ALKBH1	4
LINC01692	4
PSMD10	4
MIR3936HG	4
ENSG00000260830	4
RBBP5	4
DNAJC11	4
C3orf52	4
TRIM63	4
PFAS	4
ZNF717	4
SLBP	4
ELOVL1	4
KCTD18	4
JMJD6	4
ENSG00000246250	4
ZFTA	4
ENSG00000268030	4
DHX40	4
TTC24	4
DNAAF1	4
ZSCAN29	4
TMTC4	4
ENSG00000187186	4
NCF1	4
ACOT9	4
SCARF2	4
LINC02940	4
HGH1	4
FAM83H	4
ENSG00000285668	4
BOLA2B	4
KLHL36	4
RASSF7	4
ENSG00000226699	4
USP18	4
ENSG00000235522	4
SPATA25	4
ENSG00000250882	4
ANP32A	4
ACADSB	4
FBH1	4
SEPTIN7P11	4
TSR2	4
ENSG00000271314	4
RASSF4	4
CDK2AP2	4
PYROXD2	4
LINC01405	4
NKRF	4
ANGEL1	4
ZNF92	4
NUDT19	4
TRBC1	4
COPB2	4
ENSG00000291078	4
CDA	4
ENSG00000273489	4
GAREM2	4
TRADD	4
NLRP1	4
MOSPD2	4
ARL5B	4
VAPA	4
NAPEPLD	4
USP5	4
ZNF559	4
ENSG00000289910	4
APEX1	4
UBOX5	4
MAGEA12	4
ENSG00000257178	4
EDA2R	4
LLPH	4
DDX21	4
ENSG00000289959	4
MGAT2	4
RIBC2	4
TBC1D2B	4
PELATON	4
LRRC45	4
SETMAR	4
CNTROB	4
HERPUD2-AS1	4
RPL6	4
ZNF250	4
ENSG00000286804	4
DNAH17-AS1	4
NPIPA1	4
CCN5	4
YJEFN3	4
SNX17	4
ENSG00000290886	4
TRMT12	4
GYG2	4
CLIC2	4
DDX60L	4
ENSG00000251194	4
ENSG00000260694	4
MNS1	4
GAL	4
ENSG00000272836	4
PIP4P2	4
TBCD	4
HNRNPA0	4
ALDH3B1	4
ENSG00000286629	4
DHX30	4
MED29	4
SMARCAD1	4
ENSG00000271737	4
SELENOP	4
ENSG00000291046	4
CCT6A	4
ZFP41	4
MXI1	4
SAMD1	4
MORC3	4
GPAT3	4
MIR497HG	4
CPOX	4
BIK	4
EIF3K	4
RBM38	4
CDC20-DT	4
FAM88F	4
MIDN	4
ENSG00000285646	4
ENSG00000277806	4
ABCC3	4
RDX	4
SH3D19	4
C14orf39	4
TEX10	4
DDX19A	4
TEX26-AS1	4
ARHGAP8	4
ENSG00000271937	4
ENSG00000289009	4
ACTL6B	4
SMPX	4
ENSG00000259617	4
ENSG00000289644	4
SLC45A1	4
PPM1G	4
ETF1	4
FBXO2	4
DNAAF3	4
TIMP2	4
IVD	4
ITM2C	4
SEC22A	4
ZNF428	4
ENSG00000287530	4
TRAPPC5	4
ENSG00000277782	4
ARL2BP	4
ZNF549	4
PPP4R3B	4
ENSG00000275580	4
CALB2	4
CNIH4	4
ZNF146	4
CDC26	4
BBS7	4
ENSG00000267015	4
RTRAF	4
TRPM2	4
ENSG00000232995	4
UBE2D3-AS1	4
USP38	4
RUVBL2	4
WDR11	4
GK	4
PNMA1	4
LINC02989	4
CTBP1	4
ENSG00000279501	4
SOX9	4
LRIF1	4
RMDN1	4
GUCY1A1	4
PRDX6	4
ABCA6	4
ADSS1	4
DNAJC19	4
ENSG00000240015	4
ENSG00000290549	4
TMEM222	4
INTS5	4
TRIM28	4
CCL3	4
ENSG00000285864	4
SAR1B	4
ENSG00000253286	4
ENSG00000233223	4
SMDT1	4
MYO16-AS1	4
ENSG00000265010	4
ENSG00000248559	4
TMEM59L	4
BLK	4
HEATR5A-DT	4
BROX	4
PECAM1	4
ERVK3-1	4
SIRT3	4
LINC00997	4
ENSG00000289042	4
STEAP3	4
OTULIN-DT	4
ENSG00000286964	4
PTCD3	4
CACFD1	4
TSC22D4	4
MSRB1	4
ZNF641	4
ENSG00000274993	4
PDIA5	4
ENSG00000289332	4
ENSG00000269910	4
GFM1	4
BAIAP2	4
ENSG00000230751	4
PVR	4
MEAK7	4
CCDC175	4
ENSG00000290036	4
GPBP1	4
GATAD1	4
FERMT1	4
CASP3	4
ENSG00000273240	4
ENSG00000272787	4
NOL8	4
NETO1-DT	4
NCF4	4
THBS3-AS1	4
TUB	4
ENSG00000287262	4
UBE2D3	4
THUMPD1	4
TACC1	4
ATP5MG	4
ZNRF3-AS1	4
ST20-AS1	4
DTWD1	4
TWSG1	4
DAZAP1	4
CEP295	4
POLR2J3	4
NRG4	4
TMEM185B	4
ZNF687-AS1	4
TTC32	4
NFKBIZ	4
EGLN3	4
AVEN	4
FOXA2	4
MAMDC2	4
PSMD11	4
PANK2	4
FGFBP1	4
CLN3	4
CCK	4
LRRC27	4
SAT2	4
GPM6B	4
ENSG00000268573	4
ENSG00000287077	4
DYNC2I1	4
ERAP2	4
TTC9C	4
ENSG00000288818	4
DCAKD	4
SNHG29	4
GSTT2	4
RGPD8	4
ENSG00000276115	4
TARS2	4
FRMD4B	4
SLC39A13-AS1	4
SLC1A3-AS1	4
MTHFD2	4
PYCARD-AS1	4
PDE6B	4
ENSG00000261191	4
ACP6	4
WASL	4
LCDR	4
MPHOSPH10	4
ENSG00000264829	4
NUDT17	4
EFNA4	4
VLDLR	4
EEF1AKMT3	4
ZNF816	4
ZNF441	4
SS18L2	4
CES1	4
SLC9A3	4
KBTBD2	4
APOE	4
IBSP	4
ZNF30	4
WDR75	4
ENSG00000288957	4
EIF2B4	4
TRAP1	4
RCC1L	4
ENSG00000264270	4
DGCR6L	4
A4GALT	4
RPL22	4
SELENON	4
MAP1S	4
SAMD14	4
ENSG00000259357	4
LTB4R2	4
TIE1	4
TTC3	4
LDHC	4
PRRG2	4
ENSG00000226355	4
C3orf33	4
ACSL3	4
DDX24	4
IL17D	4
FAM217B	4
CRYGD	4
ENSG00000286093	4
MSRB2	4
ENSG00000268189	4
RDH13	4
ZFAND2A-DT	4
FLAD1	4
PCDHB9	4
ENSG00000289428	4
EWSR1	4
SORD2P	4
ENSG00000267249	4
CCDC93	4
CDIPT	4
RBM11	4
ATF1	4
ENSG00000270640	4
PUS1	4
ENSG00000233577	4
LINC02939	4
CEP19	4
CAVIN2	4
ACADM	4
PIN1-DT	4
TIMM10B	4
LSP1P5	4
SURF1	4
RBM42	4
CD53	4
VASH1-DT	4
POLR2H	4
LINC03067	4
PSMB10	4
ENSG00000263089	4
FOXO4	4
ID1	4
ENSG00000288956	4
VTN	4
C12orf42	4
LRR1	4
FAM218A	4
MTUS2-AS1	4
SIGLEC1	4
TAF1A	4
FAM98A	4
SULT1A4	4
LSM3	4
CDCA7	4
LSM6	4
ZNF595	4
ENSG00000286307	4
NEFL	4
ORAI2	4
EFCAB11	4
ENSG00000287335	4
RBX1	4
GLMP	4
LINC00987	4
SAP30-DT	4
ENSG00000267694	4
LINC01436	4
TCEAL9	4
MIA2-AS1	4
CENPM	4
SLC5A4	4
ENSG00000288777	4
ENKUR	4
UBALD2	4
NAT14	4
SNHG10	4
ENSG00000272512	4
ENSG00000290807	4
SNAI2	4
SRXN1	4
TMEM273	4
PRICKLE2-AS1	4
SMG5	4
ENSG00000288253	4
ENSG00000270100	4
ZNF611	4
TRAPPC13	4
ERICH4	4
ENSG00000260425	4
ENSG00000246130	4
LAMA3	4
CDC23	4
PHRF1	4
SAMD9L	4
ENSG00000289502	4
CTTN	4
CLIC3	4
LINC03048	4
PLA2G3	4
GRTP1-AS1	4
ENSG00000289132	4
ENSG00000223642	4
MZT2A	4
ENSG00000273243	4
CUL4B	4
PSMD2	4
C4orf47	4
IGSF9	4
CDH2	4
CCDC50	4
CAPN3	4
RNF7	4
ENSG00000269973	4
CRYBA4	4
DUSP18	4
BSCL2	4
BTBD6	4
BRF2	4
SAMD9	4
MVP	4
FOXC2	4
ENSG00000273568	4
CD33	4
ENSG00000260517	4
ENSG00000287759	4
DENND1C	4
ZNF883	4
LINC01220	4
CDH13-AS2	4
CEP76	4
ENSG00000290666	4
LENG8	4
NDUFA2	4
FOLR3	4
CYP4F3	4
NPIPB11	4
USP17L7	4
RPS6KA4	4
ZNF263	4
GABRG3	4
AFAP1L2	4
MIR133A1HG	4
CDCA5	4
ENSG00000258303	4
ENSG00000288919	4
FLRT3	4
CENPA	4
ENSG00000261172	4
ACRBP	4
ENSG00000261471	4
NRBP2	4
ENSG00000259921	4
MEX3C	4
FANCI	4
ENSG00000274719	4
DEGS1	4
UBE2E3	4
MTHFS	4
C2orf69	4
RFWD3	4
GTSE1-DT	4
BLZF1	4
SDC3	4
GALNT6	4
USP47	4
ENSG00000261051	4
TAT-AS1	4
ENSG00000286694	4
ENSG00000260671	4
ITM2B	4
SIAH1	4
C4orf3	4
ENSG00000279529	4
ENSG00000244701	4
ENSG00000183562	4
SLC10A1	4
ENSG00000225408	4
ENSG00000259972	4
HAVCR2	4
ENSG00000285722	4
MARVELD3	4
CCP110	4
ENSG00000274678	4
PDIA2	4
ENSG00000261997	4
ENSG00000258525	4
ENSG00000238039	4
ITPKC	4
FPR3	4
SOX12	4
ENSG00000290585	4
TMPRSS2	4
SRSF9	4
NVL	4
ENSG00000273599	4
MAGOH	4
OPN1SW	4
PET117	4
COMMD10	4
SMAP2	4
GLUD1P3	4
ENSG00000288888	4
LINC02863	4
ENSG00000255026	4
ENSG00000288531	4
PRADC1	4
ZNF284	4
USP17L2	4
FHIP2A	4
CALHM2	4
TRIP10	4
GRIN2C	4
ZNF665	4
PIP4K2C	4
RPS19	4
PGAP2	4
ENSG00000264196	4
PDS5B	4
SREBF2-AS1	4
SLC2A10	4
CABCOCO1	4
CFP	4
SRPRA	4
TRAPPC12	4
HINT2	4
KLRB1	4
LRRFIP2	4
GRAMD1A	4
CFAP92	4
NMI	4
BPGM	4
ENSG00000271828	4
TMEM255A	4
MRPS11	4
ACP1	4
CDH11	4
GGH	4
ARL17A	4
ITGA2B	4
RCOR3	4
ENSG00000270083	4
ENSG00000290033	4
APOBR	4
ZNF365	4
MFAP1	4
ENSG00000289050	4
HMGXB3	4
HBA2	4
IGFLR1	4
LRRC20	4
ENSG00000289291	4
MYCBP	4
CD69	4
LITAF	4
SLC9A9	4
PARVG	4
SLC17A7	4
RNF215	4
CA3	4
CD180	4
GSDMB	4
ENSG00000261448	4
INSIG1-DT	4
C2orf15	4
BBIP1	4
ZYX	4
ENSG00000234156	4
SIGLEC6	4
UTP11	4
KATNAL1	4
AHNAK2	4
ENSG00000277135	4
ENSG00000289353	4
ENSG00000256278	4
VENTX	4
BLVRB	4
C5orf22	4
CYB5R3	4
TRAC	4
HCLS1	4
ENSG00000242282	4
NUDC	4
LYRM1	4
ARFIP2	4
ENSG00000288634	4
DGUOK-AS1	4
TTC1	4
SLA	4
EIF3L	4
AKT1	4
SUSD2	4
CEBPG	4
LIPT2	4
PSMC3IP	4
ENSG00000288156	4
CTSK	4
ETS1	4
SEC11C	4
MMP11	4
AP3M2	4
ENSG00000260917	4
AJUBA	4
ZNRD2-DT	4
ENSG00000289594	4
PXDN	4
EPN2	4
RAB3GAP2	4
SKAP1	4
KLRK1-AS1	4
EID3	4
C10orf67-AS1	4
ANG	4
SMC4	4
ENSG00000289030	4
TAF7L	4
MRPL20-AS1	4
ZNHIT3	4
CBY1	4
TOMM22	4
ENSG00000290830	4
TESK1	4
ARHGEF19	4
RSPO2	4
TXNDC15	4
ATP13A1	4
ULK4	4
UBE2Q2P2	4
TALAM1	4
SPACA9	4
GPC3	4
ELK1	4
MAGEB2	4
ENSG00000276434	4
RASA3-IT1	4
DUSP8	4
LINC02344	4
CD3G	4
NOP10	4
ENSG00000286159	4
C21orf62-AS1	4
UBL7-DT	4
DELE1	4
ATP2B1-AS1	4
MED21	4
CCNG1	4
GP6	4
ENSG00000170846	4
ADD3-AS1	4
NCR1	4
CRYZ	4
ENSG00000251330	4
ZNF436-AS1	4
SEPTIN4	4
SERPINE1	4
PLK5	4
ENSG00000274275	4
MYO15B	4
XAF1	4
DPH1	4
ENSG00000290021	4
ENSG00000226900	4
LIN7B	4
TFPI2	4
UPF3B	4
LRSAM1	4
SDE2	4
GRPEL2	4
ACSL5	4
GGA3	4
LY9	4
RANBP6	4
SNHG12	4
SLC2A11	4
ENSG00000267505	4
ENSG00000288985	4
RCE1	4
ENSG00000224626	4
ENSG00000286039	4
CST1	4
POLG2	4
ENSG00000289245	4
RILP	4
ENSG00000289463	4
DET1	4
CYB5A	4
C1orf56	4
ENSG00000249679	4
LHFPL4	4
ILF3	4
MCTS2	4
PRELID3A	4
VPS33B-DT	4
MIR155HG	4
CEACAM19	4
IL10RA	4
FBLN2	4
URI1	4
FZR1	4
DENND2B-AS1	4
ENSG00000288866	4
ENSG00000272240	4
PAXIP1-AS2	4
ENSG00000260536	4
FRY-AS1	4
ENSG00000259351	4
CNOT9	4
ACSL6	4
PRIM1	4
ENSG00000290073	4
SLK	4
NORAD	4
IER2	4
GPR146	4
ENSG00000227782	4
ITPRIP	4
ENSG00000264149	4
ZNF528	4
NDUFB9	4
SLURP2	4
ENSG00000268119	4
KRBA1	4
KCNJ5-AS1	4
IFT25	4
PIGH	4
ENSG00000270116	4
OLFM4	4
ARV1	4
ARHGEF18-AS1	4
CCDC144BP	4
EXO1	4
SORBS2-AS1	4
SIRPB2	4
CUEDC2	4
GABARAP	4
ENSG00000286977	4
TPRN	4
IDUA	4
ENSG00000259959	4
COX14	4
TIPARP-AS1	4
SRP68	4
TUSC3	4
PHETA1	4
PDPN	4
FIS1	4
YIPF2	4
ENSG00000286116	4
ENSG00000287425	4
ARF4-AS1	4
ZNF343	4
DENND6B	4
TTYH1	4
ENSG00000259976	4
C5orf34	4
ENSG00000268051	4
DBI	4
PTX3	4
ENSG00000289316	4
LINC00863	4
ENSG00000232978	4
AFAP1	4
SMYD4	4
ENSG00000265205	4
MSRA	4
PGAP3	4
KLC1	4
ENSG00000272219	4
LZTS2	4
ENSG00000267082	4
CD300LG	4
SHC2	4
ITGB3	4
CEBPZOS	4
ENSG00000273381	4
SELENOO	4
AGBL2	4
ENSG00000249875	4
ANXA2R	4
ENSG00000260751	4
STAP1	4
FBXL19	4
PDZRN3-AS1	4
ENSG00000278351	4
IQCN	4
ENSG00000273295	4
ENSG00000286000	4
SEC23A	4
METTL5	4
CORO1B	4
TNFRSF10D	4
ANKS3	4
ADPRM	4
CD300H	4
PRSS51	4
NOCT	4
CDKN3	4
ENSG00000264490	4
JMJD1C	4
USP36	4
TIMP3	4
C19orf81	4
ARRDC2	4
RPL34	4
ABHD2	4
MCF2	4
RRP12	4
RTN1	4
FNIP1	4
CILP	4
FZD10	4
OGDHL	4
ENSG00000260793	4
ENSG00000288928	4
CCDC13	4
ANXA2	4
ENSG00000289537	4
HAPLN2	4
MASP2	4
DCXR	4
ENSG00000285928	4
MRPL36	4
ZWILCH	4
ABHD12	4
ENSG00000254907	4
GPR35	4
COMMD3	4
ENSG00000261668	4
PPP1R26	4
ENSG00000250899	4
UCKL1-AS1	4
FHL2	4
ATP10D	4
ENSG00000288794	4
RHCE	4
ARHGEF39	4
ENSG00000289121	4
HNRNPA1	4
MMP1	4
ENSG00000243155	4
DHRS13	4
ENSG00000287918	4
CWC25	4
ENSG00000269930	4
FPGT	4
ENSG00000277621	4
RCC2	4
DEFB1	4
RALY	4
NGF	4
NSA2	4
CA1	4
ERMAP	4
ADORA2A	4
CYB561D1	4
ENSG00000261069	4
GP1BA	4
TMC4	4
FLVCR1-DT	4
E2F8	4
FAM89B	4
DERA	4
ENSG00000263280	4
ENSG00000288871	4
INAFM1	4
PCDHB15	4
FAM106C	4
LINC02175	4
LINC00853	4
ENSG00000271398	4
USP12-AS1	4
ENSG00000261434	4
XBP1	4
FMC1	4
TASOR	4
PLEKHN1	4
NCLN	4
CHST1	4
ENSG00000267024	4
FAIM	4
ENO1-AS1	4
CD163	4
RESF1	4
ENSG00000250615	4
GGACT	4
MCM2	4
RASL10A	4
TIRAP-AS1	4
NPY1R	4
VCX3B	4
CCDC96	4
ZNF813	4
CMPK1	4
AP2S1	4
RGP1	4
NIBAN2	4
C1orf162	4
NMNAT3	4
DCUN1D3	4
IRF2BP2	4
PAFAH2	4
MLX	4
SLA2	4
ENSG00000290440	4
NUDT16L1	4
ENSG00000289128	4
DR1	4
NADK2-AS1	4
TINAGL1	4
ENSG00000276900	4
GBP4	4
ENDOV	4
COL14A1	4
HAUS2	4
KAZALD1	4
LAMTOR2	4
ENSG00000261783	4
FAM120AOS	4
TNNT3	4
AR	4
GPT	4
DPM1	4
DEGS2	4
PLCB3	4
DPY19L3-DT	4
ENSG00000253811	4
ENSG00000274578	4
ARF5	4
ENSG00000288852	4
KRAS	4
TOM1	4
PSMD8	4
TBL3	4
INO80-AS1	4
ENSG00000269172	4
PLK1	4
ENSG00000232682	4
C8G	4
ZC3H15	4
FKBP4	4
C1orf53	4
KLKP1	4
ENSG00000228852	4
ENSG00000287081	4
ZBTB11-AS1	4
NEURL1	4
ANKRD1	4
ENSG00000250509	4
ENSG00000255158	4
TMEM246-AS1	4
DDN-AS1	4
MAGEA4	4
TRIM23	4
CHST10	4
HOXC4	4
ENSG00000233912	4
LASP1NB	4
SHISA4	4
ENSG00000284428	4
HOXB6	4
ENSG00000267131	4
PHETA2	4
ENSG00000263120	4
ZNF229	4
SCNM1	4
ENSG00000290843	4
RDH11	4
SERPINA3	4
CCT4	4
CIBAR1	4
NEAT1	4
MIR124-2HG	4
MADD	4
LINC02870	4
LMO1	4
ZNF566-AS1	4
FZD7	4
HS3ST3B1	4
IFIT2	4
PCDH10	4
SNAI3-AS1	4
EPN2-AS1	4
LIMA1	4
ENSG00000287070	4
NOP53-AS1	4
LINC02259	4
ENSG00000260274	4
ENSG00000291156	4
PLXNA1	4
ENSG00000256448	4
MGAT1	4
ENSG00000250397	4
MIOS	4
ENSG00000289923	4
ENSG00000289177	4
PCYOX1L	4
PLGRKT	4
PODXL2	4
ENSG00000291096	4
TSPAN18-AS1	4
ENSG00000255031	4
THOP1	4
ENSG00000261916	4
ISCA2	4
ENSG00000290913	4
ENSG00000289928	4
LIN37	4
ENSG00000275056	4
IBA57-DT	4
CBX8	4
ENSG00000267481	4
ENSG00000289152	4
FAM27C	4
ENSG00000255046	4
ENSG00000283423	4
LAPTM5	4
C10orf95-AS1	4
PRKAG2-AS1	4
SNX30	4
TRIM16L	4
RASL12	4
ADGRB1	4
CCDC43	4
FUT7	4
ZNF283	4
HSDL2-AS1	4
MAP3K7CL	4
MAD2L2	4
CNOT10	4
NR2F2	4
ENSG00000269951	4
LINC02696	4
NDUFB5	4
ZNF182	4
FAM83G	4
YJU2	4
HCFC1	4
ENSG00000226899	4
ZNF395	4
ENSG00000289032	4
C18orf21	4
CCNE1	4
ENSG00000269924	4
TIPARP	4
MZB1	4
ENSG00000285653	4
SMN1	4
CTBS	4
ZMAT2	4
COX10	4
VCX	4
CD63	4
METTL27	4
GINS4	4
HHEX	4
CAMKK1	4
COA6-AS1	4
RNF208	4
FGFRL1	4
ENSG00000288990	4
ENSG00000273027	4
FLRT1	4
BHLHE40	4
NMB	4
ZNF695	4
NUGGC	4
TMEM70	4
WDR76	4
SLAMF6	4
LCIIAR	4
RALBP1	4
ZNF112	4
ENSG00000274995	4
ZNF468	4
BFSP2	4
BOD1L1	4
CXCL10	4
SNHG3	4
MAF	4
FARSA	4
MAP9	4
SCARA5	4
SH2D2A	4
METTL7B	4
RNPC3	4
LRCH4	4
LMNB2	4
MICU1	4
SPOCK2	4
ENSG00000225489	4
POGK	4
ENSG00000264546	4
NTHL1	4
MAP2K7	4
RIMOC1	4
SARS2	4
RAB33A	4
TCF12-DT	4
ENDOG	4
STIM2	4
AMTN	4
GRIN3B	4
ZNF37A	4
ENSG00000289485	4
ENSG00000270130	4
KCTD13-DT	4
ENSG00000289629	4
ENSG00000275162	4
CAMSAP1-DT	4
ENSG00000275765	4
WRAP53	4
ENSG00000276248	4
CEBPB	4
ADK	4
SPATA24	4
ENSG00000255097	4
MYD88	4
LINC01001	4
RBM22	4
ZFP36	4
NFIL3	4
ENSG00000232386	4
LRCH2	4
POU2AF3	4
ARRDC3	4
GALT	4
NBAS	4
ITCH-AS1	4
ZNRD2	4
DCLRE1A	4
ENSG00000286656	4
ENSG00000273355	4
RAP1GAP	4
PUDP	4
DMPK	4
ENSG00000289745	4
TNFRSF13B	4
ITGAE	4
APOBEC3D	4
ENSG00000273014	4
INSM1	4
ENSG00000278058	4
ENSG00000264937	4
LARGE2	4
MTREX	4
PNMA8A	4
GPR12	4
AKNA	4
YIPF5	4
TSEN34	4
NUCKS1	4
HPN	4
RPL18A	4
PAQR3	4
ATAD3A	4
FGD3	4
COPZ2	4
ENSG00000290683	4
TMEM18	4
PLAUR	4
SPATA13-AS1	4
ECSIT	4
GGPS1	4
ONECUT2	4
STRADA	4
EXOSC2	4
LINC01503	4
XYLB	4
TAC1	4
ZNF354A	4
ENSG00000259865	4
MRPL22	4
PGLS-DT	4
APOBEC3F	4
CNN3	4
IQCB1	4
ENSG00000248367	4
CHASERR	4
BDH2	4
OTULINL	4
RPS15A	4
ENSG00000290737	4
NABP2	4
ZNF433-AS1	4
N4BP2L1	4
EXOSC3	4
ENSG00000233461	4
PABIR2	4
LINC02772	4
RNF130	4
HYI	4
ENO2	4
ENSG00000285796	4
ENSG00000272076	4
ANKEF1	4
ENSG00000272927	4
SRD5A1	4
PHACTR3	4
HSD17B7P2	4
SPATA9	4
LAMA5	4
ADAT3	4
