ct	novel_frac_myeloma	novel_frac_ccus
B cell	0.5573541988162176	0.4577552285001294
Dendritic cell	0.4822462957142245	0.467226371788604
Erythroid	0.2097605828954154	0.3698411553876625
Plasma cell	0.8007100232074408	0.710346440170389
Monocyte	0.5150465909476795	0.4180478159477873
NK	0.7635068970156741	0.4717436171984732
