gene_id	n_reads	n_amb	gid	gname	overlapped	rescue_frac
ENSG00000005187	40914	0.0	ENSG00000005187	ACSM3	False	0.0
ENSG00000005189	16101	0.0	ENSG00000005189	REXO5	False	0.0
ENSG00000005194	75029	0.0	ENSG00000005194	CIAPIN1	False	0.0
ENSG00000005206	45592	0.0	ENSG00000005206	SPPL2B	False	0.0
ENSG00000005238	25357	0.0	ENSG00000005238	ATOSB	False	0.0
ENSG00000005243	10561	0.0	ENSG00000005243	COPZ2	False	0.0
ENSG00000005249	65300	0.0	ENSG00000005249	PRKAR2B	False	0.0
ENSG00000005302	125865	0.0	ENSG00000005302	MSL3	False	0.0
ENSG00000005339	203712	0.0	ENSG00000005339	CREBBP	False	0.0
ENSG00000005379	37521	0.0	ENSG00000005379	TSPOAP1	False	0.0
ENSG00000005381	211385	0.0	ENSG00000005381	MPO	False	0.0
ENSG00000005421	1716	0.0	ENSG00000005421	PON1	False	0.0
ENSG00000005436	72831	184.0	ENSG00000005436	GCFC2	False	0.0025263967266685888
ENSG00000005448	58799	0.0	ENSG00000005448	WDR54	False	0.0
ENSG00000005469	34645	0.0	ENSG00000005469	CROT	False	0.0
ENSG00000005471	12174	0.0	ENSG00000005471	ABCB4	False	0.0
ENSG00000005483	720404	720.0	ENSG00000005483	KMT2E	True	0.0009994392035580035
ENSG00000005486	50222	0.0	ENSG00000005486	RHBDD2	False	0.0
ENSG00000005513	2516	0.0	ENSG00000005513	SOX8	False	0.0
ENSG00000005700	151141	0.0	ENSG00000005700	IBTK	False	0.0
ENSG00000005801	79646	0.0	ENSG00000005801	ZNF195	False	0.0
ENSG00000005810	511813	43.0	ENSG00000005810	MYCBP2	True	8.401506018799834e-05
ENSG00000005812	65834	2.0	ENSG00000005812	FBXL3	False	3.037943919555245e-05
ENSG00000005844	189727	19.0	ENSG00000005844	ITGAL	False	0.00010014389095911494
ENSG00000005882	30867	0.0	ENSG00000005882	PDK2	False	0.0
