release	srr	gse	species	platform	ena_assay	biology_group	description	pipeline	isoquant_status	isoquant_cells	isoquant_cells_method	isoquant_transcripts	annotation_status	annotation_method	metadata_resolution
scTHREAD_NAR_release_20260803	SRR14808733	GSE178175	human	PacBio	scPacBio	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	7692	wf_tagged_barcodes	17390	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808735	GSE178175	human	PacBio	scPacBio	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	7639	wf_tagged_barcodes	16457	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808736	GSE178175	human	PacBio	scPacBio	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	5851	wf_tagged_barcodes	9020	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808737	GSE178175	human	PacBio	scPacBio	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	3881	wf_tagged_barcodes	4260	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808738	GSE178175	human	PacBio	scPacBio	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	4719	wf_tagged_barcodes	6213	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808739	GSE178175	human	PacBio	scPacBio	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	4243	wf_tagged_barcodes	5050	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808740	GSE178175	human	PacBio	scPacBio	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	6239	wf_tagged_barcodes	11334	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808741	GSE178175	human	PacBio	scPacBio	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	4078	wf_tagged_barcodes	4953	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808743	GSE178175	human	ONT	scONT	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	7770	wf_tagged_barcodes	39616	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808744	GSE178175	human	ONT	scONT	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	678	wf_tagged_barcodes	673	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808745	GSE178175	human	ONT	scONT	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	7879	wf_tagged_barcodes	57758	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808746	GSE178175	human	ONT	scONT	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	7050	wf_tagged_barcodes	52084	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR14808747	GSE178175	human	ONT	scONT	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	1153	wf_tagged_barcodes	1181	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR17074937	GSE178175	human	PacBio	scPacBio	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	6016	wf_tagged_barcodes	7227	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR17074938	GSE178175	mouse	ONT	scONT	Tissue atlas	Single-nucleus isoform sequencing of human frontal cortex with a mouse hippocampus sample	wf-single-cell	done	5117	wf_tagged_barcodes	20565	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248566	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248568	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248569	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248570	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248571	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248573	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248574	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248575	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248576	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248577	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
