release_candidate	srr	gse	species	platform	isoquant_cells	isoquant_transcripts_documented	isoquant_transcripts_registry	isoquant_path_registry	isoquant_path_resolved	isoquant_dir_available	isoquant_search_dir	isoquant_file_stem	gene_counts_available	gene_counts_path	gene_counts_bytes	transcript_counts_available	transcript_counts_path	transcript_counts_bytes	read_assignments_available	read_assignments_path	read_assignments_bytes	transcript_models_available	transcript_models_path	transcript_models_bytes	extended_annotation_available	extended_annotation_path	extended_annotation_bytes	discovered_transcript_counts_available	discovered_transcript_counts_path	discovered_transcript_counts_bytes	diu_available	diu_path	diu_bytes	apa_available	apa_path	apa_bytes	junction_available	junction_path	junction_bytes	ase_available	ase_path	ase_bytes	file_contract_status
scTHREAD_NAR_release_20260803	SRR9008429	GSE130708	mouse	ONT	922	True	22375	data/isoquant/GSE130708/SRR9008429	data/isoquant/GSE130708/SRR9008429	True	data/isoquant/GSE130708/SRR9008429/SRR9008429	SRR9008429	True	data/isoquant/GSE130708/SRR9008429/SRR9008429/SRR9008429.gene_counts.tsv	824797	True	data/isoquant/GSE130708/SRR9008429/SRR9008429/SRR9008429.transcript_counts.tsv	3025670	True	data/isoquant/GSE130708/SRR9008429/SRR9008429/SRR9008429.read_assignments.tsv.gz	87907324	True	data/isoquant/GSE130708/SRR9008429/SRR9008429/SRR9008429.transcript_models.gtf	169656156	True	data/isoquant/GSE130708/SRR9008429/SRR9008429/SRR9008429.extended_annotation.gtf	773156134	True	data/isoquant/GSE130708/SRR9008429/SRR9008429/SRR9008429.discovered_transcript_counts.tsv	810746	True	results/paper1/f2_grammar/agg_diu/SRR9008429.diu.parquet	608308	True	results/paper1/f2_grammar/agg_apa/SRR9008429.apa.parquet	1680066	True	results/paper1/f2_grammar/agg_jct/SRR9008429.jct_ct.parquet	11514808	True	results/paper1/f2_grammar/agg_ase_ct/SRR9008429.ase_ct.parquet	455362	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR9008431	GSE130708	mouse	ONT	917	True	20940	data/isoquant/GSE130708/SRR9008431	data/isoquant/GSE130708/SRR9008431	True	data/isoquant/GSE130708/SRR9008431/SRR9008431	SRR9008431	True	data/isoquant/GSE130708/SRR9008431/SRR9008431/SRR9008431.gene_counts.tsv	823365	True	data/isoquant/GSE130708/SRR9008431/SRR9008431/SRR9008431.transcript_counts.tsv	3024050	True	data/isoquant/GSE130708/SRR9008431/SRR9008431/SRR9008431.read_assignments.tsv.gz	72873756	True	data/isoquant/GSE130708/SRR9008431/SRR9008431/SRR9008431.transcript_models.gtf	159530787	True	data/isoquant/GSE130708/SRR9008431/SRR9008431/SRR9008431.extended_annotation.gtf	770312476	True	data/isoquant/GSE130708/SRR9008431/SRR9008431/SRR9008431.discovered_transcript_counts.tsv	719547	True	results/paper1/f2_grammar/agg_diu/SRR9008431.diu.parquet	560225	False		0	False		0	False		0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR9008433	GSE130708	mouse	ONT	905	True	19001	data/isoquant/GSE130708/SRR9008433	data/isoquant/GSE130708/SRR9008433	True	data/isoquant/GSE130708/SRR9008433/SRR9008433	SRR9008433	True	data/isoquant/GSE130708/SRR9008433/SRR9008433/SRR9008433.gene_counts.tsv	822979	True	data/isoquant/GSE130708/SRR9008433/SRR9008433/SRR9008433.transcript_counts.tsv	3023563	True	data/isoquant/GSE130708/SRR9008433/SRR9008433/SRR9008433.read_assignments.tsv.gz	68738857	True	data/isoquant/GSE130708/SRR9008433/SRR9008433/SRR9008433.transcript_models.gtf	153574692	True	data/isoquant/GSE130708/SRR9008433/SRR9008433/SRR9008433.extended_annotation.gtf	771658033	True	data/isoquant/GSE130708/SRR9008433/SRR9008433/SRR9008433.discovered_transcript_counts.tsv	722772	True	results/paper1/f2_grammar/agg_diu/SRR9008433.diu.parquet	510169	True	results/paper1/f2_grammar/agg_apa/SRR9008433.apa.parquet	1474545	True	results/paper1/f2_grammar/agg_jct/SRR9008433.jct_ct.parquet	9874235	True	results/paper1/f2_grammar/agg_ase_ct/SRR9008433.ase_ct.parquet	417282	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR12699083	GSE158450	mouse	PacBio	7286	True	37347	data/isoquant_pacbio/GSE158450/SRR12699083	data/isoquant_pacbio/GSE158450/SRR12699083	True	data/isoquant_pacbio/GSE158450/SRR12699083	SRR12699083	True	data/isoquant_pacbio/GSE158450/SRR12699083/SRR12699083.gene_counts.tsv	837165	True	data/isoquant_pacbio/GSE158450/SRR12699083/SRR12699083.transcript_counts.tsv	3042321	True	data/isoquant_pacbio/GSE158450/SRR12699083/SRR12699083.read_assignments.tsv.gz	385500882	True	data/isoquant_pacbio/GSE158450/SRR12699083/SRR12699083.transcript_models.gtf	286308326	True	data/isoquant_pacbio/GSE158450/SRR12699083/SRR12699083.extended_annotation.gtf	837924848	True	data/isoquant_pacbio/GSE158450/SRR12699083/SRR12699083.discovered_transcript_counts.tsv	5401739	False		0	False		0	False		0	False		0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR12699084	GSE158450	mouse	PacBio	5273	True	25993	data/isoquant_pacbio/GSE158450/SRR12699084	data/isoquant_pacbio/GSE158450/SRR12699084	True	data/isoquant_pacbio/GSE158450/SRR12699084	SRR12699084	True	data/isoquant_pacbio/GSE158450/SRR12699084/SRR12699084.gene_counts.tsv	829054	True	data/isoquant_pacbio/GSE158450/SRR12699084/SRR12699084.transcript_counts.tsv	3028666	True	data/isoquant_pacbio/GSE158450/SRR12699084/SRR12699084.read_assignments.tsv.gz	135345497	True	data/isoquant_pacbio/GSE158450/SRR12699084/SRR12699084.transcript_models.gtf	211573692	True	data/isoquant_pacbio/GSE158450/SRR12699084/SRR12699084.extended_annotation.gtf	809956121	True	data/isoquant_pacbio/GSE158450/SRR12699084/SRR12699084.discovered_transcript_counts.tsv	3619072	False		0	False		0	False		0	False		0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR12699085	GSE158450	mouse	PacBio	3146	True	26624	data/isoquant_pacbio/GSE158450/SRR12699085	data/isoquant_pacbio/GSE158450/SRR12699085	True	data/isoquant_pacbio/GSE158450/SRR12699085	SRR12699085	True	data/isoquant_pacbio/GSE158450/SRR12699085/SRR12699085.gene_counts.tsv	827355	True	data/isoquant_pacbio/GSE158450/SRR12699085/SRR12699085.transcript_counts.tsv	3028085	True	data/isoquant_pacbio/GSE158450/SRR12699085/SRR12699085.read_assignments.tsv.gz	114210871	True	data/isoquant_pacbio/GSE158450/SRR12699085/SRR12699085.transcript_models.gtf	208358901	True	data/isoquant_pacbio/GSE158450/SRR12699085/SRR12699085.extended_annotation.gtf	800697527	True	data/isoquant_pacbio/GSE158450/SRR12699085/SRR12699085.discovered_transcript_counts.tsv	2843973	False		0	False		0	False		0	False		0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR12699086	GSE158450	mouse	PacBio	2474	True	22505	data/isoquant_pacbio/GSE158450/SRR12699086	data/isoquant_pacbio/GSE158450/SRR12699086	True	data/isoquant_pacbio/GSE158450/SRR12699086	SRR12699086	True	data/isoquant_pacbio/GSE158450/SRR12699086/SRR12699086.gene_counts.tsv	826518	True	data/isoquant_pacbio/GSE158450/SRR12699086/SRR12699086.transcript_counts.tsv	3025518	True	data/isoquant_pacbio/GSE158450/SRR12699086/SRR12699086.read_assignments.tsv.gz	104371901	True	data/isoquant_pacbio/GSE158450/SRR12699086/SRR12699086.transcript_models.gtf	186085417	True	data/isoquant_pacbio/GSE158450/SRR12699086/SRR12699086.extended_annotation.gtf	800129229	True	data/isoquant_pacbio/GSE158450/SRR12699086/SRR12699086.discovered_transcript_counts.tsv	2882205	False		0	False		0	False		0	False		0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808726	GSE178175	human	PacBio	5135	True	4916	data/isoquant/GSE178175/SRR14808726	data/isoquant/GSE178175/SRR14808726	True	data/isoquant/GSE178175/SRR14808726/SRR14808726	SRR14808726	True	data/isoquant/GSE178175/SRR14808726/SRR14808726/SRR14808726.gene_counts.tsv	812150	True	data/isoquant/GSE178175/SRR14808726/SRR14808726/SRR14808726.transcript_counts.tsv	4746333	True	data/isoquant/GSE178175/SRR14808726/SRR14808726/SRR14808726.read_assignments.tsv.gz	10677299	True	data/isoquant/GSE178175/SRR14808726/SRR14808726/SRR14808726.transcript_models.gtf	43595409	True	data/isoquant/GSE178175/SRR14808726/SRR14808726/SRR14808726.extended_annotation.gtf	1343201091	True	data/isoquant/GSE178175/SRR14808726/SRR14808726/SRR14808726.discovered_transcript_counts.tsv	470961	True	results/paper1/f2_grammar/agg_diu/SRR14808726.diu.parquet	33730	False		0	False		0	True	results/paper1/f2_grammar/agg_ase_ct/SRR14808726.ase_ct.parquet	92640	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808727	GSE178175	human	PacBio	5224	True	6786	data/isoquant/GSE178175/SRR14808727	data/isoquant/GSE178175/SRR14808727	True	data/isoquant/GSE178175/SRR14808727/SRR14808727	SRR14808727	True	data/isoquant/GSE178175/SRR14808727/SRR14808727/SRR14808727.gene_counts.tsv	814052	True	data/isoquant/GSE178175/SRR14808727/SRR14808727/SRR14808727.transcript_counts.tsv	4746582	True	data/isoquant/GSE178175/SRR14808727/SRR14808727/SRR14808727.read_assignments.tsv.gz	16432719	True	data/isoquant/GSE178175/SRR14808727/SRR14808727/SRR14808727.transcript_models.gtf	61403975	True	data/isoquant/GSE178175/SRR14808727/SRR14808727/SRR14808727.extended_annotation.gtf	1347872054	True	data/isoquant/GSE178175/SRR14808727/SRR14808727/SRR14808727.discovered_transcript_counts.tsv	846689	False		0	False		0	False		0	True	results/paper1/f2_grammar/agg_ase_ct/SRR14808727.ase_ct.parquet	120055	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808728	GSE178175	human	PacBio	7739	True	16116	data/isoquant/GSE178175/SRR14808728	data/isoquant/GSE178175/SRR14808728	True	data/isoquant/GSE178175/SRR14808728/SRR14808728	SRR14808728	True	data/isoquant/GSE178175/SRR14808728/SRR14808728/SRR14808728.gene_counts.tsv	818062	True	data/isoquant/GSE178175/SRR14808728/SRR14808728/SRR14808728.transcript_counts.tsv	4748374	True	data/isoquant/GSE178175/SRR14808728/SRR14808728/SRR14808728.read_assignments.tsv.gz	34459681	True	data/isoquant/GSE178175/SRR14808728/SRR14808728/SRR14808728.transcript_models.gtf	121620493	True	data/isoquant/GSE178175/SRR14808728/SRR14808728/SRR14808728.extended_annotation.gtf	1360094539	True	data/isoquant/GSE178175/SRR14808728/SRR14808728/SRR14808728.discovered_transcript_counts.tsv	1250635	True	results/paper1/f2_grammar/agg_diu/SRR14808728.diu.parquet	66489	False		0	False		0	True	results/paper1/f2_grammar/agg_ase_ct/SRR14808728.ase_ct.parquet	259756	isoquant_core_complete
