run	study	filter	transcript_id	count	usage	pas_supported	is_reference	hc_reference_model
SRR30639543	GSE276974	F0_all_positive_models	ENST00000530727	313.0	0.06062366840983924	False	True	False
SRR30639543	GSE276974	F0_all_positive_models	ENST00000442510	392.0	0.07592484989347278	True	True	True
SRR30639543	GSE276974	F0_all_positive_models	ENST00000367367	213.0	0.04125508425334108	True	True	False
SRR30639543	GSE276974	F0_all_positive_models	ENST00000367364	1481.0	0.28684873135773775	False	True	True
SRR30639543	GSE276974	F0_all_positive_models	ENST00000697630	1285.0	0.24888630641100135	False	True	False
SRR30639543	GSE276974	F0_all_positive_models	ENST00000529828	59.0	0.011427464652333914	True	True	True
SRR30639543	GSE276974	F0_all_positive_models	ENST00000413409	48.0	0.009296920395119116	False	True	True
SRR30639543	GSE276974	F0_all_positive_models	ENST00000462363	130.0	0.025179159403447608	False	True	True
SRR30639543	GSE276974	F0_all_positive_models	ENST00000391970	8.0	0.0015494867325198528	False	True	True
SRR30639543	GSE276974	F0_all_positive_models	ENST00000418674	27.0	0.005229517722254503	False	True	True
SRR30639543	GSE276974	F0_all_positive_models	ENST00000484135	1147.0	0.2221576602750339	True	True	False
SRR30639543	GSE276974	F0_all_positive_models	ENST00000697634	60.0	0.011621150493898896	False	True	False
SRR30639543	GSE276974	F1_pas_supported_models	ENST00000442510	392.0	0.21645499723909442	True	True	True
SRR30639543	GSE276974	F1_pas_supported_models	ENST00000367367	213.0	0.11761457758144671	True	True	False
SRR30639543	GSE276974	F1_pas_supported_models	ENST00000529828	59.0	0.03257868580894534	True	True	True
SRR30639543	GSE276974	F1_pas_supported_models	ENST00000484135	1147.0	0.6333517393705135	True	True	False
SRR30639543	GSE276974	F2_high_confidence_reference_models	ENST00000442510	392.0	0.8691796008869179	True	True	True
SRR30639543	GSE276974	F2_high_confidence_reference_models	ENST00000529828	59.0	0.13082039911308205	True	True	True
SRR30639544	GSE276974	F0_all_positive_models	ENST00000367364	1596.0	0.3144208037825059	False	True	True
SRR30639544	GSE276974	F0_all_positive_models	ENST00000530727	320.0	0.06304176516942474	False	True	False
SRR30639544	GSE276974	F0_all_positive_models	ENST00000643513	18.0	0.0035460992907801418	False	True	False
SRR30639544	GSE276974	F0_all_positive_models	ENST00000442510	428.0	0.08431836091410559	True	True	True
SRR30639544	GSE276974	F0_all_positive_models	ENST00000462363	86.0	0.0169424743892829	False	True	True
SRR30639544	GSE276974	F0_all_positive_models	ENST00000367367	228.0	0.04491725768321513	True	True	False
SRR30639544	GSE276974	F0_all_positive_models	ENST00000529828	93.0	0.018321513002364065	True	True	True
SRR30639544	GSE276974	F0_all_positive_models	ENST00000413409	77.0	0.015169424743892828	False	True	True
SRR30639544	GSE276974	F0_all_positive_models	ENST00000697630	1181.0	0.2326635145784082	False	True	False
SRR30639544	GSE276974	F0_all_positive_models	ENST00000418674	33.0	0.0065011820330969266	False	True	True
SRR30639544	GSE276974	F0_all_positive_models	ENST00000427110	2.0	0.0003940110323089047	False	True	True
SRR30639544	GSE276974	F0_all_positive_models	ENST00000484135	1014.0	0.19976359338061467	True	True	False
SRR30639544	GSE276974	F1_pas_supported_models	ENST00000442510	428.0	0.24276800907543958	True	True	True
SRR30639544	GSE276974	F1_pas_supported_models	ENST00000367367	228.0	0.12932501418037437	True	True	False
SRR30639544	GSE276974	F1_pas_supported_models	ENST00000529828	93.0	0.052750992626205334	True	True	True
SRR30639544	GSE276974	F1_pas_supported_models	ENST00000484135	1014.0	0.5751559841179807	True	True	False
SRR30639544	GSE276974	F2_high_confidence_reference_models	ENST00000442510	428.0	0.8214971209213052	True	True	True
SRR30639544	GSE276974	F2_high_confidence_reference_models	ENST00000529828	93.0	0.1785028790786948	True	True	True
SRR30639545	GSE276974	F0_all_positive_models	ENST00000367379	396.0	0.0322633208408017	False	True	False
SRR30639545	GSE276974	F0_all_positive_models	ENST00000442510	850.0	0.06925207756232687	True	True	True
SRR30639545	GSE276974	F0_all_positive_models	ENST00000530727	472.0	0.03845527130519798	False	True	False
SRR30639545	GSE276974	F0_all_positive_models	ENST00000462363	186.0	0.015153984031285645	False	True	True
SRR30639545	GSE276974	F0_all_positive_models	ENST00000367367	458.0	0.037314648851230245	True	True	False
SRR30639545	GSE276974	F0_all_positive_models	ENST00000367364	3568.0	0.29069577969692034	False	True	True
SRR30639545	GSE276974	F0_all_positive_models	ENST00000529828	140.0	0.011406224539677367	True	True	True
SRR30639545	GSE276974	F0_all_positive_models	ENST00000413409	184.0	0.014991037966433111	False	True	True
SRR30639545	GSE276974	F0_all_positive_models	ENST00000697630	3078.0	0.25077399380804954	False	True	False
SRR30639545	GSE276974	F0_all_positive_models	ENST00000418674	50.0	0.004073651621313346	False	True	True
SRR30639545	GSE276974	F0_all_positive_models	ENST00000484135	2812.0	0.22910216718266255	True	True	False
SRR30639545	GSE276974	F0_all_positive_models	ENST00000697634	80.0	0.006517842594101353	False	True	False
SRR30639545	GSE276974	F1_pas_supported_models	ENST00000442510	850.0	0.19953051643192488	True	True	True
SRR30639545	GSE276974	F1_pas_supported_models	ENST00000367367	458.0	0.10751173708920188	True	True	False
SRR30639545	GSE276974	F1_pas_supported_models	ENST00000529828	140.0	0.03286384976525822	True	True	True
SRR30639545	GSE276974	F1_pas_supported_models	ENST00000484135	2812.0	0.6600938967136151	True	True	False
SRR30639545	GSE276974	F2_high_confidence_reference_models	ENST00000442510	850.0	0.8585858585858586	True	True	True
SRR30639545	GSE276974	F2_high_confidence_reference_models	ENST00000529828	140.0	0.1414141414141414	True	True	True
SRR30639546	GSE276974	F0_all_positive_models	ENST00000442510	374.0	0.06869948567229978	True	True	True
SRR30639546	GSE276974	F0_all_positive_models	ENST00000530727	292.0	0.05363703159441587	False	True	False
SRR30639546	GSE276974	F0_all_positive_models	ENST00000462363	84.0	0.015429831006612785	False	True	True
SRR30639546	GSE276974	F0_all_positive_models	ENST00000367367	346.0	0.06355620867009552	True	True	False
SRR30639546	GSE276974	F0_all_positive_models	ENST00000367364	2081.0	0.3822556943423953	False	True	True
SRR30639546	GSE276974	F0_all_positive_models	ENST00000529828	79.0	0.014511388684790596	True	True	True
SRR30639546	GSE276974	F0_all_positive_models	ENST00000697630	2064.0	0.37913299044819987	False	True	False
SRR30639546	GSE276974	F0_all_positive_models	ENST00000413409	76.0	0.013960323291697281	False	True	True
SRR30639546	GSE276974	F0_all_positive_models	ENST00000418674	9.0	0.0016531961792799412	False	True	True
SRR30639546	GSE276974	F0_all_positive_models	ENST00000697634	39.0	0.0071638501102130785	False	True	False
SRR30639546	GSE276974	F1_pas_supported_models	ENST00000442510	374.0	0.46808510638297873	True	True	True
SRR30639546	GSE276974	F1_pas_supported_models	ENST00000367367	346.0	0.4330413016270338	True	True	False
SRR30639546	GSE276974	F1_pas_supported_models	ENST00000529828	79.0	0.09887359198998748	True	True	True
SRR30639546	GSE276974	F2_high_confidence_reference_models	ENST00000442510	374.0	0.82560706401766	True	True	True
SRR30639546	GSE276974	F2_high_confidence_reference_models	ENST00000529828	79.0	0.17439293598233996	True	True	True
SRR30639548	GSE276974	F0_all_positive_models	ENST00000367364	1851.0	0.2955924624720537	False	True	True
SRR30639548	GSE276974	F0_all_positive_models	ENST00000367379	118.0	0.018843819865857554	False	True	False
SRR30639548	GSE276974	F0_all_positive_models	ENST00000367367	343.0	0.05477483232194187	True	True	False
SRR30639548	GSE276974	F0_all_positive_models	ENST00000348564	225.0	0.03593101245608432	True	True	True
SRR30639548	GSE276974	F0_all_positive_models	ENST00000530727	239.0	0.03816671989779623	False	True	False
SRR30639548	GSE276974	F0_all_positive_models	ENST00000442510	351.0	0.056052379431491536	True	True	True
SRR30639548	GSE276974	F0_all_positive_models	ENST00000462363	77.0	0.012296390929415523	False	True	True
SRR30639548	GSE276974	F0_all_positive_models	ENST00000413409	71.0	0.011338230597253274	False	True	True
SRR30639548	GSE276974	F0_all_positive_models	ENST00000529828	140.0	0.022357074417119132	True	True	True
SRR30639548	GSE276974	F0_all_positive_models	ENST00000697630	2025.0	0.32337911210475884	False	True	False
SRR30639548	GSE276974	F0_all_positive_models	ENST00000418674	21.0	0.00335356116256787	False	True	True
SRR30639548	GSE276974	F0_all_positive_models	ENST00000427110	3.0	0.0004790801660811242	False	True	True
SRR30639548	GSE276974	F0_all_positive_models	ENST00000484135	798.0	0.12743532417757905	True	True	False
SRR30639548	GSE276974	F1_pas_supported_models	ENST00000367367	343.0	0.18470651588583736	True	True	False
SRR30639548	GSE276974	F1_pas_supported_models	ENST00000348564	225.0	0.12116316639741519	True	True	True
SRR30639548	GSE276974	F1_pas_supported_models	ENST00000442510	351.0	0.1890145395799677	True	True	True
SRR30639548	GSE276974	F1_pas_supported_models	ENST00000529828	140.0	0.07539041464728057	True	True	True
SRR30639548	GSE276974	F1_pas_supported_models	ENST00000484135	798.0	0.4297253634894992	True	True	False
SRR30639548	GSE276974	F2_high_confidence_reference_models	ENST00000348564	225.0	0.31424581005586594	True	True	True
SRR30639548	GSE276974	F2_high_confidence_reference_models	ENST00000442510	351.0	0.49022346368715086	True	True	True
SRR30639548	GSE276974	F2_high_confidence_reference_models	ENST00000529828	140.0	0.19553072625698323	True	True	True
SRR30639549	GSE276974	F0_all_positive_models	ENST00000530727	84.0	0.0201390553824023	False	True	False
SRR30639549	GSE276974	F0_all_positive_models	ENST00000442510	230.0	0.05514265164229202	True	True	True
SRR30639549	GSE276974	F0_all_positive_models	ENST00000367367	72.0	0.017262047470630544	True	True	False
SRR30639549	GSE276974	F0_all_positive_models	ENST00000367364	1190.0	0.2853032845840326	False	True	True
SRR30639549	GSE276974	F0_all_positive_models	ENST00000529828	18.0	0.004315511867657636	True	True	True
SRR30639549	GSE276974	F0_all_positive_models	ENST00000413409	23.0	0.005514265164229201	False	True	True
SRR30639549	GSE276974	F0_all_positive_models	ENST00000697630	1723.0	0.4130903859985615	False	True	False
SRR30639549	GSE276974	F0_all_positive_models	ENST00000484135	828.0	0.19851354591225126	True	True	False
SRR30639549	GSE276974	F0_all_positive_models	ENST00000646230	3.0	0.0007192519779429394	False	True	False
SRR30639549	GSE276974	F1_pas_supported_models	ENST00000442510	230.0	0.20034843205574912	True	True	True
SRR30639549	GSE276974	F1_pas_supported_models	ENST00000367367	72.0	0.0627177700348432	True	True	False
SRR30639549	GSE276974	F1_pas_supported_models	ENST00000529828	18.0	0.0156794425087108	True	True	True
SRR30639549	GSE276974	F1_pas_supported_models	ENST00000484135	828.0	0.7212543554006968	True	True	False
SRR30639549	GSE276974	F2_high_confidence_reference_models	ENST00000442510	230.0	0.9274193548387096	True	True	True
SRR30639549	GSE276974	F2_high_confidence_reference_models	ENST00000529828	18.0	0.07258064516129033	True	True	True
SRR30639551	GSE276974	F0_all_positive_models	ENST00000367379	92.0	0.05165637282425604	False	True	False
SRR30639551	GSE276974	F0_all_positive_models	ENST00000367364	850.0	0.4772599663110612	False	True	True
SRR30639551	GSE276974	F0_all_positive_models	ENST00000442510	170.0	0.09545199326221224	True	True	True
SRR30639551	GSE276974	F0_all_positive_models	ENST00000530727	46.0	0.02582818641212802	False	True	False
SRR30639551	GSE276974	F0_all_positive_models	ENST00000413409	35.0	0.019651880965749578	False	True	True
SRR30639551	GSE276974	F0_all_positive_models	ENST00000529828	9.0	0.0050533408197641775	True	True	True
SRR30639551	GSE276974	F0_all_positive_models	ENST00000367367	56.0	0.031443009545199324	True	True	False
SRR30639551	GSE276974	F0_all_positive_models	ENST00000418674	6.0	0.003368893879842785	False	True	True
SRR30639551	GSE276974	F0_all_positive_models	ENST00000484135	517.0	0.29028635597978664	True	True	False
SRR30639551	GSE276974	F1_pas_supported_models	ENST00000442510	170.0	0.22606382978723405	True	True	True
SRR30639551	GSE276974	F1_pas_supported_models	ENST00000529828	9.0	0.011968085106382979	True	True	True
SRR30639551	GSE276974	F1_pas_supported_models	ENST00000367367	56.0	0.07446808510638298	True	True	False
SRR30639551	GSE276974	F1_pas_supported_models	ENST00000484135	517.0	0.6875	True	True	False
SRR30639551	GSE276974	F2_high_confidence_reference_models	ENST00000442510	170.0	0.9497206703910615	True	True	True
SRR30639551	GSE276974	F2_high_confidence_reference_models	ENST00000529828	9.0	0.05027932960893855	True	True	True
SRR30639552	GSE276974	F0_all_positive_models	ENST00000348564	164.0	0.046498440601077405	True	True	True
SRR30639552	GSE276974	F0_all_positive_models	ENST00000367364	1529.0	0.43351290048199603	False	True	True
SRR30639552	GSE276974	F0_all_positive_models	ENST00000530727	100.0	0.02835270768358378	False	True	False
SRR30639552	GSE276974	F0_all_positive_models	ENST00000442510	332.0	0.09413098950949815	True	True	True
SRR30639552	GSE276974	F0_all_positive_models	ENST00000367367	108.0	0.030620924298270485	True	True	False
SRR30639552	GSE276974	F0_all_positive_models	ENST00000462363	52.0	0.014743407995463568	False	True	True
SRR30639552	GSE276974	F0_all_positive_models	ENST00000413409	44.0	0.012475191380776865	False	True	True
SRR30639552	GSE276974	F0_all_positive_models	ENST00000529828	31.0	0.008789339381910972	True	True	True
SRR30639552	GSE276974	F0_all_positive_models	ENST00000418674	53.0	0.015026935072299404	False	True	True
SRR30639552	GSE276974	F0_all_positive_models	ENST00000484135	1074.0	0.3045080805216898	True	True	False
SRR30639552	GSE276974	F0_all_positive_models	ENST00000697634	40.0	0.011341083073433513	False	True	False
SRR30639552	GSE276974	F1_pas_supported_models	ENST00000348564	164.0	0.09596255119953188	True	True	True
SRR30639552	GSE276974	F1_pas_supported_models	ENST00000442510	332.0	0.19426565242832067	True	True	True
SRR30639552	GSE276974	F1_pas_supported_models	ENST00000367367	108.0	0.06319485078993564	True	True	False
SRR30639552	GSE276974	F1_pas_supported_models	ENST00000529828	31.0	0.018139262726740785	True	True	True
SRR30639552	GSE276974	F1_pas_supported_models	ENST00000484135	1074.0	0.6284376828554711	True	True	False
SRR30639552	GSE276974	F2_high_confidence_reference_models	ENST00000348564	164.0	0.3111954459203036	True	True	True
SRR30639552	GSE276974	F2_high_confidence_reference_models	ENST00000442510	332.0	0.6299810246679317	True	True	True
SRR30639552	GSE276974	F2_high_confidence_reference_models	ENST00000529828	31.0	0.058823529411764705	True	True	True
SRR30639553	GSE276974	F0_all_positive_models	ENST00000367379	70.0	0.022158911047799938	False	True	False
SRR30639553	GSE276974	F0_all_positive_models	ENST00000367364	760.0	0.24058246280468504	False	True	True
SRR30639553	GSE276974	F0_all_positive_models	ENST00000442510	178.0	0.056346945235834126	True	True	True
SRR30639553	GSE276974	F0_all_positive_models	ENST00000530727	80.0	0.025324469768914212	False	True	False
SRR30639553	GSE276974	F0_all_positive_models	ENST00000697630	1204.0	0.3811332700221589	False	True	False
SRR30639553	GSE276974	F0_all_positive_models	ENST00000367367	80.0	0.025324469768914212	True	True	False
SRR30639553	GSE276974	F0_all_positive_models	ENST00000462363	37.0	0.011712567268122824	False	True	True
SRR30639553	GSE276974	F0_all_positive_models	ENST00000529828	24.0	0.007597340930674264	True	True	True
SRR30639553	GSE276974	F0_all_positive_models	ENST00000413409	19.0	0.006014561570117125	False	True	True
SRR30639553	GSE276974	F0_all_positive_models	ENST00000418674	14.0	0.004431782209559987	False	True	True
SRR30639553	GSE276974	F0_all_positive_models	ENST00000484135	693.0	0.21937321937321938	True	True	False
SRR30639553	GSE276974	F1_pas_supported_models	ENST00000442510	178.0	0.18256410256410258	True	True	True
SRR30639553	GSE276974	F1_pas_supported_models	ENST00000367367	80.0	0.08205128205128205	True	True	False
SRR30639553	GSE276974	F1_pas_supported_models	ENST00000529828	24.0	0.024615384615384615	True	True	True
SRR30639553	GSE276974	F1_pas_supported_models	ENST00000484135	693.0	0.7107692307692308	True	True	False
SRR30639553	GSE276974	F2_high_confidence_reference_models	ENST00000442510	178.0	0.8811881188118812	True	True	True
SRR30639553	GSE276974	F2_high_confidence_reference_models	ENST00000529828	24.0	0.1188118811881188	True	True	True
