gene	pval	effect	n_pas	qval	sig
ENSG00000005059	0.000999000999000999	0.3125	27	0.0034784714626611857	True
ENSG00000001561	0.000999000999000999	0.5176661573720397	21	0.0034784714626611857	True
ENSG00000001630	0.000999000999000999	0.43592366786840064	28	0.0034784714626611857	True
ENSG00000001631	0.000999000999000999	0.4062826526755741	28	0.0034784714626611857	True
ENSG00000291153	0.000999000999000999	0.46912599906782443	25	0.0034784714626611857	True
ENSG00000000419	0.000999000999000999	0.19013922422546659	26	0.0034784714626611857	False
ENSG00000291237	0.000999000999000999	0.23487069199552357	60	0.0034784714626611857	True
ENSG00000000938	0.000999000999000999	0.025238287018391713	4	0.0034784714626611857	False
ENSG00000123066	0.000999000999000999	0.41817092235539344	47	0.0034784714626611857	True
ENSG00000123080	0.000999000999000999	0.40380362671384346	19	0.0034784714626611857	True
ENSG00000123104	0.000999000999000999	0.4039030441836053	52	0.0034784714626611857	True
ENSG00000005206	0.000999000999000999	0.4278640330730362	16	0.0034784714626611857	True
ENSG00000005249	0.000999000999000999	0.4113300492610837	15	0.0034784714626611857	True
ENSG00000004864	0.000999000999000999	0.1393842887473461	23	0.0034784714626611857	False
ENSG00000004961	0.000999000999000999	0.12169013268439655	15	0.0034784714626611857	False
ENSG00000005020	0.000999000999000999	0.22249932550924056	34	0.0034784714626611857	True
ENSG00000122483	0.000999000999000999	0.612910052910053	57	0.0034784714626611857	True
ENSG00000122484	0.000999000999000999	0.5487951807228916	45	0.0034784714626611857	True
ENSG00000122068	0.000999000999000999	0.35598714656685676	38	0.0034784714626611857	True
ENSG00000122085	0.000999000999000999	0.3745751911639762	40	0.0034784714626611857	True
ENSG00000122218	0.000999000999000999	0.35848014219083874	22	0.0034784714626611857	True
ENSG00000122224	0.000999000999000999	0.6395327727169466	14	0.0034784714626611857	True
ENSG00000122257	0.000999000999000999	0.32952380542698007	45	0.0034784714626611857	True
ENSG00000122390	0.000999000999000999	0.26372583603781574	15	0.0034784714626611857	True
ENSG00000122557	0.000999000999000999	0.4116567131165671	19	0.0034784714626611857	True
ENSG00000122565	0.000999000999000999	0.31779599069447073	38	0.0034784714626611857	True
ENSG00000122566	0.000999000999000999	0.28516712120240556	90	0.0034784714626611857	True
ENSG00000122591	0.000999000999000999	0.6347826086956523	20	0.0034784714626611857	True
ENSG00000122643	0.000999000999000999	0.1058943089430894	20	0.0034784714626611857	False
ENSG00000122406	0.000999000999000999	0.2904783239918028	43	0.0034784714626611857	True
ENSG00000122417	0.000999000999000999	0.4133651919223062	37	0.0034784714626611857	True
ENSG00000122482	0.000999000999000999	0.1619810539273533	42	0.0034784714626611857	False
ENSG00000159216	0.000999000999000999	0.3179047438164585	41	0.0034784714626611857	True
