gene	pval	effect	n_iso	qval	sig
ENSG00000188428	0.000999000999000999	0.2542087542087543	5	0.004933419521654815	True
ENSG00000188486	0.000999000999000999	0.23781236336730235	2	0.004933419521654815	True
ENSG00000188529	0.000999000999000999	0.14758015583525114	16	0.004933419521654815	False
ENSG00000188536	0.000999000999000999	0.033732732804661165	4	0.004933419521654815	False
ENSG00000291237	0.000999000999000999	0.5882352941176471	12	0.004933419521654815	True
ENSG00000001631	0.000999000999000999	0.7092397660818713	47	0.004933419521654815	True
ENSG00000002330	0.000999000999000999	0.039994073872578605	4	0.004933419521654815	False
ENSG00000002586	0.000999000999000999	0.1660441507632396	14	0.004933419521654815	False
ENSG00000165813	0.000999000999000999	0.2510988902686614	6	0.004933419521654815	True
ENSG00000165819	0.000999000999000999	0.34328963662800144	13	0.004933419521654815	True
ENSG00000166012	0.000999000999000999	0.4474542769141407	20	0.004933419521654815	True
ENSG00000003056	0.000999000999000999	0.17480716190732767	10	0.004933419521654815	False
ENSG00000003400	0.000999000999000999	0.3386356737572093	11	0.004933419521654815	True
ENSG00000003402	0.000999000999000999	0.43059246632837456	23	0.004933419521654815	True
ENSG00000007168	0.000999000999000999	0.47752271640363464	23	0.004933419521654815	True
ENSG00000188404	0.000999000999000999	0.4555886158876192	6	0.004933419521654815	True
ENSG00000006530	0.000999000999000999	0.6380543633762518	21	0.004933419521654815	True
ENSG00000006652	0.000999000999000999	0.24236294752319873	15	0.004933419521654815	True
ENSG00000006715	0.000999000999000999	0.46796648987463835	13	0.004933419521654815	True
ENSG00000006831	0.000999000999000999	0.1583596103987107	4	0.004933419521654815	False
ENSG00000165671	0.000999000999000999	0.38125627829696884	20	0.004933419521654815	True
ENSG00000165775	0.000999000999000999	0.14478341008397422	5	0.004933419521654815	False
ENSG00000165782	0.000999000999000999	0.5199524537272882	5	0.004933419521654815	True
ENSG00000165792	0.000999000999000999	0.4445837373735363	20	0.004933419521654815	True
ENSG00000137513	0.000999000999000999	0.5251368840219015	15	0.004933419521654815	True
ENSG00000137692	0.000999000999000999	0.4026772940936031	9	0.004933419521654815	True
ENSG00000137720	0.000999000999000999	0.45671758715236976	5	0.004933419521654815	True
ENSG00000291100	0.000999000999000999	0.4251677076104557	29	0.004933419521654815	True
ENSG00000291107	0.000999000999000999	0.3698143764793821	4	0.004933419521654815	True
ENSG00000291113	0.000999000999000999	0.8830242510699002	9	0.004933419521654815	True
ENSG00000291117	0.000999000999000999	0.6893725992317541	10	0.004933419521654815	True
ENSG00000006125	0.000999000999000999	0.42913232778728033	16	0.004933419521654815	True
ENSG00000165060	0.000999000999000999	0.32559238696567244	4	0.004933419521654815	True
ENSG00000166128	0.000999000999000999	0.36317596680321895	5	0.004933419521654815	True
ENSG00000166130	0.000999000999000999	0.4649967384213959	3	0.004933419521654815	True
ENSG00000166136	0.000999000999000999	0.03891121370659081	9	0.004933419521654815	False
ENSG00000124783	0.000999000999000999	0.29815008283503186	10	0.004933419521654815	True
ENSG00000187514	0.000999000999000999	0.1920088324745668	12	0.004933419521654815	False
ENSG00000123136	0.000999000999000999	0.06810930268688953	15	0.004933419521654815	False
ENSG00000123143	0.000999000999000999	0.29606734958200875	9	0.004933419521654815	True
ENSG00000165525	0.000999000999000999	0.2885652499080424	14	0.004933419521654815	True
ENSG00000165526	0.000999000999000999	0.21114630408536234	6	0.004933419521654815	True
ENSG00000165609	0.000999000999000999	0.20602201852201854	6	0.004933419521654815	True
ENSG00000165629	0.000999000999000999	0.07114710369568539	9	0.004933419521654815	False
ENSG00000165637	0.000999000999000999	0.26919290877984464	14	0.004933419521654815	True
ENSG00000165650	0.000999000999000999	0.28030700503476835	3	0.004933419521654815	True
ENSG00000164978	0.000999000999000999	0.30363835553249147	4	0.004933419521654815	True
ENSG00000164985	0.000999000999000999	0.5547661338069864	8	0.004933419521654815	True
ENSG00000291068	0.000999000999000999	0.39568701487253943	4	0.004933419521654815	True
ENSG00000291078	0.000999000999000999	0.2754278263704026	6	0.004933419521654815	True
ENSG00000007392	0.000999000999000999	0.3653090065692133	18	0.004933419521654815	True
ENSG00000165119	0.000999000999000999	0.23598367102918563	34	0.004933419521654815	True
ENSG00000165175	0.000999000999000999	0.3823341042519125	4	0.004933419521654815	True
ENSG00000165283	0.000999000999000999	0.1465672854177322	5	0.004933419521654815	False
ENSG00000165416	0.000999000999000999	0.30396959028521864	4	0.004933419521654815	True
ENSG00000165494	0.000999000999000999	0.24177419342801212	8	0.004933419521654815	True
ENSG00000005187	0.000999000999000999	0.8669064748201438	8	0.004933419521654815	True
ENSG00000291317	0.000999000999000999	0.35034394623079107	5	0.004933419521654815	True
ENSG00000291203	0.000999000999000999	0.5505649717514125	32	0.004933419521654815	True
ENSG00000291178	0.000999000999000999	0.3001369683877301	108	0.004933419521654815	True
ENSG00000291152	0.000999000999000999	0.43996695428676336	7	0.004933419521654815	True
ENSG00000006015	0.000999000999000999	0.1649677840002044	8	0.004933419521654815	False
ENSG00000007312	0.000999000999000999	0.32241170083668647	7	0.004933419521654815	True
ENSG00000291033	0.000999000999000999	0.38794109893420703	16	0.004933419521654815	True
ENSG00000164713	0.000999000999000999	0.3667097959013314	5	0.004933419521654815	True
ENSG00000125107	0.000999000999000999	0.43145261726845774	21	0.004933419521654815	True
ENSG00000122882	0.000999000999000999	0.21280743511277342	8	0.004933419521654815	True
ENSG00000122958	0.000999000999000999	0.5558301287498937	8	0.004933419521654815	True
ENSG00000122986	0.000999000999000999	0.07277628032345014	8	0.004933419521654815	False
ENSG00000123080	0.000999000999000999	0.13138264183604653	3	0.004933419521654815	False
ENSG00000188603	0.000999000999000999	0.4948368068912976	29	0.004933419521654815	True
ENSG00000188677	0.000999000999000999	0.3573443081298492	6	0.004933419521654815	True
ENSG00000012822	0.000999000999000999	0.44930589209155214	16	0.004933419521654815	True
ENSG00000164329	0.000999000999000999	0.33959899749373423	15	0.004933419521654815	True
ENSG00000164405	0.000999000999000999	0.16882929091374546	6	0.004933419521654815	False
ENSG00000164466	0.000999000999000999	0.4233439739238188	11	0.004933419521654815	True
ENSG00000164494	0.000999000999000999	0.5071022727272727	2	0.004933419521654815	True
ENSG00000164543	0.000999000999000999	0.12816257741658652	4	0.004933419521654815	False
ENSG00000164548	0.000999000999000999	0.5538249971998557	12	0.004933419521654815	True
ENSG00000164587	0.000999000999000999	0.30120355521629605	8	0.004933419521654815	True
ENSG00000164924	0.000999000999000999	0.2986470717249066	23	0.004933419521654815	True
ENSG00000011198	0.000999000999000999	0.4278937381404175	14	0.004933419521654815	True
ENSG00000290770	0.000999000999000999	0.482393899204244	9	0.004933419521654815	True
ENSG00000290838	0.000999000999000999	0.06781285742261767	2	0.004933419521654815	False
ENSG00000290867	0.000999000999000999	0.26065449010654496	7	0.004933419521654815	True
ENSG00000290871	0.000999000999000999	0.18232029872419875	8	0.004933419521654815	False
ENSG00000011600	0.000999000999000999	0.13547333256612745	9	0.004933419521654815	False
ENSG00000012660	0.000999000999000999	0.2123320078980173	4	0.004933419521654815	True
ENSG00000166347	0.000999000999000999	0.08186126157476735	6	0.004933419521654815	False
ENSG00000166398	0.000999000999000999	0.029702970297029715	5	0.004933419521654815	False
ENSG00000166411	0.000999000999000999	0.15531523324964636	21	0.004933419521654815	False
ENSG00000166428	0.000999000999000999	0.48512479316050744	6	0.004933419521654815	True
ENSG00000166441	0.000999000999000999	0.02771168328952501	11	0.004933419521654815	False
ENSG00000166501	0.000999000999000999	0.12346156658499945	11	0.004933419521654815	False
ENSG00000164896	0.000999000999000999	0.33486139680673915	12	0.004933419521654815	True
ENSG00000164919	0.000999000999000999	0.22837972229093734	11	0.004933419521654815	True
ENSG00000166508	0.000999000999000999	0.1928440284805875	11	0.004933419521654815	False
ENSG00000166562	0.000999000999000999	0.07494784664342315	7	0.004933419521654815	False
ENSG00000166579	0.000999000999000999	0.5136024784587085	14	0.004933419521654815	True
ENSG00000166595	0.000999000999000999	0.027484700568685835	6	0.004933419521654815	False
ENSG00000166598	0.000999000999000999	0.24552400310874634	32	0.004933419521654815	True
ENSG00000166685	0.000999000999000999	0.688119105522273	6	0.004933419521654815	True
ENSG00000166710	0.000999000999000999	0.007308268748548518	11	0.004933419521654815	False
ENSG00000166794	0.000999000999000999	0.014044210208422912	6	0.004933419521654815	False
ENSG00000289469	0.000999000999000999	0.13731278801843322	3	0.004933419521654815	False
ENSG00000013441	0.000999000999000999	0.2845641919884812	14	0.004933419521654815	True
ENSG00000013810	0.000999000999000999	0.1505058904507458	15	0.004933419521654815	False
ENSG00000014123	0.000999000999000999	0.23551302854253423	2	0.004933419521654815	True
ENSG00000014216	0.000999000999000999	0.15550305024619152	17	0.004933419521654815	False
ENSG00000014641	0.000999000999000999	0.3320052771143348	12	0.004933419521654815	True
ENSG00000014824	0.000999000999000999	0.5272727272727272	4	0.004933419521654815	True
ENSG00000164221	0.000999000999000999	0.2530726083561575	7	0.004933419521654815	True
ENSG00000124562	0.000999000999000999	0.11457381856641508	4	0.004933419521654815	False
ENSG00000124570	0.000999000999000999	0.31865269607881896	21	0.004933419521654815	True
ENSG00000124614	0.000999000999000999	0.009598082338473157	9	0.004933419521654815	False
ENSG00000164751	0.000999000999000999	0.3047749600182774	6	0.004933419521654815	True
ENSG00000164830	0.000999000999000999	0.3688635137565186	12	0.004933419521654815	True
ENSG00000166295	0.000999000999000999	0.13782821507906334	5	0.004933419521654815	False
ENSG00000013275	0.000999000999000999	0.26490129837499043	6	0.004933419521654815	True
ENSG00000013306	0.000999000999000999	0.09915424617838328	15	0.004933419521654815	False
ENSG00000188690	0.000999000999000999	0.5250548620931605	16	0.004933419521654815	True
ENSG00000188739	0.000999000999000999	0.4364035087719298	10	0.004933419521654815	True
ENSG00000188846	0.000999000999000999	0.06108189166386765	9	0.004933419521654815	False
ENSG00000188976	0.000999000999000999	0.28701336953656487	5	0.004933419521654815	True
ENSG00000124155	0.000999000999000999	0.5459772922351168	49	0.004933419521654815	True
ENSG00000124226	0.000999000999000999	0.7395428571428573	6	0.004933419521654815	True
ENSG00000124228	0.000999000999000999	0.29916816372981525	4	0.004933419521654815	True
ENSG00000124357	0.000999000999000999	0.17146526088131925	19	0.004933419521654815	False
ENSG00000015479	0.000999000999000999	0.33836846769659823	24	0.004933419521654815	True
ENSG00000015676	0.000999000999000999	0.8520625889046942	6	0.004933419521654815	True
ENSG00000018280	0.000999000999000999	0.9539748953974895	15	0.004933419521654815	True
ENSG00000019582	0.000999000999000999	0.11533310175403336	11	0.004933419521654815	False
ENSG00000021355	0.000999000999000999	0.29603070175438595	5	0.004933419521654815	True
ENSG00000022840	0.000999000999000999	0.20147047173460206	19	0.004933419521654815	True
ENSG00000023191	0.000999000999000999	0.4269435656633117	20	0.004933419521654815	True
ENSG00000164104	0.000999000999000999	0.09696891709933042	5	0.004933419521654815	False
ENSG00000187824	0.000999000999000999	0.5283549783549784	5	0.004933419521654815	True
ENSG00000124795	0.000999000999000999	0.3531050130068261	12	0.004933419521654815	True
ENSG00000124802	0.000999000999000999	0.2664276305849858	5	0.004933419521654815	True
ENSG00000124831	0.000999000999000999	0.1289753750635934	13	0.004933419521654815	False
ENSG00000125037	0.000999000999000999	0.2918786757417564	8	0.004933419521654815	True
ENSG00000014919	0.000999000999000999	0.34820202498045316	2	0.004933419521654815	True
ENSG00000015285	0.000999000999000999	0.1289884966896115	7	0.004933419521654815	False
ENSG00000015475	0.000999000999000999	0.24980267377041093	9	0.004933419521654815	True
ENSG00000189159	0.000999000999000999	0.37143339416348975	9	0.004933419521654815	True
ENSG00000189266	0.000999000999000999	0.1190334473145578	4	0.004933419521654815	False
ENSG00000189403	0.000999000999000999	0.24247517170081706	8	0.004933419521654815	True
ENSG00000122643	0.000999000999000999	0.7749559969826503	9	0.004933419521654815	True
ENSG00000122644	0.000999000999000999	0.7876259993048315	7	0.004933419521654815	True
ENSG00000122674	0.000999000999000999	0.2738899284944172	7	0.004933419521654815	True
ENSG00000122694	0.000999000999000999	0.39495798319327735	5	0.004933419521654815	True
ENSG00000122705	0.000999000999000999	0.059402313589128675	7	0.004933419521654815	False
ENSG00000164307	0.000999000999000999	0.3317867948010458	6	0.004933419521654815	True
ENSG00000187266	0.000999000999000999	0.32187857961053834	7	0.004933419521654815	True
ENSG00000122545	0.000999000999000999	0.22650395036442433	19	0.004933419521654815	True
ENSG00000122550	0.000999000999000999	0.3168841665749322	8	0.004933419521654815	True
ENSG00000122565	0.000999000999000999	0.32349654333702194	8	0.004933419521654815	True
ENSG00000122566	0.000999000999000999	0.34200183183364535	38	0.004933419521654815	True
ENSG00000189046	0.000999000999000999	0.31882822089430995	6	0.004933419521654815	True
ENSG00000189091	0.000999000999000999	0.340218473890062	10	0.004933419521654815	True
ENSG00000283103	0.000999000999000999	0.3044525169173533	9	0.004933419521654815	True
ENSG00000284024	0.000999000999000999	0.42261987977072557	3	0.004933419521654815	True
ENSG00000284194	0.000999000999000999	0.5718513171267076	4	0.004933419521654815	True
ENSG00000285437	0.000999000999000999	0.41914568434209953	8	0.004933419521654815	True
ENSG00000023909	0.000999000999000999	0.3047457627118644	3	0.004933419521654815	True
ENSG00000025770	0.000999000999000999	0.23332139280376096	10	0.004933419521654815	True
ENSG00000026025	0.000999000999000999	0.33228983071689144	10	0.004933419521654815	True
ENSG00000026297	0.000999000999000999	0.2721406215973803	19	0.004933419521654815	True
ENSG00000164051	0.000999000999000999	0.5862924281984333	5	0.004933419521654815	True
ENSG00000164054	0.000999000999000999	0.4386437390428588	13	0.004933419521654815	True
ENSG00000164073	0.000999000999000999	0.5332185886402754	35	0.004933419521654815	True
ENSG00000164081	0.000999000999000999	0.11059787368789835	15	0.004933419521654815	False
ENSG00000023228	0.000999000999000999	0.19725725298811228	10	0.004933419521654815	False
ENSG00000023572	0.000999000999000999	0.24727131860505983	4	0.004933419521654815	True
ENSG00000023734	0.000999000999000999	0.25758548830242856	5	0.004933419521654815	True
ENSG00000023892	0.000999000999000999	0.4636780160380649	5	0.004933419521654815	True
ENSG00000164167	0.000999000999000999	0.4481167608286252	7	0.004933419521654815	True
ENSG00000163902	0.000999000999000999	0.12725872303884117	6	0.004933419521654815	False
ENSG00000163918	0.000999000999000999	0.2046695826929897	12	0.004933419521654815	True
ENSG00000163930	0.000999000999000999	0.26651725855265684	8	0.004933419521654815	True
ENSG00000163931	0.000999000999000999	0.21242266919513786	12	0.004933419521654815	True
ENSG00000163933	0.000999000999000999	0.47677398411243505	2	0.004933419521654815	True
ENSG00000164022	0.000999000999000999	0.3046335791226258	16	0.004933419521654815	True
ENSG00000164032	0.000999000999000999	0.047671200541800116	7	0.004933419521654815	False
ENSG00000164111	0.000999000999000999	0.2257864867280365	11	0.004933419521654815	True
ENSG00000164117	0.000999000999000999	0.3025662188393171	3	0.004933419521654815	True
ENSG00000166803	0.000999000999000999	0.18223167053937805	7	0.004933419521654815	False
ENSG00000166913	0.000999000999000999	0.2124288949025239	8	0.004933419521654815	True
ENSG00000166925	0.000999000999000999	0.2833298049019877	4	0.004933419521654815	True
ENSG00000166946	0.000999000999000999	0.281651670984795	15	0.004933419521654815	True
ENSG00000166986	0.000999000999000999	0.41600115116195413	24	0.004933419521654815	True
ENSG00000167004	0.000999000999000999	0.17050038743870485	31	0.004933419521654815	False
ENSG00000027697	0.000999000999000999	0.9228869895536562	16	0.004933419521654815	True
ENSG00000028528	0.000999000999000999	0.2908400897015698	11	0.004933419521654815	True
