study	cell_type	eligible_runs	informative_reads	informative_umi_molecules	ro_read_fraction	ro_umi_fraction	absolute_delta_percentage_points
GSE276974	B cell	14	21828	7738	0.07293384643577057	0.07392090979581287	0.09870633600422979
GSE276974	NK	13	54568	17294	0.08530640668523677	0.07881346131606337	0.64929453691734
GSE276974	Monocyte	13	5128	1893	0.28217628705148207	0.2694136291600634	1.2762657891418672
GSE276974	T cell	13	70563	26053	0.397432081969304	0.38252792384754153	1.490415812176249
GSE307660	B cell	11	21165	7607	0.0035908339239310184	0.003549362429341396	0.004147149458962225
GSE307660	NK	8	2782	1098	0.16714593817397555	0.14571948998178508	2.142644819219047
GSE307660	Monocyte	14	86816	32451	0.3038955952819757	0.31703183260916457	1.3136237327188882
GSE307660	T cell	17	33590	13946	0.22095861863649896	0.21339452172665999	0.7564096909838974
