biological_unit	gene	monocyte_label_monocyte_role_molecules	monocyte_label_t_cell_role_molecules	monocyte_label_monocyte_role_usage	t_cell_label_monocyte_role_molecules	t_cell_label_t_cell_role_molecules	t_cell_label_monocyte_role_usage	monocyte_minus_t_cell_usage
orb7320	PSMB8	443	29	0.9385593220338984	21	10	0.6774193548387096	0.2611399671951887
prom00006	PSMB8	72	9	0.8888888888888888	22	4	0.8461538461538461	0.042735042735042694
prom00016	PSMB8	184	117	0.6112956810631229	155	473	0.24681528662420382	0.3644803944389191
mm00075	RPL41	349	275	0.5592948717948718	12	23	0.34285714285714286	0.21643772893772895
mm00098	RPL41	399	351	0.532	136	354	0.27755102040816326	0.25444897959183677
mm00099	RPL41	182	185	0.49591280653950953	210	462	0.3125	0.18341280653950953
mm00265	RPL41	579	254	0.695078031212485	28	14	0.6666666666666666	0.028411364545818385
omb1791	RPL41	113	54	0.6766467065868264	98	108	0.47572815533980584	0.20091855124702052
omb1798	RPL41	98	62	0.6125	123	123	0.5	0.11250000000000004
omb1846	RPL41	221	85	0.7222222222222222	135	113	0.5443548387096774	0.17786738351254483
omb2148	RPL41	1299	577	0.6924307036247335	368	229	0.6164154103852596	0.07601529323947387
orb1444	RPL41	501	297	0.6278195488721805	31	43	0.4189189189189189	0.20890062995326159
orb4718	RPL41	364	214	0.629757785467128	24	23	0.5106382978723404	0.11911948759478763
orb7320	RPL41	175	113	0.6076388888888888	16	20	0.4444444444444444	0.16319444444444442
prom00006	RPL41	37	26	0.5873015873015873	17	14	0.5483870967741935	0.03891449052739382
prom00016	RPL41	207	123	0.6272727272727273	386	485	0.4431687715269805	0.18410395574574684
mm00075	S100A6	16463	389	0.9769166864467126	144	2	0.9863013698630136	-0.009384683416301054
mm00098	S100A6	30633	893	0.9716741736979001	1622	66	0.9609004739336493	0.0107736997642508
mm00099	S100A6	13611	354	0.9746509129967776	2387	83	0.9663967611336033	0.008254151863174353
mm00265	S100A6	23090	523	0.9778511836700123	223	7	0.9695652173913043	0.008285966278708035
omb1791	S100A6	3778	128	0.9672299027137736	692	14	0.9801699716713881	-0.012940068957614459
omb1798	S100A6	3742	72	0.9811221814368117	930	13	0.9862142099681867	-0.005092028531374915
omb1846	S100A6	5560	129	0.9773246616277026	1148	23	0.9803586678052946	-0.0030340061775919747
omb2148	S100A6	36694	959	0.974530581892545	2440	55	0.9779559118236473	-0.003425329931102228
orb1444	S100A6	27594	644	0.9771938522558254	573	15	0.9744897959183674	0.0027040563374580717
orb4718	S100A6	14813	405	0.9733867788145617	256	10	0.9624060150375939	0.010980763776967772
orb7320	S100A6	9715	240	0.9758915118031141	226	6	0.9741379310344828	0.001753580768631302
prom00006	S100A6	1463	45	0.9701591511936339	134	4	0.9710144927536232	-0.0008553415599892311
prom00016	S100A6	10295	296	0.9720517420451327	3368	77	0.9776487663280116	-0.005597024282878893
mm00075	SMAP2	75	1096	0.06404782237403928	0	24	0.0	0.06404782237403928
mm00098	SMAP2	31	582	0.05057096247960848	0	953	0.0	0.05057096247960848
mm00099	SMAP2	19	178	0.09644670050761421	1	438	0.002277904328018223	0.09416879617959599
mm00265	SMAP2	344	2640	0.11528150134048257	1	49	0.02	0.09528150134048256
omb1791	SMAP2	10	145	0.06451612903225806	0	72	0.0	0.06451612903225806
omb1798	SMAP2	6	84	0.06666666666666667	0	85	0.0	0.06666666666666667
omb1846	SMAP2	0	59	0.0	0	28	0.0	0.0
omb2148	SMAP2	186	1345	0.12148922273024167	0	306	0.0	0.12148922273024167
orb1444	SMAP2	132	1045	0.11214953271028037	0	44	0.0	0.11214953271028037
orb4718	SMAP2	35	697	0.04781420765027322	0	40	0.0	0.04781420765027322
orb7320	SMAP2	85	648	0.11596180081855388	1	27	0.03571428571428571	0.08024751510426817
prom00006	SMAP2	13	100	0.11504424778761062	0	56	0.0	0.11504424778761062
prom00016	SMAP2	41	247	0.1423611111111111	0	543	0.0	0.1423611111111111
