Gene_ID	n_visible_isoforms	top2_expressing_cells	top2_molecules	max_abs_prop_diff	min_fdr	gene_name	top_isoforms
ENSMUSG00000028798	2	1072	1175.7358302740047	0.0434902120168674	0.0278802973714763	Eif3i	ENSMUST00000102593;ENSMUST00000135055
ENSMUSG00000009927	2	1059	1175.5041391214086	0.0657945728352728	3.3963740962686e-05	Rps25	ENSMUST00000080300;ENSMUST00000216867
ENSMUSG00000086841	2	1038	1148.3665091444636	0.113459694296825	3.02663725889892e-20	2410006H16Rik	ENSMUST00000131787;ENSMUST00000241865
ENSMUSG00000053332	2	1013	1122.137723310996	0.116317390025782	2.3091391628496601e-10	Gas5	ENSMUST00000159706;ENSMUST00000159663
ENSMUSG00000025362	2	997	1137.8505958439016	0.123343944000211	2.12805915388641e-16	Rps26	ENSMUST00000026420;ENSMUST00000219591
ENSMUSG00000024844	2	956	1077.973375764233	0.0442008965427281	0.0355221855521042	Banf1	ENSMUST00000025762;ENSMUST00000170010
ENSMUSG00000042745	2	859	988.2671423421265	0.110712401385615	6.67838658433768e-07	Id1	ENSMUST00000038368;ENSMUST00000109824
ENSMUSG00000067847	2	830	927.4932365152075	0.0399379698345529	0.0215484558749226	Romo1	ENSMUST00000088610;ENSMUST00000109597
ENSMUSG00000002014	2	741	837.9442421027894	0.0562250774856332	0.0009914479687428	Ssr4	ENSMUST00000166518;ENSMUST00000129239
ENSMUSG00000039067	2	664	721.8877753527094	0.0740388679387484	6.50712156368405e-13	Psmd7	ENSMUST00000044106;ENSMUST00000213080
ENSMUSG00000046434	2	619	683.5249104491875	0.0709957524943272	1.83261203919985e-13	Hnrnpa1	ENSMUST00000087351;ENSMUST00000230489
ENSMUSG00000020737	2	595	659.053991660297	0.0946068005729644	5.721999562291419e-16	Jpt1	ENSMUST00000021083;ENSMUST00000155399
ENSMUSG00000047215	2	574	631.464827350725	0.075578789471171	3.70304122885797e-08	Rpl9	ENSMUST00000057885;ENSMUST00000127874
ENSMUSG00000020477	2	563	619.9802854378762	0.0800731866883921	2.01272557096836e-05	Mrps24	ENSMUST00000154330;ENSMUST00000020770
ENSMUSG00000028410	2	490	540.3173472401186	0.0458498878948879	0.0019810357472479	Dnaja1	ENSMUST00000030118;ENSMUST00000164233
ENSMUSG00000037058	2	448	491.75663553073025	0.0653598532102814	1.21821646331956e-06	Paip2	ENSMUST00000041314;ENSMUST00000236868
ENSMUSG00000057278	2	440	488.07053773124073	0.0549356713529636	0.0003867115939349	Snrpg	ENSMUST00000089558;ENSMUST00000204380
ENSMUSG00000004980	2	436	477.2347144589769	0.0964693552266829	2.64561100076515e-07	Hnrnpa2b1	ENSMUST00000203220;ENSMUST00000090002
ENSMUSG00000003955	2	417	462.7737207771159	0.073180835636232	6.13097389862668e-08	Fam162a	ENSMUST00000004057;ENSMUST00000231351
ENSMUSG00000092203	2	408	446.8659020490645	0.132918355164892	1.05535796940234e-10	1110038B12Rik	ENSMUST00000172501;ENSMUST00000173070
ENSMUSG00000036371	2	393	435.7149428970366	0.0801675964146623	3.3780394845662204e-09	Serbp1	ENSMUST00000203077;ENSMUST00000042990
ENSMUSG00000096768	2	382	452.0064802984287	0.211492608341707	9.03071612919218e-12	Gm47283	ENSMUST00000177591;ENSMUST00000238471
ENSMUSG00000052033	2	364	405.67778777579247	0.0228344833619637	0.0045917420052822	Pfdn4	ENSMUST00000063682;ENSMUST00000170167
ENSMUSG00000058569	2	346	388.681603591569	0.0468034080906413	6.41854839504405e-05	Tmed9	ENSMUST00000109905;ENSMUST00000225723
ENSMUSG00000019432	2	320	349.5413805476271	0.133620075280459	1.0456994209854301e-25	Ddx39b	ENSMUST00000068056;ENSMUST00000174164
ENSMUSG00000049517	2	286	317.918692172278	0.093585886970376	1.11417539094449e-06	Rps23	ENSMUST00000051955;ENSMUST00000224463
ENSMUSG00000057236	2	281	309.5782361829251	0.0689488554349287	3.11394615179704e-11	Rbbp4	ENSMUST00000102598;ENSMUST00000147183
ENSMUSG00000065990	2	273	302.59763904827605	0.0588339079617118	0.0089479311400627	Aurkaip1	ENSMUST00000084097;ENSMUST00000105592
