release_candidate	srr	gse	species	platform	isoquant_cells	isoquant_transcripts_documented	isoquant_transcripts_registry	gene_counts_available	gene_counts_bytes	transcript_counts_available	transcript_counts_bytes	read_assignments_available	read_assignments_bytes	transcript_models_available	transcript_models_bytes	extended_annotation_available	extended_annotation_bytes	discovered_transcript_counts_available	discovered_transcript_counts_bytes	diu_available	diu_bytes	apa_available	apa_bytes	junction_available	junction_bytes	ase_available	ase_bytes	file_contract_status
scTHREAD_NAR_release_20260803	SRR14808739	GSE178175	human	PacBio	4243	True	5050	True	811774	True	4746348	True	5587224	True	55118981	True	1340083979	True	218722	True	44341	False	0	False	0	True	48709	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808740	GSE178175	human	PacBio	6239	True	11334	True	815150	True	4747354	True	18179439	True	94842203	True	1347545817	True	664150	True	6885	False	0	False	0	True	144109	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808741	GSE178175	human	PacBio	4078	True	4953	True	811709	True	4746327	True	5190813	True	54768955	True	1339957449	True	207813	True	42274	False	0	False	0	True	45802	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808743	GSE178175	human	ONT	7770	True	39616	True	829627	True	4758487	True	200986316	True	176094310	True	1367215048	True	1483856	True	608543	True	3671404	True	21178757	True	637343	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808744	GSE178175	human	ONT	678	True	673	True	810795	True	4746171	True	571261	True	10106825	True	1337962419	True	23024	True	4101	False	0	False	0	True	6654	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808745	GSE178175	human	ONT	7879	True	57758	True	839022	True	4775538	True	622538850	True	230049306	True	1383224330	True	2288348	True	1093613	True	5703670	True	30457555	True	514835	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808746	GSE178175	human	ONT	7050	True	52084	True	834982	True	4768166	True	417400634	True	197460388	True	1363436895	True	1588039	True	831771	True	4418164	True	22099194	True	667054	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR14808747	GSE178175	human	ONT	1153	True	1181	True	810822	True	4746175	True	909008	True	15281741	True	1338081225	True	41296	True	8660	False	0	False	0	True	7938	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR17074937	GSE178175	human	PacBio	6016	True	7227	True	813788	True	4746499	True	22314187	True	75418230	True	1355878680	True	1429666	True	1790	False	0	False	0	True	204662	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR17074938	GSE178175	mouse	ONT	5117	True	20565	True	820856	True	3021434	True	42313638	True	131030742	True	762587933	True	454537	False	0	False	0	False	0	False	0	isoquant_core_complete
