cell_type	n_cells	median_umap1	median_umap2	canvas_x_fraction	canvas_y_from_top_fraction
B cell	5370	-0.9996224045753479	-9.975619792938232	0.4459564392529185	0.09396847355421717
Monocyte	3057	-2.5153937339782715	-0.9805627465248108	0.40947345303695687	0.38095863791857015
Plasma cell	1678	-8.424411296844482	-3.300591230392456	0.26724975338376333	0.30693738908384044
Progenitor	2972	-6.5770885944366455	1.3248436450958252	0.3117128246802273	0.45451336423591415
