statistic	pval	effect_equal_donor	effect_pooled_counts	hi_celltype	lo_celltype	n_features	n_celltypes	n_donors	min_donors_per_celltype	max_donors_per_celltype	gene	qval	sig
0.002268831976570856	0.004975124378109453	0.13036472528191428	0.14122362104881808	NK	Monocyte	2	4	7	3	5	BCL2L1-AS1	1.0	False
0.001544811478982069	0.004975124378109453	0.3023346193953179	0.5856623494660305	Dendritic cell	Monocyte	2	5	9	4	6	BTK	1.0	False
0.0009555558632473775	0.004975124378109453	0.35495958034157726	0.25892823409400023	NK	Erythroid	2	4	6	3	4	CLEC11A	1.0	False
0.002300039470299063	0.004975124378109453	0.1067383133662203	0.08466257668711652	Erythroid	NK	2	3	5	3	5	DNAJB4	1.0	False
0.00022104265112240495	0.004975124378109453	0.06452830485300604	0.45089220286293574	Erythroid	Monocyte	2	7	18	9	17	HMGB1	1.0	False
0.000679000010846042	0.004975124378109453	0.14253554888420839	0.17681448164136004	Monocyte	Dendritic cell	2	6	12	6	11	INTS8	1.0	False
0.00047864926462674114	0.004975124378109453	0.20601066947988866	0.2755489576298617	T cell	B cell	2	6	10	6	9	IPO7	1.0	False
0.0008433210948408475	0.004975124378109453	0.16026582352041663	0.13356048523512642	NK	B cell	2	3	5	3	4	LINC01374	1.0	False
0.0001442023482491564	0.004975124378109453	0.058225806287637266	0.16421114882237992	Erythroid	NK	2	4	4	3	4	LINC02067	1.0	False
0.002955364958851572	0.004975124378109453	0.17582066681949565	0.19521087899093414	Monocyte	Dendritic cell	2	4	4	3	4	NEK3	1.0	False
0.0014433008427388245	0.004975124378109453	0.10677723469093042	0.1951196784805614	Erythroid	Dendritic cell	2	6	9	3	8	NOPCHAP1	1.0	False
0.0004450913328619183	0.004975124378109453	0.12361111695835458	0.06850542951104377	Plasma cell	Dendritic cell	2	7	15	5	13	P2RY8	1.0	False
0.0007536115581490524	0.004975124378109453	0.17492150991917	0.10496102483533748	NK	Monocyte	2	6	11	4	10	PARN	1.0	False
0.0008181008227886261	0.004975124378109453	0.16310582214566827	0.19067394399620308	B cell	NK	2	5	8	3	6	POLQ	1.0	False
0.0033700918506049922	0.004975124378109453	0.3286429648056063	0.32521568627450975	T cell	B cell	2	5	9	3	7	RAB37	1.0	False
5.8872922629564255e-05	0.004975124378109453	0.05142167511798107	0.10751349583601255	Dendritic cell	T cell	2	7	18	11	18	SMCHD1	1.0	False
0.0028656516416822554	0.004975124378109453	0.3990412318837709	0.3342245989304813	Monocyte	B cell	2	6	7	3	5	SNHG30	1.0	False
0.015703523828761088	0.004975124378109453	0.10229831637742576	0.515741591532789	Erythroid	Monocyte	2	7	18	6	15	TPT1	1.0	False
0.0005160562233091172	0.004975124378109453	0.1319893981911564	0.1368678433911611	Dendritic cell	Monocyte	2	7	13	3	11	TTBK2	1.0	False
0.0006980999871304778	0.004975124378109453	0.17345993093392637	0.18617511520737323	Erythroid	NK	2	4	8	3	7	ZFP14	1.0	False
0.001310495494148375	0.004975124378109453	0.1922589553325353	0.1425879843583363	Erythroid	Monocyte	2	6	11	4	8	ZHX1	1.0	False
0.0008837008406002438	0.004975124378109453	0.2866224679006106	0.21607974293396293	NK	Monocyte	2	4	9	3	7	ZMAT1	1.0	False
0.00045651614352031197	0.004975124378109453	0.2611009060175185	0.21651755149160812	Plasma cell	Dendritic cell	2	7	17	3	12	ZNF407-AS1	1.0	False
0.0008162109172553474	0.004975124378109453	0.1527447040625683	0.1734965756637583	Erythroid	Dendritic cell	2	7	8	3	7	ZNF767P	1.0	False
0.0002655905767010105	0.009950248756218905	0.14279675746951104	0.4010678581238017	Plasma cell	Monocyte	2	7	10	3	9	DCP2	1.0	False
