statistic	pval	effect_equal_donor	effect_pooled_counts	hi_celltype	lo_celltype	n_features	n_celltypes	n_donors	min_donors_per_celltype	max_donors_per_celltype	gene	qval	sig
0.0015933955786484764	0.000999000999000999	0.07993308413375633	0.21834507405484133	Plasma cell	B cell	2	6	10	6	10	CD74	0.4326923076923077	False
0.001199713424336571	0.000999000999000999	0.2363670154963411	0.3148556144884174	B cell	Dendritic cell	2	6	9	3	9	CEP63	0.4326923076923077	False
0.00017925752351274365	0.000999000999000999	0.1193359498430896	0.35524902149492465	Erythroid	Plasma cell	2	7	13	5	13	COX4I1	0.4326923076923077	False
0.00046862964219863376	0.000999000999000999	0.25122561937721477	0.1101769911504425	B cell	Erythroid	2	4	6	4	6	ENSG00000272173	0.4326923076923077	False
0.00033755088803518975	0.000999000999000999	0.15551158958955064	0.15723316160434908	Dendritic cell	T cell	2	6	7	3	7	EVI5	0.4326923076923077	False
0.0039479586682327145	0.000999000999000999	0.23602307179238413	0.32277050116005845	Erythroid	Plasma cell	2	5	9	3	8	KARS1	0.4326923076923077	False
0.0001475323095080391	0.000999000999000999	0.07627850797770508	0.2330727858855119	Plasma cell	Dendritic cell	2	7	18	3	18	MBP	0.4326923076923077	False
0.0009138534544848884	0.000999000999000999	0.2563149851244846	0.19107744107744112	Plasma cell	Dendritic cell	2	6	7	3	7	PARP1	0.4326923076923077	False
0.0003961217665643034	0.000999000999000999	0.12484616323593611	0.15183730840454257	Erythroid	Monocyte	2	5	12	3	12	PCDH9	0.4326923076923077	False
0.0012400461573448796	0.000999000999000999	0.15139743798713978	0.33527336203639146	Erythroid	NK	2	7	10	6	10	TAF1D	0.4326923076923077	False
0.0006515668503773016	0.000999000999000999	0.1656232597046341	0.32159680400691676	Plasma cell	Dendritic cell	2	7	15	6	15	THOC2	0.4326923076923077	False
0.0002985146057389629	0.001998001998001998	0.09220380187318794	0.19698243380911656	Monocyte	NK	2	6	10	3	9	ADAM19	0.4326923076923077	False
0.0003122923186607372	0.001998001998001998	0.2488723976180452	0.22497526385224276	Erythroid	Dendritic cell	2	5	13	4	13	ADAM28	0.4326923076923077	False
0.00025942543702357675	0.001998001998001998	0.4019767904277119	0.22581465955162025	Plasma cell	NK	2	7	10	4	10	CAPRIN1	0.4326923076923077	False
0.00040722878083980675	0.001998001998001998	0.21187906115109678	0.11493836113125455	T cell	Monocyte	2	5	12	4	12	CLCN7	0.4326923076923077	False
0.00043801125134787093	0.001998001998001998	0.18110536228952095	0.29512104961453767	NK	Dendritic cell	2	7	13	5	12	COPS2	0.4326923076923077	False
0.0002182866303892995	0.001998001998001998	0.23713666517115106	0.5042154575715441	Plasma cell	T cell	2	7	10	5	9	EIF3F	0.4326923076923077	False
0.00027804526790375987	0.001998001998001998	0.05623333612855619	0.11085894257866064	Dendritic cell	B cell	2	6	18	10	18	FRY	0.4326923076923077	False
0.0006088291007984601	0.001998001998001998	0.17612723660309304	0.12848599316944392	NK	Monocyte	2	6	10	3	9	GNB5	0.4326923076923077	False
0.0005885138710493206	0.001998001998001998	0.6557196969696969	0.6883157894736842	Plasma cell	Dendritic cell	2	5	13	3	12	GRINA	0.4326923076923077	False
0.00011449631743735138	0.001998001998001998	0.10094464123363323	0.09507897066803755	Monocyte	B cell	2	4	9	6	9	IL10RA	0.4326923076923077	False
0.0013842514232536374	0.001998001998001998	0.21701219512195136	0.15706122448979587	T cell	NK	2	6	9	3	9	INPP5F	0.4326923076923077	False
0.00034151620979170174	0.001998001998001998	0.08893129183167642	0.14197408538464007	Plasma cell	B cell	2	7	18	5	18	KPNA3	0.4326923076923077	False
0.0004122362384061669	0.001998001998001998	0.14465895287887365	0.2986723262262442	Dendritic cell	Plasma cell	2	7	13	8	13	MEF2A	0.4326923076923077	False
0.0003006865408296802	0.001998001998001998	0.09848647371089736	0.18694353185015328	T cell	Erythroid	2	7	14	5	14	NBN	0.4326923076923077	False
0.0015260205933841995	0.001998001998001998	0.19912124143162813	0.2773227742430395	NK	Dendritic cell	2	6	10	4	10	NR1H2	0.4326923076923077	False
0.00038334825214259233	0.001998001998001998	0.10998664774936551	0.1636352163287303	NK	T cell	2	6	10	3	10	POLK	0.4326923076923077	False
0.00031167769161127737	0.001998001998001998	0.11326996883481782	0.44274507650309997	NK	Erythroid	2	7	12	8	12	RPS2	0.4326923076923077	False
0.001845020938865312	0.001998001998001998	0.2043021808421432	0.29906031468531463	Erythroid	B cell	2	5	7	4	7	STAT5A	0.4326923076923077	False
0.00012330767478103724	0.001998001998001998	0.2905601290700405	0.21413440182857907	Dendritic cell	Plasma cell	2	7	16	7	16	TOP1	0.4326923076923077	False
0.000642578318208692	0.001998001998001998	0.13484332062095455	0.30408558070064634	NK	Dendritic cell	2	7	14	6	14	WRN	0.4326923076923077	False
0.0032791347814367785	0.001998001998001998	0.29961114770897385	0.31231671554252205	Plasma cell	Dendritic cell	2	7	10	3	8	ZNF330	0.4326923076923077	False
0.0005046644866724393	0.002997002997002997	0.0937660124112982	0.11126838908661696	Monocyte	NK	2	7	7	3	7	CCDC18-AS1	0.451505016722408	False
0.0004514722949409276	0.002997002997002997	0.1629509019799497	0.1804868777967829	Dendritic cell	T cell	2	7	12	4	12	CCSER1	0.451505016722408	False
0.0009852779320893429	0.002997002997002997	0.17066648997610762	0.11380459835800144	B cell	T cell	2	4	9	4	9	CRADD	0.451505016722408	False
0.001052343363686448	0.002997002997002997	0.16781903801505743	0.05462080910553019	Erythroid	B cell	2	4	6	3	5	HDDC3	0.451505016722408	False
0.0017804579612700868	0.002997002997002997	0.24024365767314354	0.25647472103595537	Dendritic cell	Erythroid	2	7	9	3	9	PRKAR2A	0.451505016722408	False
0.002303974535375782	0.002997002997002997	0.1978122441126854	0.17972920696324945	NK	Erythroid	2	6	10	3	10	PTPRS	0.451505016722408	False
0.0003259303308505091	0.002997002997002997	0.16094537643946943	0.10539053905390539	NK	B cell	2	5	15	6	15	RASSF2	0.451505016722408	False
