statistic	pval	effect_equal_donor	effect_pooled_counts	hi_celltype	lo_celltype	n_features	n_celltypes	n_donors	min_donors_per_celltype	max_donors_per_celltype	gene	qval	sig
0.0013680492430445264	0.004975124378109453	0.22709204124901805	0.24138138138138143	Plasma cell	Monocyte	2	7	13	4	8	ADCY7	0.9946565545798768	False
0.0006154883540462405	0.004975124378109453	0.36524272983490685	0.5275903136165144	Erythroid	Monocyte	2	7	9	4	6	BIN2	0.9946565545798768	False
0.0017577459100326434	0.004975124378109453	0.25916474542482604	0.2898713613781899	Dendritic cell	NK	2	6	9	3	7	C11orf54	0.9946565545798768	False
0.000761955895410076	0.004975124378109453	0.1183864930657006	0.2583714664499851	Erythroid	Dendritic cell	2	7	7	3	7	C1orf35	0.9946565545798768	False
0.0013137958961430285	0.004975124378109453	0.2856975362769287	0.30904001658718644	Monocyte	NK	2	7	12	3	8	C8orf33	0.9946565545798768	False
0.0037851978824583288	0.004975124378109453	0.3195063625404183	0.3015597157753481	T cell	NK	2	5	7	3	5	CAMK2G	0.9946565545798768	False
0.0007712080343471307	0.004975124378109453	0.1539273424401293	0.14877822665232077	Monocyte	B cell	2	7	8	3	7	CAND1	0.9946565545798768	False
0.0005418727529317993	0.004975124378109453	0.12502964797007077	0.13605621645435229	Monocyte	B cell	2	7	11	5	10	CCNY	0.9946565545798768	False
0.0010335318704613418	0.004975124378109453	0.16135747941496853	0.1558644163948376	Erythroid	Monocyte	2	7	10	4	8	CEP57	0.9946565545798768	False
0.0015453998979129983	0.004975124378109453	0.19915180839728125	0.2147631779984721	Erythroid	Monocyte	2	5	6	3	6	CEPT1	0.9946565545798768	False
0.0002663848217052562	0.004975124378109453	0.15345645583026324	0.40151238373060766	Erythroid	Monocyte	2	7	10	5	8	DCP2	0.9946565545798768	False
5.749280464260138e-05	0.004975124378109453	0.041419258294885575	0.09721961413940394	Monocyte	Dendritic cell	2	7	19	12	18	DYRK1A	0.9946565545798768	False
0.0003229737024576796	0.004975124378109453	0.09898122949656107	0.19998098136173448	Monocyte	B cell	2	6	4	3	4	H2AC20	0.9946565545798768	False
0.0012814863016288784	0.004975124378109453	0.12511603815136751	0.21253019323671496	B cell	Dendritic cell	2	6	7	3	6	IP6K2	0.9946565545798768	False
0.0007165112915165266	0.004975124378109453	0.30308081324803837	0.2876404494382022	T cell	Erythroid	2	4	4	3	3	MRNIP	0.9946565545798768	False
0.0012050442458165218	0.004975124378109453	0.3238814904190342	0.41707707461216453	B cell	Erythroid	2	7	11	3	5	P2RX1	0.9946565545798768	False
0.0010788028680097427	0.004975124378109453	0.1340699531414632	0.1847619226542172	Dendritic cell	T cell	2	7	12	6	9	SMU1	0.9946565545798768	False
0.0013452363479483295	0.004975124378109453	0.20117784501158914	0.285702826747949	B cell	Monocyte	2	7	9	3	7	SNRK	0.9946565545798768	False
0.0003770975794953348	0.004975124378109453	0.1940995017760021	0.3085442120788597	Plasma cell	NK	2	7	10	5	8	TAF7	0.9946565545798768	False
0.0010143383317440214	0.004975124378109453	0.20551678083680225	0.21591112412368452	NK	B cell	2	7	10	3	7	TEX9	0.9946565545798768	False
0.0006021678121006414	0.004975124378109453	0.45904058383468127	0.450635692983833	B cell	Monocyte	2	7	13	3	6	TMEM71	0.9946565545798768	False
0.0004592775073544872	0.004975124378109453	0.11274515079351466	0.08576731337122534	NK	B cell	2	7	9	6	8	TRAK1	0.9946565545798768	False
0.001999553333290708	0.004975124378109453	0.2532479472222834	0.17313218390804597	Dendritic cell	NK	2	7	12	3	10	ZNF395	0.9946565545798768	False
0.0015640292167844187	0.009950248756218905	0.16599399824513228	0.4000478680315192	Dendritic cell	NK	2	5	7	3	6	CHD1L	0.9946565545798768	False
0.0003018478826779088	0.009950248756218905	0.07544577582905199	0.12558186762316104	B cell	Dendritic cell	2	7	18	10	17	DLEU2	0.9946565545798768	False
