statistic	pval	effect_equal_donor	effect_pooled_counts	n_features	n_celltypes	n_donors	min_donors_per_celltype	max_donors_per_celltype	gene	qval	sig
0.0012091330835582712	0.0001	0.2028423964594488	0.18475723622782445	25	7	18	7	18	ENSG00000000419	0.0006010844748858447	True
0.0038521841358570954	0.0001	0.3818644492917607	0.4154234654234654	28	7	18	4	18	ENSG00000001630	0.0006010844748858447	True
7.4069934828228e-05	0.0001	0.03886926113324695	0.05369706093685944	5	7	18	4	18	ENSG00000002330	0.0006010844748858447	False
0.0010355308726092032	0.0001	0.12325582611611906	0.08489077447120978	14	7	18	5	18	ENSG00000002549	0.0006010844748858447	False
0.0009987498877365713	0.0001	0.22290625212642226	0.22737469907531183	29	7	19	9	19	ENSG00000002586	0.0006010844748858447	True
0.0005012973352239332	0.0001	0.12377613351286046	0.18677755958569175	24	7	19	4	19	ENSG00000002834	0.0006010844748858447	False
0.0015040265026267793	0.0001	0.2805006854863683	0.3130642716917633	16	7	19	6	19	ENSG00000003056	0.0006010844748858447	True
0.005802860173334592	0.0001	0.3870080851252141	0.37618084929720536	70	7	19	12	19	ENSG00000003402	0.0006010844748858447	True
0.022912266772865	0.0001	0.38515940367699736	0.3622596812789276	30	7	18	5	18	ENSG00000004455	0.0006010844748858447	True
0.0125530611952681	0.0001	0.29940175502624233	0.30654062095110124	13	6	13	4	9	ENSG00000004468	0.0006010844748858447	True
0.0015027053432909382	0.0001	0.17091042527273817	0.1852656647263934	15	3	17	7	17	ENSG00000005249	0.0006010844748858447	False
0.0007698519458741206	0.0001	0.21479110216129252	0.2544842303902394	96	7	19	13	19	ENSG00000005483	0.0006010844748858447	True
0.007934061241830923	0.0001	0.4695276689754977	0.38392350700915645	44	7	18	5	18	ENSG00000005893	0.0006010844748858447	True
0.007028842032938767	0.0001	0.3452364893700827	0.24543700027570992	31	6	16	3	15	ENSG00000006125	0.0006010844748858447	True
0.0016242007550249056	0.0001	0.16355359219355672	0.14987714987714987	17	7	17	4	16	ENSG00000006451	0.0006010844748858447	False
0.03136749576887191	0.0001	0.5564725826996413	0.5467571644042232	33	5	10	4	9	ENSG00000006607	0.0006010844748858447	True
0.0012694612904903583	0.0001	0.16263994304827795	0.36375639238148927	52	7	19	7	19	ENSG00000007168	0.0006010844748858447	False
0.0010900575223516619	0.0001	0.09777754443463346	0.0691036395686721	8	5	17	4	16	ENSG00000007541	0.0006010844748858447	False
0.004264600886014586	0.0001	0.3190301644012684	0.38427699848209573	40	7	19	5	19	ENSG00000008083	0.0006010844748858447	True
0.009951775058325235	0.0001	0.578644359832664	0.5842243641260092	28	3	13	4	13	ENSG00000008441	0.0006010844748858447	True
0.001675965430742112	0.0001	0.19556105833428572	0.21404122959993757	32	7	19	4	19	ENSG00000008513	0.0006010844748858447	False
0.000776558539477149	0.0001	0.1914614362558948	0.173292896227288	50	7	19	11	19	ENSG00000008952	0.0006010844748858447	False
6.287520020899409e-07	0.0001	0.009750118256672963	0.0032047768025286662	22	7	19	14	19	ENSG00000008988	0.0006010844748858447	False
0.0020221116723765017	0.0001	0.19646935460135492	0.2515938964414671	32	7	19	9	19	ENSG00000009307	0.0006010844748858447	False
0.0009147664204446363	0.0001	0.11899263440998596	0.12560780723697124	7	7	19	5	18	ENSG00000009790	0.0006010844748858447	False
0.001194707125821917	0.0001	0.18994880200773362	0.2755589691136804	56	7	19	10	19	ENSG00000010244	0.0006010844748858447	False
0.000909407292015105	0.0001	0.11064260643482945	0.10262095627949289	7	4	9	3	7	ENSG00000010278	0.0006010844748858447	False
0.00643429357998983	0.0001	0.2521536516869468	0.31882684296867414	28	5	15	5	15	ENSG00000011198	0.0006010844748858447	True
0.003846590648852179	0.0001	0.2728198933678587	0.3552993375828022	19	7	16	3	14	ENSG00000011260	0.0006010844748858447	True
0.0024988540458824775	0.0001	0.21678985796621209	0.18996764890562018	24	7	19	9	19	ENSG00000011304	0.0006010844748858447	True
0.00229720034634442	0.0001	0.21620448331838774	0.15087241043772792	23	7	18	5	18	ENSG00000012061	0.0006010844748858447	True
0.011997936591528448	0.0001	0.27180385949595526	0.2776016593262193	40	7	19	3	19	ENSG00000012660	0.0006010844748858447	True
0.002389515303411683	0.0001	0.3580509098473851	0.3388039855006466	15	6	15	4	14	ENSG00000012963	0.0006010844748858447	True
0.002156982727905974	0.0001	0.2198583978296032	0.1907881056352672	20	5	13	5	13	ENSG00000013288	0.0006010844748858447	True
0.0065358872309377695	0.0001	0.29314547723108875	0.30901129209578093	11	7	19	4	18	ENSG00000013810	0.0006010844748858447	True
0.004844527337652789	0.0001	0.2952457601756117	0.24523308733087334	31	7	19	8	18	ENSG00000014123	0.0006010844748858447	True
0.0016705338203807508	0.0001	0.25606651381901047	0.2355769230769231	45	6	16	3	15	ENSG00000014824	0.0006010844748858447	True
0.0005552954932695876	0.0001	0.14514420274381726	0.20331000561036994	51	7	19	13	19	ENSG00000015479	0.0006010844748858447	False
0.015157465803506113	0.0001	0.3438848168978214	0.33912646583807315	17	6	17	4	17	ENSG00000015676	0.0006010844748858447	True
0.004240863261828196	0.0001	0.2141206610229039	0.21103649518327539	8	7	12	5	12	ENSG00000016864	0.0006010844748858447	True
0.018888813350490714	0.0001	0.7026834578523312	0.7180655772495754	9	5	12	3	12	ENSG00000018280	0.0006010844748858447	True
0.0020091425534621526	0.0001	0.3340531578018541	0.2752262616965792	42	7	19	3	19	ENSG00000018510	0.0006010844748858447	True
0.0009500900291330651	0.0001	0.19503049891509266	0.12664227938164957	26	7	19	7	19	ENSG00000021355	0.0006010844748858447	False
0.0019624290029107267	0.0001	0.18219894152584865	0.14482945493897295	16	7	18	7	18	ENSG00000022840	0.0006010844748858447	False
0.0011087368243061623	0.0001	0.2945543989040228	0.1836372196541688	38	7	19	6	19	ENSG00000023318	0.0006010844748858447	True
0.005657472839092193	0.0001	0.182258355641928	0.2108960169290955	27	7	17	4	16	ENSG00000023572	0.0006010844748858447	False
0.010388745791142677	0.0001	0.2304736041775834	0.2489313765423657	15	7	19	10	19	ENSG00000023734	0.0006010844748858447	True
0.0008505991045411674	0.0001	0.19363800960117183	0.25741284527531316	36	7	19	9	19	ENSG00000025796	0.0006010844748858447	False
0.0003642696283367654	0.0001	0.13427762166092633	0.20124199969946077	35	7	19	14	19	ENSG00000026025	0.0006010844748858447	False
0.00195518305480847	0.0001	0.24883041999992428	0.22592733367591203	67	7	19	11	19	ENSG00000026508	0.0006010844748858447	True
0.011450199652201724	0.0001	0.3832372266763405	0.45285831342945315	47	7	18	3	15	ENSG00000028116	0.0006010844748858447	True
0.009468733766556709	0.0001	0.3345358784704122	0.3274790336931806	18	7	19	6	19	ENSG00000028528	0.0006010844748858447	True
0.003897612712473829	0.0001	0.2411660178482254	0.2699370878391091	38	7	19	10	19	ENSG00000029363	0.0006010844748858447	True
0.002494529633443363	0.0001	0.3464814386861913	0.3955515443717417	51	7	19	4	19	ENSG00000029725	0.0006010844748858447	True
0.0008261597048395884	0.0001	0.25463937172006634	0.20136836922683563	52	7	19	9	19	ENSG00000033800	0.0006010844748858447	True
0.00252461117594917	0.0001	0.2447466411311118	0.2363587087448808	36	7	19	4	18	ENSG00000034677	0.0006010844748858447	True
0.00023525607334670673	0.0001	0.069116496851833	0.1219447096893982	15	7	19	5	19	ENSG00000034713	0.0006010844748858447	False
0.0008292530644812807	0.0001	0.2311674158991957	0.1988454936824196	19	7	19	8	19	ENSG00000035141	0.0006010844748858447	True
0.0003338179082431911	0.0001	0.1803055196296871	0.2376030385784344	47	7	19	9	19	ENSG00000038219	0.0006010844748858447	False
0.0053805301538483495	0.0001	0.26431146169384834	0.3306760989687818	44	7	19	5	18	ENSG00000039123	0.0006010844748858447	True
0.0009983868311645536	0.0001	0.246438358801442	0.3106901329236341	44	7	18	5	18	ENSG00000044115	0.0006010844748858447	True
0.0003623186950434931	0.0001	0.1451404162250626	0.31895329262955735	36	7	19	14	19	ENSG00000044574	0.0006010844748858447	False
0.00170489738004587	0.0001	0.20222825204270906	0.20976651774947458	26	7	19	7	19	ENSG00000046651	0.0006010844748858447	True
0.00074859847931228	0.0001	0.1910141114157259	0.18471644397164824	50	7	19	10	19	ENSG00000047410	0.0006010844748858447	False
0.0027284736300881756	0.0001	0.22416088093783176	0.19385145187983752	23	7	17	3	17	ENSG00000047579	0.0006010844748858447	True
0.0024413578986363315	0.0001	0.18990345542680517	0.2074258109040718	27	6	17	6	17	ENSG00000048405	0.0006010844748858447	False
0.0005973889603340389	0.0001	0.09011488776924227	0.07471123126075202	18	6	17	4	17	ENSG00000049541	0.0006010844748858447	False
0.004631184611844154	0.0001	0.29679772029456813	0.2954284713156214	19	7	17	4	16	ENSG00000050393	0.0006010844748858447	True
4.084826333223588e-05	0.0001	0.059472869280017694	0.022874162393954692	7	7	19	14	19	ENSG00000051523	0.0006010844748858447	False
0.004119742514943558	0.0001	0.30900442539999995	0.22821097688040326	24	7	18	5	16	ENSG00000052723	0.0006010844748858447	True
0.009043235049221493	0.0001	0.29189949611839605	0.3319607222046246	16	5	14	4	14	ENSG00000052749	0.0006010844748858447	True
0.003913177455083794	0.0001	0.3104488755953968	0.29212172108202583	8	7	18	5	17	ENSG00000054116	0.0006010844748858447	True
