statistic	pval	effect_equal_donor	effect_pooled_counts	n_features	n_celltypes	n_donors	min_donors_per_celltype	max_donors_per_celltype	gene	qval	sig
1.9220788854326563e-05	0.004975124378109453	0.015136524564721953	0.014888337468982646	9	7	15	6	8	ENSG00000103512	1.0	False
0.005145480812643902	0.004975124378109453	0.36718598227757887	0.3728325160507558	22	6	6	3	4	ENSG00000111412	1.0	False
0.0025665890451753927	0.004975124378109453	0.19173238416169214	0.2951294757341458	21	7	17	8	12	ENSG00000115271	1.0	False
0.002329094488511051	0.004975124378109453	0.28022106246998196	0.29798798827112183	30	7	11	3	6	ENSG00000115295	1.0	False
0.0009834783157081331	0.004975124378109453	0.21224453507643026	0.17703056054910932	12	5	6	3	4	ENSG00000120647	1.0	False
0.0007426834283073214	0.004975124378109453	0.08366592787503528	0.06277869734253662	7	7	15	5	10	ENSG00000133243	1.0	False
0.00022446907535726669	0.004975124378109453	0.10469048761052158	0.0515674874601003	8	4	5	3	4	ENSG00000140678	1.0	False
0.0002438639237671451	0.004975124378109453	0.09646962364458231	0.05492775967389652	4	7	13	5	9	ENSG00000143862	1.0	False
0.001802172291134357	0.004975124378109453	0.14949941722508514	0.13476726872531886	8	5	6	3	4	ENSG00000151929	1.0	False
1.3615141200349474e-05	0.004975124378109453	0.01971453581588614	0.014305082574487826	9	7	18	6	9	ENSG00000158062	1.0	False
0.0005007732876201132	0.004975124378109453	0.09205793798225478	0.0742792792792793	17	7	16	6	8	ENSG00000164164	1.0	False
5.815645799732459e-06	0.004975124378109453	0.006298220752637399	0.008733624454148482	3	7	10	3	7	ENSG00000169972	1.0	False
4.7280787818079395e-06	0.004975124378109453	0.007593400203402059	0.006953039512744796	8	7	19	13	18	ENSG00000171222	1.0	False
0.003114586355183031	0.004975124378109453	0.1810808674738071	0.175321075487388	8	5	9	4	5	ENSG00000176868	1.0	False
0.0015402898753567053	0.004975124378109453	0.1302180935106408	0.1501782985226694	3	7	8	3	5	ENSG00000184678	1.0	False
0.0025192227657505396	0.004975124378109453	0.2175869511742497	0.2122108660570199	10	7	14	3	9	ENSG00000196684	1.0	False
0.00017610784063104944	0.004975124378109453	0.06699312513061341	0.0521285510539123	12	7	19	12	17	ENSG00000213246	1.0	False
4.7551360070136866e-05	0.004975124378109453	0.053185786426239896	0.03718082510285039	6	7	16	6	10	ENSG00000277734	1.0	False
0.025776928117317632	0.004975124378109453	0.3711418185102396	0.28942022190967337	12	7	10	3	5	ENSG00000278828	1.0	False
0.00040899821928898307	0.009950248756218905	0.09702847810321039	0.18037465478991155	16	7	19	11	16	ENSG00000022277	1.0	False
9.076967380987022e-05	0.009950248756218905	0.035591337546644806	0.022346368715083807	5	7	10	3	7	ENSG00000104835	1.0	False
0.00017429978511127614	0.009950248756218905	0.0364700069320069	0.028533997848131598	4	7	17	5	10	ENSG00000116337	1.0	False
0.0035869249337806977	0.009950248756218905	0.17123416583025017	0.19219550873615948	20	6	7	3	5	ENSG00000124120	1.0	False
0.0004008846006339708	0.009950248756218905	0.16660444111634898	0.1489718642436686	5	7	19	7	11	ENSG00000124256	1.0	False
7.875651943190941e-05	0.009950248756218905	0.02793902690648211	0.02412900188323918	3	4	5	3	3	ENSG00000132196	1.0	False
2.85546539012895e-05	0.009950248756218905	0.04929575131870459	0.048508575689783756	8	7	15	4	10	ENSG00000137101	1.0	False
0.0010800398255069398	0.009950248756218905	0.15079036487891728	0.10248599439775911	30	7	17	7	10	ENSG00000162601	1.0	False
0.005818347670768218	0.009950248756218905	0.18809859472982182	0.24036387728539274	10	7	16	4	10	ENSG00000176095	1.0	False
0.0005067445825383134	0.009950248756218905	0.08417140067583427	0.12514918045169576	20	7	19	9	14	ENSG00000183255	1.0	False
6.097839058580437e-05	0.009950248756218905	0.009815692007830178	0.02537952420623901	5	7	19	8	15	ENSG00000197238	1.0	False
0.0005584391305709375	0.009950248756218905	0.2952047168713924	0.3082157023167183	10	7	14	4	8	ENSG00000204252	1.0	False
2.1085347019699786e-05	0.009950248756218905	0.008521202361782098	0.011173184357541902	4	6	10	4	6	ENSG00000213999	1.0	False
1.4288466766591537e-08	0.009950248756218905	0.00010166638406331168	0.0004420215117135815	3	7	19	10	14	ENSG00000227507	1.0	False
0.001998176151508308	0.009950248756218905	0.14645035642602783	0.10976663935078095	9	7	13	5	7	ENSG00000290057	1.0	False
0.0006229993528984162	0.014925373134328358	0.13944638111061175	0.10280177211757716	58	7	19	8	12	ENSG00000065413	1.0	False
0.001023176931974913	0.014925373134328358	0.21777597052703196	0.2012761236417299	12	6	12	3	7	ENSG00000078589	1.0	False
0.0010056310180047363	0.014925373134328358	0.18012512989263435	0.13551056512200374	25	7	18	6	11	ENSG00000090989	1.0	False
0.0007367315480799007	0.014925373134328358	0.14673643499811143	0.0950560277638893	18	7	13	4	8	ENSG00000103043	1.0	False
1.2828666811251755e-05	0.014925373134328358	0.010837030186875353	0.011235955056179789	2	7	13	4	10	ENSG00000109113	1.0	False
0.0005435499048554881	0.014925373134328358	0.08493443180792636	0.09259559957781932	12	7	15	5	10	ENSG00000110619	1.0	False
4.481725940894119e-05	0.014925373134328358	0.04298577923790392	0.021915890538804227	20	7	18	9	15	ENSG00000111906	1.0	False
0.0005539860300911001	0.014925373134328358	0.06421142738195892	0.044915616321298917	6	4	4	3	3	ENSG00000121413	1.0	False
0.000472357980613924	0.014925373134328358	0.15488433836972954	0.11334174132857244	15	7	18	6	11	ENSG00000163219	1.0	False
0.0037507159009885923	0.014925373134328358	0.17618911165579565	0.1828251490620001	5	7	12	4	6	ENSG00000167657	1.0	False
9.553182150601761e-06	0.014925373134328358	0.020700713287223043	0.010000750900525263	16	7	19	8	15	ENSG00000168273	1.0	False
