statistic	pval	effect_equal_donor	effect_pooled_counts	n_features	n_celltypes	n_donors	min_donors_per_celltype	max_donors_per_celltype	gene	qval	sig
0.0004673805163521664	0.004975124378109453	0.09869664036330698	0.09621656881930853	6	5	6	3	4	ENSG00000063761	0.8949338306879809	False
0.0008256138166946472	0.004975124378109453	0.1758873279908181	0.20347240133316977	31	7	19	9	15	ENSG00000069493	0.8949338306879809	False
0.0006279216122994641	0.004975124378109453	0.09405808217490462	0.09554057557687322	5	6	9	4	9	ENSG00000076604	0.8949338306879809	False
0.00460175144451588	0.004975124378109453	0.32098924124592015	0.3020833333333333	33	7	15	3	8	ENSG00000078142	0.8949338306879809	False
0.0008132197425156716	0.004975124378109453	0.16881269149307873	0.14962732919254657	35	7	19	8	14	ENSG00000091009	0.8949338306879809	False
0.0013309519250999913	0.004975124378109453	0.19362037873282248	0.15879283186469287	17	7	13	5	8	ENSG00000092208	0.8949338306879809	False
3.347210560050353e-05	0.004975124378109453	0.029856009161861236	0.032679664044388705	6	7	19	10	14	ENSG00000099875	0.8949338306879809	False
0.0004858166348001454	0.004975124378109453	0.05836617556104517	0.04446627932570239	9	7	18	6	11	ENSG00000101843	0.8949338306879809	False
0.0008712665668610881	0.004975124378109453	0.15175440535902818	0.10775424530736544	7	5	8	3	5	ENSG00000104524	0.8949338306879809	False
8.265084684881816e-05	0.004975124378109453	0.028389029884525033	0.02837852583214108	7	7	19	12	17	ENSG00000105258	0.8949338306879809	False
1.5122361986211695e-05	0.004975124378109453	0.04219917300225047	0.012885678616015736	6	7	19	8	14	ENSG00000106268	0.8949338306879809	False
0.007112620398338228	0.004975124378109453	0.29425973924005416	0.34833606110201853	12	5	5	3	4	ENSG00000108883	0.8949338306879809	False
0.00022462821380083803	0.004975124378109453	0.04727282453164573	0.095476318480061	8	7	19	10	16	ENSG00000110852	0.8949338306879809	False
8.769718030495222e-06	0.004975124378109453	0.016821003895497875	0.02702986476575266	8	7	19	9	14	ENSG00000117984	0.8949338306879809	False
0.0015849229582655267	0.004975124378109453	0.1508896945501473	0.15029556315539144	9	4	5	3	4	ENSG00000127920	0.8949338306879809	False
0.008295937945639502	0.004975124378109453	0.23451526176754128	0.281543455095435	36	7	18	6	15	ENSG00000136279	0.8949338306879809	False
0.0011815659202300574	0.004975124378109453	0.12957919557331515	0.08537618398760867	21	7	19	10	15	ENSG00000136754	0.8949338306879809	False
0.001826009689730833	0.004975124378109453	0.12561738701821232	0.2243560391565041	32	7	19	9	13	ENSG00000138767	0.8949338306879809	False
0.0008912697271341228	0.004975124378109453	0.22868958006384582	0.12492289359315854	12	7	16	5	9	ENSG00000142784	0.8949338306879809	False
0.00041748810216157427	0.004975124378109453	0.10996880267180602	0.10003143171460002	23	6	9	3	7	ENSG00000145214	0.8949338306879809	False
0.0011052775987924087	0.004975124378109453	0.18476619243618145	0.18708297936356239	46	7	19	8	13	ENSG00000146433	0.8949338306879809	False
0.0030624969226111776	0.004975124378109453	0.09736610255062804	0.12028537869230435	8	6	9	4	6	ENSG00000147130	0.8949338306879809	False
0.0008945229035125569	0.004975124378109453	0.14796776883448057	0.09317362378092682	29	7	18	8	14	ENSG00000148688	0.8949338306879809	False
6.504695702620882e-05	0.004975124378109453	0.03702657577144782	0.07778388466411287	28	7	19	15	18	ENSG00000156467	0.8949338306879809	False
0.000653169439913508	0.004975124378109453	0.0922352674823897	0.08657942455159152	6	7	16	5	9	ENSG00000161999	0.8949338306879809	False
1.0285569163575495e-06	0.004975124378109453	0.0024713978415292106	0.003171585293039491	5	7	19	11	17	ENSG00000162191	0.8949338306879809	False
3.718052209168413e-05	0.004975124378109453	0.02189390977078756	0.019949249158032638	23	7	19	11	17	ENSG00000162585	0.8949338306879809	False
0.0006821455776290169	0.004975124378109453	0.17633762678783518	0.15207797807121393	54	7	19	11	14	ENSG00000162923	0.8949338306879809	False
0.001292443963620133	0.004975124378109453	0.14250556503472345	0.13494157971573514	12	7	18	7	13	ENSG00000163346	0.8949338306879809	False
0.0012395618411712539	0.004975124378109453	0.10733077386536641	0.10330372292643977	9	7	17	5	9	ENSG00000166454	0.8949338306879809	False
0.0001901086076800671	0.004975124378109453	0.06304777086521722	0.05324807406801258	4	7	16	5	10	ENSG00000168936	0.8949338306879809	False
0.003079628912626419	0.004975124378109453	0.31965621132871236	0.2531181217901687	26	7	10	3	7	ENSG00000169239	0.8949338306879809	False
0.004089077062102384	0.004975124378109453	0.17356449966644497	0.15897764566781225	13	7	13	3	8	ENSG00000171617	0.8949338306879809	False
0.0027363619587718914	0.004975124378109453	0.161129794534967	0.14237029202655854	11	7	11	3	9	ENSG00000177272	0.8949338306879809	False
1.5807328344742508e-05	0.004975124378109453	0.03460160417407167	0.030228231092161988	18	7	18	7	11	ENSG00000178209	0.8949338306879809	False
0.005929508452736445	0.004975124378109453	0.4537985527078571	0.47628447882254976	46	7	14	3	9	ENSG00000179818	0.8949338306879809	False
0.001745593574456777	0.004975124378109453	0.1377156361255672	0.10648663418795443	7	6	9	3	5	ENSG00000187994	0.8949338306879809	False
0.00042774760595114226	0.004975124378109453	0.03815976349741377	0.04317111459968599	3	3	4	3	3	ENSG00000198113	0.8949338306879809	False
0.00012094209395955431	0.004975124378109453	0.06102691184232859	0.03641499095291969	7	6	12	5	9	ENSG00000198417	0.8949338306879809	False
8.956531147431263e-06	0.004975124378109453	0.027015959841211655	0.03133758017639719	5	7	17	5	12	ENSG00000198851	0.8949338306879809	False
0.000270104537066274	0.004975124378109453	0.07519904928117072	0.05534709776981282	15	7	19	10	15	ENSG00000204469	0.8949338306879809	False
7.079984975611619e-05	0.004975124378109453	0.04363569428500393	0.03858378487201838	23	7	19	12	17	ENSG00000204642	0.8949338306879809	False
0.0033129395595851508	0.004975124378109453	0.21136656569416706	0.3645188542496406	21	7	12	7	10	ENSG00000211895	0.8949338306879809	False
4.186537468791868e-05	0.004975124378109453	0.02543948613928334	0.0158730158730159	2	5	7	3	5	ENSG00000222020	0.8949338306879809	False
0.00015979941546043373	0.004975124378109453	0.06735954603687515	0.06271542818289898	18	7	19	9	14	ENSG00000244187	0.8949338306879809	False
0.00011227786753530875	0.004975124378109453	0.02075128525216116	0.02782051184891595	8	5	10	3	7	ENSG00000244274	0.8949338306879809	False
0.0022784562392722234	0.004975124378109453	0.18952581904523763	0.15674106332788965	20	6	9	3	6	ENSG00000257093	0.8949338306879809	False
0.0011804332681332685	0.004975124378109453	0.07717475760704402	0.07467320261437908	6	5	6	4	4	ENSG00000260257	0.8949338306879809	False
0.0006148384758751816	0.004975124378109453	0.10027553206191259	0.09834801474240007	4	4	5	3	4	ENSG00000272523	0.8949338306879809	False
0.0003913740715446537	0.004975124378109453	0.06555372129478879	0.05953356445004728	7	6	9	3	8	ENSG00000288924	0.8949338306879809	False
0.0025119295315290183	0.004975124378109453	0.23369692525455166	0.23575681505111284	22	7	18	5	13	ENSG00000291178	0.8949338306879809	False
0.009023957678526295	0.009950248756218905	0.5247669728075794	0.3473899719296438	8	5	6	3	4	ENSG00000007129	0.8949338306879809	False
0.00181061031652295	0.009950248756218905	0.23075059880079135	0.19120531477380578	26	7	14	3	9	ENSG00000066739	0.8949338306879809	False
0.0001108981363593207	0.009950248756218905	0.05515522761725031	0.05379461678111922	21	7	19	9	15	ENSG00000070010	0.8949338306879809	False
0.008365995485687502	0.009950248756218905	0.3671747231488718	0.4299327139229241	34	7	14	3	8	ENSG00000081189	0.8949338306879809	False
0.0012086175413083058	0.009950248756218905	0.17779014087714684	0.119029877902967	42	7	9	3	7	ENSG00000099204	0.8949338306879809	False
0.0018220945451770125	0.009950248756218905	0.11769067863865434	0.1300462249614792	12	7	18	7	13	ENSG00000100280	0.8949338306879809	False
0.0005780282836243678	0.009950248756218905	0.10352769953094779	0.08981695397192113	12	7	12	3	8	ENSG00000104129	0.8949338306879809	False
0.0011195550645733015	0.009950248756218905	0.30658330932564465	0.2841863605671843	30	7	9	3	6	ENSG00000107485	0.8949338306879809	False
0.0011144741829055321	0.009950248756218905	0.12793853822265017	0.1827833817494895	20	7	15	4	9	ENSG00000109756	0.8949338306879809	False
0.0017810345985525868	0.009950248756218905	0.15069460332160406	0.11134342706080269	11	7	9	3	6	ENSG00000111554	0.8949338306879809	False
0.0012182210118155	0.009950248756218905	0.2046424190165689	0.19457927948842413	42	7	17	5	12	ENSG00000116199	0.8949338306879809	False
0.0002484054598474271	0.009950248756218905	0.06893916056171437	0.05755163301505621	6	7	16	5	10	ENSG00000116786	0.8949338306879809	False
0.0001712673373421547	0.009950248756218905	0.14885257856240264	0.22667058089611392	34	6	11	3	7	ENSG00000120708	0.8949338306879809	False
7.098745427694992e-05	0.009950248756218905	0.02123401970600613	0.022540820390282733	5	6	5	3	4	ENSG00000123342	0.8949338306879809	False
0.004063146067245175	0.009950248756218905	0.2209474084474084	0.20026131520194843	17	5	5	3	4	ENSG00000131437	0.8949338306879809	False
0.0014684026387905762	0.009950248756218905	0.11173730670809366	0.11287741384828763	5	5	7	3	5	ENSG00000132423	0.8949338306879809	False
