ct	transcript_id	count	frac
Progenitor	ENST00000367364	246.0	0.17202797202797201
Progenitor	ENST00000367367	42.0	0.02937062937062937
Progenitor	ENST00000367379	24.0	0.016783216783216783
Progenitor	ENST00000413409	19.0	0.013286713286713287
Progenitor	ENST00000442510	60.0	0.04195804195804196
Progenitor	ENST00000462363	7.0	0.0048951048951048955
Progenitor	ENST00000484135	295.0	0.2062937062937063
Progenitor	ENST00000491302	1.0	0.0006993006993006993
Progenitor	ENST00000529828	3.0	0.002097902097902098
Progenitor	ENST00000530727	40.0	0.027972027972027972
Progenitor	ENST00000643513	4.0	0.002797202797202797
Progenitor	ENST00000645247	4.0	0.002797202797202797
Progenitor	ENST00000646230	1.0	0.0006993006993006993
Progenitor	ENST00000697630	575.0	0.4020979020979021
Progenitor	ENST00000697632	3.0	0.002097902097902098
Progenitor	ENST00000697635	85.0	0.05944055944055944
T cell	ENST00000348564	827.0	0.04038283119292934
T cell	ENST00000367364	9092.0	0.4439669905757117
T cell	ENST00000367367	521.0	0.025440695346452463
T cell	ENST00000367379	378.0	0.018457932516236144
T cell	ENST00000391970	25.0	0.0012207627325553005
T cell	ENST00000413409	163.0	0.00795937301626056
T cell	ENST00000418674	79.0	0.00385761023487475
T cell	ENST00000427110	3.0	0.00014649152790663608
T cell	ENST00000442510	757.0	0.0369646955417745
T cell	ENST00000462363	214.0	0.010449728990673373
T cell	ENST00000484135	1961.0	0.09575662874163778
T cell	ENST00000491302	28.0	0.0013672542604619366
T cell	ENST00000529828	413.0	0.020167000341813564
T cell	ENST00000530727	830.0	0.04052932272083598
T cell	ENST00000643513	26.0	0.0012695932418575126
T cell	ENST00000645247	2.0	9.766101860442404e-05
T cell	ENST00000646230	2.0	9.766101860442404e-05
T cell	ENST00000697630	3384.0	0.16524244347868547
T cell	ENST00000697631	7.0	0.00034181356511548414
T cell	ENST00000697632	19.0	0.0009277796767420284
T cell	ENST00000697633	27.0	0.0013184237511597247
T cell	ENST00000697634	43.0	0.002099711899995117
T cell	ENST00000697635	1678.0	0.08193759460911178
