gse	n_reads	n_distinct_chains	n_molecules
GSE307660	21	15	5
GSE307660	22	12	5
GSE307660	22	17	2
GSE307660	22	18	2
GSE307660	23	11	8
GSE307660	23	15	2
GSE307660	23	16	2
GSE307660	24	8	26
GSE307660	24	16	1
GSE307660	25	11	6
GSE307660	25	13	3
GSE307660	25	16	1
GSE307660	26	13	1
GSE307660	26	14	3
GSE307660	27	11	6
GSE307660	27	13	3
GSE307660	27	14	2
GSE307660	28	14	4
GSE307660	29	15	1
GSE307660	30	12	1
GSE307660	31	14	2
GSE307660	33	18	1
GSE307660	36	9	5
GSE307660	36	13	4
GSE307660	39	12	3
GSE307660	39	20	3
GSE307660	39	27	1
GSE307660	40	22	1
GSE307660	41	18	1
GSE307660	42	15	3
GSE307660	42	16	2
GSE307660	49	16	1
GSE307660	52	20	1
GSE307660	53	1	38
GSE307660	55	20	1
GSE307660	57	1	21
GSE307660	57	11	2
GSE307660	59	2	15
GSE307660	60	1	27
GSE307660	60	10	1
GSE307660	61	1	17
GSE307660	61	14	1
GSE307660	61	40	1
GSE307660	63	31	1
GSE307660	64	2	18
GSE307660	65	2	16
GSE307660	66	1	12
GSE307660	66	3	6
GSE307660	67	3	9
GSE307660	68	3	8
GSE307660	68	4	7
GSE307660	68	5	4
GSE307660	68	19	1
GSE307660	69	1	7
GSE307660	69	3	9
GSE307660	70	2	17
GSE307660	70	3	6
GSE307660	71	2	8
GSE307660	71	3	3
GSE307660	72	1	10
GSE307660	72	2	6
GSE307660	73	1	8
GSE307660	73	2	7
GSE307660	73	3	7
GSE307660	74	1	4
GSE307660	74	2	13
GSE307660	74	4	1
GSE307660	74	5	2
GSE307660	74	18	1
GSE307660	75	1	6
GSE307660	75	2	12
GSE307660	75	5	3
GSE307660	76	1	6
GSE307660	76	2	9
GSE307660	77	1	8
GSE307660	77	2	9
GSE307660	77	28	1
GSE307660	78	1	4
GSE307660	78	2	6
GSE307660	78	3	4
GSE307660	78	4	1
GSE307660	78	17	1
GSE307660	79	2	4
GSE307660	79	3	8
GSE307660	79	4	4
GSE307660	79	6	2
GSE307660	80	1	5
GSE307660	80	3	2
GSE307660	81	1	5
GSE307660	81	2	6
GSE307660	81	3	4
GSE307660	81	7	2
GSE307660	82	24	1
GSE307660	82	25	1
GSE307660	83	2	7
GSE307660	83	4	3
GSE307660	83	5	3
GSE307660	84	2	3
GSE307660	84	5	4
GSE307660	85	2	8
GSE307660	85	3	3
GSE307660	85	5	6
GSE307660	86	2	6
GSE307660	86	3	10
GSE307660	86	4	4
GSE307660	87	1	5
GSE307660	87	3	5
GSE307660	88	2	3
GSE307660	88	3	3
GSE307660	89	2	3
GSE307660	89	3	6
GSE307660	90	2	2
GSE307660	90	3	4
GSE307660	91	3	4
GSE307660	91	4	1
GSE307660	91	5	5
GSE307660	91	6	2
GSE307660	92	2	6
GSE307660	92	3	4
GSE307660	92	4	5
GSE307660	92	5	1
GSE307660	92	8	1
GSE307660	93	2	7
GSE307660	93	3	3
GSE307660	93	4	2
GSE307660	94	2	8
GSE307660	94	4	2
GSE307660	94	6	1
GSE307660	94	12	1
GSE307660	95	2	5
GSE307660	95	4	3
GSE307660	95	5	2
GSE307660	96	1	3
GSE307660	96	2	5
GSE307660	96	3	2
GSE307660	96	4	1
GSE307660	96	5	2
GSE307660	96	7	1
GSE307660	97	1	1
GSE307660	97	2	2
GSE307660	97	3	2
GSE307660	98	1	3
GSE307660	98	5	1
GSE307660	98	6	2
GSE307660	99	4	5
GSE307660	99	16	2
GSE307660	100	2	2
GSE307660	100	3	2
GSE307660	100	5	1
GSE307660	100	6	3
GSE307660	100	14	1
GSE307660	101	3	2
GSE307660	101	4	2
GSE307660	101	6	3
GSE307660	102	2	2
GSE307660	102	6	1
GSE307660	102	7	1
GSE307660	103	2	5
GSE307660	103	3	1
GSE307660	103	4	2
GSE307660	103	40	1
GSE307660	104	2	4
GSE307660	104	3	5
GSE307660	104	4	3
GSE307660	105	3	2
GSE307660	106	2	4
GSE307660	106	3	4
GSE307660	107	2	1
GSE307660	107	3	4
GSE307660	107	5	1
GSE307660	108	4	5
GSE307660	108	7	1
GSE307660	109	4	3
GSE307660	111	3	3
GSE307660	111	4	1
GSE307660	111	5	1
GSE307660	112	3	3
GSE307660	112	6	1
GSE307660	112	41	1
GSE307660	113	2	3
GSE307660	113	3	2
GSE307660	114	2	3
GSE307660	114	3	5
GSE307660	114	4	1
GSE307660	114	5	2
GSE307660	114	7	1
GSE307660	114	39	1
GSE307660	115	3	3
GSE307660	115	5	1
GSE307660	116	1	1
GSE307660	116	2	1
GSE307660	116	3	2
GSE307660	116	4	2
GSE307660	116	5	1
GSE307660	116	27	1
GSE307660	117	5	2
GSE307660	117	6	2
GSE307660	118	4	2
GSE307660	118	5	2
GSE307660	118	8	1
GSE307660	119	3	4
GSE307660	119	5	2
GSE307660	119	6	2
GSE307660	119	7	1
GSE307660	120	2	1
GSE307660	120	8	2
GSE307660	121	3	2
GSE307660	121	4	3
GSE307660	121	5	1
GSE307660	122	2	1
GSE307660	122	3	1
GSE307660	122	4	2
GSE307660	122	5	1
GSE307660	123	4	1
GSE307660	123	5	1
GSE307660	124	3	1
GSE307660	124	4	2
GSE307660	125	5	2
GSE307660	126	3	2
GSE307660	127	2	1
GSE307660	127	3	1
GSE307660	127	4	2
GSE307660	127	28	1
GSE307660	128	4	2
GSE307660	128	5	3
GSE307660	128	6	1
GSE307660	129	4	1
GSE307660	129	5	1
GSE307660	129	17	1
GSE307660	129	38	1
GSE307660	129	54	1
GSE307660	130	1	1
GSE307660	130	2	2
GSE307660	130	3	1
GSE307660	130	4	3
GSE307660	130	5	1
GSE307660	130	6	1
GSE307660	131	2	1
GSE307660	131	4	3
GSE307660	131	5	1
GSE307660	131	7	2
GSE307660	132	3	1
GSE307660	132	4	1
GSE307660	132	6	2
GSE307660	133	2	5
GSE307660	133	3	2
GSE307660	133	4	2
GSE307660	133	6	1
GSE307660	134	3	1
GSE307660	134	7	1
GSE307660	135	2	1
GSE307660	135	3	2
GSE307660	135	4	2
GSE307660	136	2	2
GSE307660	136	3	2
GSE307660	136	5	1
GSE307660	137	2	3
GSE307660	138	1	2
GSE307660	139	2	4
GSE307660	139	3	1
GSE307660	139	7	1
GSE307660	140	8	1
GSE307660	141	2	1
GSE307660	141	4	1
GSE307660	142	2	2
GSE307660	142	3	2
GSE307660	142	4	3
GSE307660	143	4	2
GSE307660	145	2	1
GSE307660	145	3	2
GSE307660	145	4	1
GSE307660	146	3	3
GSE307660	146	30	1
GSE307660	147	4	2
GSE307660	147	7	1
GSE307660	148	3	2
GSE307660	148	4	3
GSE307660	148	5	1
GSE307660	149	3	2
GSE307660	150	2	1
GSE307660	150	7	2
GSE307660	151	2	3
GSE307660	151	3	1
GSE307660	151	8	1
GSE307660	151	52	1
GSE307660	153	3	2
GSE307660	153	7	1
GSE307660	154	3	1
GSE307660	154	4	1
GSE307660	155	3	2
GSE307660	155	4	1
GSE307660	155	7	2
GSE307660	158	3	1
GSE307660	158	4	2
GSE307660	158	18	1
GSE307660	160	6	1
GSE307660	160	54	1
GSE307660	161	4	1
GSE307660	161	30	1
GSE307660	162	2	2
GSE307660	162	3	1
GSE307660	163	4	2
GSE307660	163	29	1
GSE307660	165	3	1
GSE307660	166	4	1
GSE307660	166	8	1
GSE307660	168	2	1
GSE307660	168	4	1
GSE307660	169	3	1
GSE307660	169	4	1
GSE307660	169	5	2
GSE307660	169	7	1
GSE307660	169	8	1
GSE307660	170	3	2
GSE307660	171	3	2
GSE307660	172	4	1
GSE307660	173	2	1
GSE307660	173	3	2
GSE307660	173	4	2
GSE307660	174	3	4
GSE307660	174	5	3
GSE307660	175	3	1
GSE307660	175	12	1
GSE307660	176	4	1
GSE307660	176	8	1
GSE307660	177	3	1
GSE307660	177	4	4
GSE307660	178	3	1
GSE307660	178	6	1
GSE307660	179	2	1
GSE307660	179	4	3
GSE307660	179	5	1
GSE307660	180	3	1
GSE307660	181	4	1
GSE307660	181	6	1
GSE307660	182	4	2
GSE307660	182	6	2
GSE307660	184	21	1
GSE307660	185	2	2
GSE307660	185	3	2
GSE307660	185	4	1
GSE307660	186	3	2
GSE307660	187	3	1
GSE307660	187	7	1
GSE307660	188	4	1
GSE307660	188	9	1
GSE307660	189	4	1
GSE307660	191	3	2
GSE307660	191	5	1
GSE307660	193	3	2
GSE307660	194	3	1
GSE307660	194	4	1
GSE307660	194	82	1
GSE307660	195	4	1
GSE307660	197	3	1
GSE307660	198	3	1
GSE307660	199	4	1
GSE307660	201	3	1
GSE307660	202	2	1
GSE307660	202	7	1
GSE307660	202	8	1
GSE307660	204	5	1
GSE307660	204	9	1
GSE307660	205	3	1
GSE307660	205	5	3
GSE307660	206	3	1
GSE307660	206	5	1
GSE307660	206	7	2
GSE307660	207	3	1
GSE307660	207	5	1
GSE307660	207	13	1
GSE307660	209	4	1
GSE307660	209	5	1
GSE307660	209	6	1
GSE307660	210	3	1
GSE307660	212	6	1
GSE307660	213	4	2
GSE307660	213	7	1
GSE307660	214	1	1
GSE307660	214	4	1
GSE307660	214	5	1
GSE307660	214	45	1
GSE307660	215	10	1
GSE307660	217	3	1
GSE307660	217	6	1
GSE307660	220	3	1
GSE307660	220	4	1
GSE307660	220	11	1
GSE307660	220	50	1
GSE307660	221	30	1
GSE307660	222	6	2
GSE307660	223	3	1
GSE307660	223	7	1
GSE307660	224	81	1
GSE307660	225	2	1
GSE307660	226	4	1
GSE307660	226	6	1
GSE307660	227	7	1
GSE307660	229	3	1
GSE307660	230	3	1
GSE307660	231	3	1
GSE307660	232	4	1
GSE307660	233	5	1
GSE307660	233	7	1
GSE307660	235	2	2
GSE307660	235	3	2
GSE307660	236	8	1
GSE307660	236	85	1
GSE307660	237	5	1
GSE307660	238	5	2
GSE307660	238	7	1
GSE307660	239	7	1
GSE307660	239	41	1
GSE307660	241	3	1
GSE307660	244	5	1
GSE307660	247	3	2
GSE307660	247	4	2
GSE307660	247	51	1
GSE307660	249	34	1
GSE307660	250	6	1
GSE307660	251	5	1
GSE307660	251	9	1
GSE307660	252	3	1
GSE307660	253	4	1
GSE307660	254	7	2
GSE307660	255	3	2
GSE307660	255	4	1
GSE307660	256	3	1
GSE307660	257	9	2
GSE307660	258	7	1
GSE307660	259	3	1
GSE307660	259	27	1
GSE307660	261	6	1
GSE307660	261	8	1
GSE307660	261	10	1
GSE307660	262	4	2
GSE307660	263	2	1
GSE307660	263	5	1
GSE307660	263	6	2
GSE307660	264	8	1
GSE307660	266	3	1
GSE307660	266	78	1
GSE307660	269	3	1
GSE307660	269	4	2
GSE307660	270	2	1
GSE307660	271	3	1
GSE307660	272	5	1
GSE307660	272	6	1
GSE307660	274	4	3
GSE307660	275	50	1
GSE307660	276	6	1
GSE307660	277	7	1
GSE307660	281	6	1
GSE307660	283	2	1
GSE307660	283	9	1
GSE307660	284	4	1
GSE307660	285	7	1
GSE307660	286	2	1
GSE307660	286	3	1
GSE307660	286	4	1
GSE307660	288	4	1
GSE307660	289	4	1
GSE307660	289	5	2
GSE307660	289	10	1
GSE307660	291	4	2
GSE307660	292	3	1
GSE307660	292	6	1
GSE307660	293	6	1
GSE307660	294	4	1
GSE307660	294	6	2
GSE307660	296	8	1
GSE307660	300	8	2
GSE307660	300	10	1
GSE307660	301	4	3
GSE307660	302	5	1
GSE307660	303	6	1
GSE307660	304	4	1
GSE307660	305	3	1
GSE307660	305	4	1
GSE307660	307	5	1
GSE307660	309	5	1
GSE307660	310	5	1
GSE307660	313	6	1
GSE307660	315	17	1
GSE307660	316	3	1
GSE307660	316	4	1
GSE307660	317	4	1
GSE307660	317	117	1
GSE307660	318	4	1
GSE307660	320	2	1
GSE307660	321	58	1
GSE307660	322	6	1
GSE307660	322	70	1
GSE307660	323	6	1
GSE307660	324	3	1
GSE307660	324	6	1
GSE307660	325	4	1
GSE307660	326	6	1
GSE307660	327	4	1
GSE307660	327	5	1
GSE307660	327	6	1
GSE307660	328	9	1
GSE307660	329	2	2
GSE307660	329	5	1
GSE307660	329	6	1
GSE307660	330	3	1
GSE307660	330	4	1
GSE307660	331	8	1
GSE307660	334	5	1
GSE307660	335	4	1
GSE307660	335	9	1
GSE307660	336	8	1
GSE307660	338	4	1
GSE307660	339	4	1
GSE307660	339	8	1
GSE307660	339	9	1
GSE307660	340	6	1
GSE307660	341	6	1
GSE307660	342	3	1
GSE307660	342	5	1
GSE307660	343	18	1
GSE307660	346	3	1
GSE307660	346	5	1
GSE307660	346	7	1
GSE307660	347	3	1
GSE307660	350	6	1
GSE307660	350	8	1
GSE307660	352	3	1
GSE307660	352	6	1
GSE307660	352	71	1
GSE307660	353	6	1
GSE307660	353	60	1
GSE307660	354	6	2
GSE307660	356	5	1
GSE307660	357	8	1
GSE307660	360	7	1
GSE307660	361	5	1
GSE307660	363	3	1
GSE307660	364	5	1
GSE307660	366	4	2
GSE307660	369	9	1
GSE307660	370	21	1
GSE307660	371	3	1
GSE307660	372	5	1
GSE307660	373	4	1
GSE307660	374	4	1
GSE307660	374	5	1
GSE307660	374	6	1
GSE307660	374	8	1
GSE307660	375	7	1
GSE307660	376	5	1
GSE307660	378	4	1
GSE307660	378	5	1
GSE307660	380	7	1
GSE307660	381	4	1
GSE307660	382	3	1
GSE307660	383	9	1
GSE307660	384	6	1
GSE307660	384	65	1
GSE307660	386	6	1
GSE307660	386	8	1
GSE307660	387	7	1
GSE307660	387	9	1
GSE307660	389	6	1
GSE307660	390	7	1
GSE307660	391	7	1
GSE307660	392	4	1
GSE307660	393	75	1
GSE307660	395	3	1
GSE307660	400	5	1
GSE307660	401	7	1
GSE307660	404	8	2
GSE307660	406	5	2
GSE307660	407	4	1
GSE307660	408	6	1
GSE307660	409	2	1
GSE307660	410	8	1
GSE307660	411	11	1
GSE307660	412	8	1
GSE307660	414	6	1
GSE307660	415	7	1
GSE307660	416	6	1
GSE307660	416	16	1
GSE307660	418	12	1
GSE307660	425	5	1
GSE307660	426	7	1
GSE307660	428	4	1
GSE307660	428	5	1
GSE307660	430	5	1
GSE307660	431	6	1
GSE307660	432	5	1
GSE307660	433	98	1
GSE307660	442	5	1
GSE307660	442	6	1
GSE307660	442	26	1
GSE307660	444	5	1
GSE307660	444	7	1
GSE307660	446	5	1
GSE307660	447	4	1
GSE307660	449	6	1
GSE307660	450	6	1
GSE307660	450	27	1
GSE307660	451	7	1
GSE307660	456	3	1
GSE307660	456	6	1
GSE307660	458	7	1
GSE307660	459	7	1
GSE307660	460	11	1
GSE307660	464	6	1
GSE307660	467	7	1
GSE307660	469	75	1
GSE307660	470	39	1
GSE307660	471	6	1
GSE307660	472	8	2
GSE307660	474	6	1
GSE307660	474	12	1
GSE307660	475	7	1
GSE307660	477	5	1
GSE307660	479	140	1
GSE307660	480	6	1
GSE307660	481	4	2
GSE307660	482	7	1
GSE307660	483	5	1
GSE307660	484	10	1
GSE307660	485	4	1
GSE307660	485	6	1
GSE307660	485	7	1
GSE307660	486	3	1
GSE307660	488	7	1
GSE307660	491	5	1
GSE307660	492	5	1
GSE307660	492	6	2
GSE307660	493	12	1
GSE307660	498	5	1
GSE307660	499	5	1
GSE307660	502	9	1
GSE307660	503	75	1
GSE307660	505	7	1
GSE307660	506	27	1
GSE307660	507	5	1
GSE307660	508	5	1
GSE307660	508	7	1
GSE307660	509	5	1
GSE307660	511	10	1
GSE307660	513	6	1
GSE307660	516	51	1
GSE307660	521	5	1
GSE307660	523	6	1
GSE307660	525	4	1
GSE307660	525	10	1
GSE307660	526	14	1
GSE307660	528	4	2
GSE307660	532	4	2
GSE307660	532	10	1
GSE307660	538	4	1
GSE307660	538	7	1
GSE307660	540	7	1
GSE307660	540	54	1
GSE307660	543	6	1
GSE307660	547	4	1
GSE307660	547	5	1
GSE307660	547	7	2
GSE307660	550	8	1
GSE307660	551	4	1
GSE307660	551	9	1
GSE307660	552	9	1
GSE307660	553	7	1
GSE307660	555	9	1
GSE307660	556	5	1
GSE307660	556	6	1
GSE307660	557	5	1
GSE307660	558	6	1
GSE307660	561	8	1
GSE307660	563	10	1
GSE307660	563	40	1
GSE307660	564	4	1
GSE307660	567	6	1
GSE307660	567	8	1
GSE307660	568	6	1
GSE307660	569	3	1
GSE307660	569	14	1
GSE307660	572	6	2
GSE307660	575	5	1
GSE307660	575	6	1
GSE307660	576	3	1
GSE307660	579	5	1
GSE307660	581	6	1
GSE307660	582	5	1
GSE307660	582	10	1
GSE307660	583	9	1
GSE307660	587	6	1
GSE307660	587	7	1
GSE307660	588	8	1
GSE307660	589	6	1
GSE307660	595	5	1
GSE307660	596	4	2
GSE307660	597	3	1
GSE307660	600	63	1
GSE307660	601	5	1
GSE307660	605	6	1
GSE307660	608	7	1
GSE307660	608	8	1
GSE307660	612	6	1
GSE307660	613	12	1
GSE307660	614	5	1
GSE307660	614	9	1
GSE307660	617	8	1
GSE307660	619	8	1
GSE307660	621	60	1
GSE307660	623	6	1
GSE307660	626	6	1
GSE307660	627	9	1
GSE307660	629	5	1
GSE307660	630	85	1
GSE307660	632	6	1
GSE307660	636	5	2
GSE307660	636	6	1
GSE307660	637	5	1
GSE307660	639	6	1
GSE307660	643	131	1
GSE307660	649	11	1
GSE307660	652	6	1
GSE307660	658	7	1
GSE307660	658	11	1
GSE307660	659	4	1
GSE307660	662	6	1
GSE307660	662	7	1
GSE307660	665	7	1
GSE307660	666	5	1
GSE307660	667	23	1
GSE307660	669	9	1
GSE307660	673	6	1
GSE307660	673	7	1
GSE307660	674	8	1
GSE307660	678	8	1
GSE307660	678	43	1
GSE307660	679	6	1
GSE307660	682	5	2
GSE307660	683	4	1
GSE307660	684	8	1
GSE307660	684	202	1
GSE307660	687	4	1
GSE307660	688	5	1
GSE307660	689	8	1
GSE307660	690	9	1
GSE307660	692	6	2
GSE307660	692	8	1
GSE307660	694	8	1
GSE307660	695	8	1
GSE307660	696	8	1
GSE307660	697	4	1
GSE307660	700	9	1
GSE307660	700	27	1
GSE307660	701	8	1
GSE307660	702	8	1
GSE307660	703	17	1
GSE307660	704	5	1
GSE307660	705	5	1
GSE307660	705	11	1
GSE307660	706	42	1
GSE307660	710	10	1
GSE307660	720	124	1
GSE307660	724	11	1
GSE307660	728	6	1
GSE307660	730	7	1
GSE307660	732	9	1
GSE307660	733	8	1
GSE307660	734	8	1
GSE307660	735	54	1
GSE307660	737	9	1
GSE307660	738	12	1
GSE307660	742	8	1
GSE307660	744	13	1
GSE307660	746	9	1
GSE307660	747	9	1
GSE307660	751	16	1
GSE307660	752	11	1
GSE307660	754	7	1
GSE307660	759	4	1
GSE307660	762	7	1
GSE307660	765	8	1
GSE307660	771	260	1
GSE307660	776	5	1
GSE307660	776	9	1
GSE307660	778	29	1
GSE307660	780	6	2
GSE307660	781	11	1
GSE307660	783	5	1
GSE307660	784	7	1
GSE307660	785	7	1
GSE307660	785	9	1
GSE307660	786	6	1
GSE307660	787	5	1
GSE307660	790	7	1
GSE307660	791	11	1
GSE307660	792	6	1
GSE307660	793	8	1
GSE307660	796	7	1
GSE307660	800	12	1
GSE307660	801	7	1
GSE307660	802	6	1
GSE307660	807	7	1
GSE307660	807	76	1
GSE307660	812	11	1
GSE307660	817	7	1
GSE307660	818	8	1
GSE307660	822	8	1
GSE307660	826	9	1
GSE307660	827	8	1
GSE307660	827	9	1
GSE307660	830	47	1
GSE307660	831	8	1
GSE307660	838	5	1
GSE307660	841	6	1
GSE307660	841	7	1
GSE307660	843	6	1
GSE307660	843	7	1
GSE307660	845	10	1
GSE307660	864	11	1
GSE307660	865	8	2
GSE307660	869	9	1
GSE307660	870	6	1
GSE307660	880	112	1
GSE307660	882	17	1
GSE307660	886	6	1
GSE307660	886	104	1
GSE307660	889	138	1
GSE307660	890	11	1
GSE307660	892	7	1
GSE307660	894	172	1
GSE307660	897	7	1
GSE307660	897	8	1
GSE307660	901	8	2
GSE307660	905	6	1
GSE307660	923	4	1
GSE307660	924	10	1
GSE307660	925	8	1
GSE307660	930	11	1
GSE307660	938	14	1
GSE307660	942	9	1
GSE307660	944	9	1
GSE307660	958	9	1
GSE307660	964	7	1
GSE307660	964	8	1
GSE307660	965	6	1
GSE307660	967	137	1
GSE307660	971	55	1
GSE307660	977	23	1
GSE307660	981	91	1
GSE307660	990	5	1
GSE307660	992	13	1
GSE307660	998	12	1
GSE307660	999	4	1
GSE307660	1003	11	1
GSE307660	1004	7	1
GSE307660	1007	7	1
GSE307660	1007	12	1
GSE307660	1012	10	1
GSE307660	1025	7	1
GSE307660	1030	9	1
GSE307660	1035	13	1
GSE307660	1038	10	1
GSE307660	1043	5	1
GSE307660	1045	6	1
GSE307660	1065	87	1
GSE307660	1074	5	1
GSE307660	1075	21	1
GSE307660	1080	10	1
GSE307660	1084	6	1
GSE307660	1087	8	1
GSE307660	1089	9	1
GSE307660	1093	5	1
GSE307660	1093	7	1
GSE307660	1097	11	1
GSE307660	1108	8	1
GSE307660	1128	10	1
GSE307660	1132	5	1
GSE307660	1133	9	1
GSE307660	1133	13	1
GSE307660	1136	9	1
GSE307660	1141	7	1
GSE307660	1145	67	1
GSE307660	1147	6	1
GSE307660	1155	8	2
GSE307660	1162	9	1
GSE307660	1162	11	1
GSE307660	1162	12	1
GSE307660	1165	104	1
GSE307660	1169	12	1
GSE307660	1178	12	1
GSE307660	1186	12	1
GSE307660	1188	8	1
GSE307660	1191	6	1
GSE307660	1208	10	1
GSE307660	1212	6	1
GSE307660	1216	10	2
GSE307660	1216	80	1
GSE307660	1220	262	1
GSE307660	1242	7	1
GSE307660	1248	12	1
GSE307660	1278	10	1
GSE307660	1284	5	1
GSE307660	1286	9	1
GSE307660	1289	13	1
GSE307660	1303	133	1
GSE307660	1305	12	1
GSE307660	1305	59	1
GSE307660	1309	57	1
GSE307660	1316	10	1
GSE307660	1318	8	1
GSE307660	1329	156	1
GSE307660	1335	11	1
GSE307660	1348	62	1
GSE307660	1352	11	1
GSE307660	1353	7	1
GSE307660	1358	10	1
GSE307660	1360	8	1
GSE307660	1361	9	1
GSE307660	1364	60	1
GSE307660	1371	16	1
GSE307660	1372	8	1
GSE307660	1389	10	1
GSE307660	1390	14	1
GSE307660	1392	9	1
GSE307660	1396	8	1
GSE307660	1397	14	1
GSE307660	1400	11	1
GSE307660	1405	10	1
GSE307660	1428	12	1
GSE307660	1433	15	1
GSE307660	1441	14	1
GSE307660	1443	7	1
GSE307660	1446	122	1
GSE307660	1467	13	1
GSE307660	1470	7	1
GSE307660	1483	142	1
GSE307660	1488	10	1
GSE307660	1493	13	1
GSE307660	1495	12	1
GSE307660	1504	15	1
GSE307660	1514	13	1
GSE307660	1526	23	1
GSE307660	1529	7	1
GSE307660	1545	16	1
GSE307660	1548	12	1
GSE307660	1549	16	1
GSE307660	1566	18	1
GSE307660	1567	12	1
GSE307660	1575	13	1
GSE307660	1577	12	1
GSE307660	1578	286	1
GSE307660	1585	45	1
GSE307660	1596	11	1
GSE307660	1615	15	1
GSE307660	1616	220	1
GSE307660	1631	11	1
GSE307660	1632	123	1
GSE307660	1632	125	1
GSE307660	1656	12	1
GSE307660	1669	91	1
GSE307660	1671	7	1
GSE307660	1677	13	1
GSE307660	1690	12	1
GSE307660	1714	17	1
GSE307660	1723	14	1
GSE307660	1728	11	1
GSE307660	1747	10	1
GSE307660	1754	11	1
GSE307660	1756	12	1
GSE307660	1773	13	1
GSE307660	1775	32	1
GSE307660	1786	9	1
GSE307660	1802	12	1
GSE307660	1842	183	1
GSE307660	1884	12	1
GSE307660	1889	13	1
GSE307660	1892	9	1
GSE307660	1895	14	1
GSE307660	1912	347	1
GSE307660	1927	125	1
GSE307660	1953	15	1
GSE307660	1960	77	1
GSE307660	1967	11	1
GSE307660	1995	511	1
GSE307660	2003	9	1
GSE307660	2012	8	1
GSE307660	2021	13	1
GSE307660	2029	17	1
GSE307660	2031	22	1
GSE307660	2041	14	1
GSE307660	2085	13	1
GSE307660	2114	10	1
GSE307660	2141	13	1
GSE307660	2164	16	1
GSE307660	2173	11	1
GSE307660	2183	12	1
GSE307660	2190	14	1
GSE307660	2206	15	1
GSE307660	2216	21	1
GSE307660	2249	158	1
GSE307660	2260	16	1
GSE307660	2288	54	1
GSE307660	2308	134	1
GSE307660	2317	19	1
GSE307660	2322	13	1
GSE307660	2365	91	1
GSE307660	2399	13	1
GSE307660	2451	65	1
GSE307660	2471	16	1
GSE307660	2473	16	1
GSE307660	2496	129	1
GSE307660	2502	15	1
GSE307660	2565	19	1
GSE307660	2567	27	1
GSE307660	2575	17	1
GSE307660	2650	14	1
GSE307660	2655	17	1
GSE307660	2676	18	1
GSE307660	2682	20	1
GSE307660	2703	18	1
GSE307660	2742	17	1
GSE307660	2749	49	1
GSE307660	2928	16	1
GSE307660	2940	474	1
GSE307660	2951	16	1
GSE307660	2961	23	1
GSE307660	3009	19	1
GSE307660	3074	59	1
GSE307660	3090	16	1
GSE307660	3115	15	1
GSE307660	3216	20	1
GSE307660	3246	79	1
GSE307660	3309	34	1
GSE307660	3343	507	1
GSE307660	3361	30	1
GSE307660	3437	972	1
GSE307660	3535	16	1
GSE307660	3585	20	1
GSE307660	3611	22	1
GSE307660	3612	124	1
GSE307660	3649	18	1
GSE307660	3655	422	1
GSE307660	3703	21	1
GSE307660	3819	20	1
GSE307660	3891	148	1
GSE307660	3905	13	1
GSE307660	3991	17	1
GSE307660	4247	18	1
GSE307660	4314	34	1
GSE307660	4494	29	1
GSE307660	4622	477	1
GSE307660	4696	20	1
GSE307660	4876	25	1
GSE307660	4915	18	1
GSE307660	5241	25	1
GSE307660	5347	189	1
GSE307660	5441	209	1
GSE307660	5510	35	1
GSE307660	5914	24	1
GSE307660	6332	25	1
GSE307660	6689	211	1
GSE307660	6724	22	1
GSE307660	7324	25	1
GSE307660	7594	109	1
GSE307660	7650	1193	1
GSE307660	8078	161	1
GSE307660	8148	372	1
GSE307660	8632	201	1
GSE307660	8882	232	1
GSE307660	8984	362	1
GSE307660	9558	134	1
GSE307660	9991	146	1
GSE307660	10174	37	1
GSE307660	10412	175	1
GSE307660	10795	192	1
GSE307660	10900	279	1
GSE307660	10906	245	1
GSE307660	11914	184	1
GSE307660	12674	1622	1
GSE307660	14400	314	1
GSE307660	17058	318	1
GSE307660	17340	187	1
GSE307660	18329	718	1
GSE307660	19637	392	1
GSE307660	20118	211	1
GSE307660	24014	159	1
GSE307660	24182	471	1
GSE307660	26133	893	1
GSE307660	27445	1057	1
GSE307660	13	12	10
GSE307660	13	13	2
GSE307660	14	11	21
GSE307660	14	13	7
GSE307660	14	14	1
GSE307660	15	15	2
GSE307660	16	13	8
GSE307660	16	14	6
GSE307660	17	11	14
GSE307660	17	13	5
GSE307660	17	15	3
GSE307660	18	15	3
GSE307660	18	16	5
GSE307660	18	17	1
GSE307660	18	18	1
GSE307660	19	13	4
GSE307660	19	14	1
GSE307660	19	17	1
GSE307660	20	13	3
GSE307660	20	15	2
GSE307660	20	16	4
GSE307660	20	18	1
GSE307660	21	13	7
GSE307660	21	16	2
GSE307660	21	17	2
GSE307660	21	18	1
GSE307660	22	13	4
GSE307660	22	14	4
GSE307660	22	16	2
GSE307660	23	14	1
GSE307660	23	17	1
GSE307660	24	10	15
GSE307660	24	13	2
GSE307660	24	14	1
GSE307660	24	15	3
GSE307660	25	12	6
GSE307660	25	14	1
GSE307660	25	15	3
GSE307660	25	17	2
GSE307660	25	18	2
GSE307660	25	19	1
GSE307660	26	12	1
GSE307660	26	15	2
GSE307660	26	16	1
GSE307660	26	17	2
GSE307660	26	19	2
GSE307660	27	18	1
GSE307660	27	20	1
GSE307660	28	13	2
GSE307660	28	15	1
GSE307660	28	16	2
GSE307660	28	19	1
GSE307660	28	20	3
GSE307660	29	13	1
GSE307660	29	16	2
