gse	n_reads	n_distinct_chains	n_molecules
GSE307660	37	2	169
GSE307660	37	3	156
GSE307660	37	4	133
GSE307660	37	5	93
GSE307660	37	6	45
GSE307660	37	7	22
GSE307660	37	8	11
GSE307660	38	1	196
GSE307660	38	2	160
GSE307660	38	3	121
GSE307660	38	4	111
GSE307660	38	5	69
GSE307660	38	6	53
GSE307660	38	7	33
GSE307660	38	8	11
GSE307660	38	9	7
GSE307660	39	1	142
GSE307660	39	2	146
GSE307660	39	3	98
GSE307660	39	4	74
GSE307660	39	5	55
GSE307660	39	6	45
GSE307660	39	7	23
GSE307660	39	8	14
GSE307660	39	9	5
GSE307660	40	2	122
GSE307660	40	3	84
GSE307660	40	4	77
GSE307660	40	5	62
GSE307660	40	6	36
GSE307660	40	7	26
GSE307660	40	8	9
GSE307660	40	9	5
GSE307660	41	1	99
GSE307660	41	2	100
GSE307660	41	3	67
GSE307660	41	4	74
GSE307660	41	5	64
GSE307660	41	6	36
GSE307660	41	7	23
GSE307660	41	8	11
GSE307660	41	9	5
GSE307660	42	1	101
GSE307660	42	2	105
GSE307660	42	3	84
GSE307660	42	4	66
GSE307660	42	5	59
GSE307660	42	6	42
GSE307660	42	7	16
GSE307660	42	8	6
GSE307660	42	9	10
GSE307660	43	1	77
GSE307660	43	2	98
GSE307660	43	3	70
GSE307660	43	4	64
GSE307660	43	5	62
GSE307660	43	6	35
GSE307660	43	7	17
GSE307660	43	8	11
GSE307660	43	9	9
GSE307660	44	2	80
GSE307660	44	3	50
GSE307660	44	4	51
GSE307660	44	5	48
GSE307660	44	6	28
GSE307660	44	7	13
GSE307660	44	8	6
GSE307660	44	9	6
GSE307660	45	2	77
GSE307660	45	3	42
GSE307660	45	4	50
GSE307660	45	5	26
GSE307660	45	6	35
GSE307660	45	7	15
GSE307660	45	8	10
GSE307660	45	9	5
GSE307660	46	1	64
GSE307660	46	2	75
GSE307660	46	3	41
GSE307660	46	4	45
GSE307660	46	5	30
GSE307660	46	6	29
GSE307660	46	7	14
GSE307660	46	8	6
GSE307660	46	9	7
GSE307660	47	2	50
GSE307660	47	3	49
GSE307660	47	4	29
GSE307660	47	5	38
GSE307660	47	6	30
GSE307660	47	7	13
GSE307660	47	8	8
GSE307660	47	9	10
GSE307660	47	10	2
GSE307660	48	2	39
GSE307660	48	3	43
GSE307660	48	4	34
GSE307660	48	5	30
GSE307660	48	6	14
GSE307660	48	7	15
GSE307660	48	8	5
GSE307660	48	9	6
GSE307660	48	10	3
GSE307660	49	1	40
GSE307660	49	2	52
GSE307660	49	3	46
GSE307660	49	4	32
GSE307660	49	5	19
GSE307660	49	6	17
GSE307660	49	7	15
GSE307660	49	8	13
GSE307660	49	10	4
GSE307660	50	2	39
GSE307660	50	3	25
GSE307660	50	4	29
GSE307660	50	5	28
GSE307660	50	6	21
GSE307660	50	7	9
GSE307660	50	8	8
GSE307660	50	9	4
GSE307660	51	2	40
GSE307660	51	3	36
GSE307660	51	4	18
GSE307660	51	5	25
GSE307660	51	6	18
GSE307660	51	7	17
GSE307660	51	8	9
GSE307660	52	2	34
GSE307660	52	3	33
GSE307660	52	4	24
GSE307660	52	5	21
GSE307660	52	6	17
GSE307660	52	7	9
GSE307660	52	8	14
GSE307660	53	2	22
GSE307660	53	3	22
GSE307660	53	4	25
GSE307660	53	5	18
GSE307660	53	6	17
GSE307660	53	7	17
GSE307660	53	8	4
GSE307660	53	9	6
GSE307660	53	10	5
GSE307660	53	11	4
GSE307660	54	2	43
GSE307660	54	3	25
GSE307660	54	4	25
GSE307660	54	5	18
GSE307660	54	6	26
GSE307660	54	7	7
GSE307660	54	9	4
GSE307660	55	1	25
GSE307660	55	2	29
GSE307660	55	3	24
GSE307660	55	4	21
GSE307660	55	5	13
GSE307660	55	6	18
GSE307660	55	7	9
GSE307660	55	8	7
GSE307660	55	9	3
GSE307660	55	10	4
GSE307660	56	2	37
GSE307660	56	3	29
GSE307660	56	4	20
GSE307660	56	5	8
GSE307660	56	6	16
GSE307660	56	7	12
GSE307660	56	8	4
GSE307660	56	9	4
GSE307660	56	10	4
GSE307660	57	3	13
GSE307660	57	4	15
GSE307660	57	5	10
GSE307660	57	6	8
GSE307660	57	7	9
GSE307660	57	8	8
GSE307660	57	9	2
GSE307660	57	10	5
GSE307660	58	3	19
GSE307660	58	4	17
GSE307660	58	5	11
GSE307660	58	6	8
GSE307660	58	7	8
GSE307660	58	8	8
GSE307660	59	3	14
GSE307660	59	4	14
GSE307660	59	5	16
GSE307660	59	6	10
GSE307660	59	7	6
GSE307660	60	3	10
GSE307660	60	4	9
GSE307660	60	5	15
GSE307660	60	6	10
GSE307660	60	8	10
GSE307660	60	9	2
GSE307660	60	11	1
GSE307660	61	3	12
GSE307660	61	4	16
GSE307660	61	5	12
GSE307660	61	6	8
GSE307660	61	7	10
GSE307660	61	8	5
GSE307660	62	4	14
GSE307660	62	5	6
GSE307660	62	6	12
GSE307660	62	7	13
GSE307660	62	8	5
GSE307660	62	9	10
GSE307660	62	11	3
GSE307660	63	3	8
GSE307660	63	4	3
GSE307660	63	5	10
GSE307660	63	6	10
GSE307660	63	8	4
GSE307660	63	9	4
GSE307660	64	3	8
GSE307660	64	5	8
GSE307660	64	6	7
GSE307660	64	7	5
GSE307660	64	9	2
GSE307660	64	10	2
GSE307660	65	4	10
GSE307660	65	5	7
GSE307660	65	6	4
GSE307660	65	7	4
GSE307660	65	8	4
GSE307660	65	11	1
GSE307660	66	4	13
GSE307660	66	5	8
GSE307660	66	6	4
GSE307660	66	7	3
GSE307660	66	8	4
GSE307660	66	9	4
GSE307660	66	10	1
GSE307660	66	11	4
GSE307660	67	2	20
GSE307660	67	4	7
GSE307660	67	5	6
GSE307660	67	6	5
GSE307660	67	7	5
GSE307660	67	8	4
GSE307660	68	6	5
GSE307660	68	7	4
GSE307660	68	8	6
GSE307660	68	9	3
GSE307660	68	10	1
GSE307660	69	4	8
GSE307660	69	5	5
GSE307660	69	6	5
GSE307660	69	7	6
GSE307660	69	8	3
GSE307660	69	9	2
GSE307660	69	11	5
GSE307660	70	4	6
GSE307660	70	5	6
GSE307660	70	6	6
GSE307660	70	7	6
GSE307660	70	8	2
GSE307660	71	4	6
GSE307660	71	5	5
GSE307660	71	6	4
GSE307660	71	7	1
GSE307660	71	9	2
GSE307660	71	11	2
GSE307660	72	3	2
GSE307660	72	4	6
GSE307660	72	5	7
GSE307660	72	6	3
GSE307660	72	8	2
GSE307660	72	9	2
GSE307660	73	4	6
GSE307660	73	5	5
GSE307660	73	6	5
GSE307660	73	7	4
GSE307660	73	8	4
GSE307660	73	10	2
GSE307660	74	6	6
GSE307660	74	7	3
