n_runs	cum_frac
1	0.0787062233136435
2	0.1252936881927391
3	0.1478639853100595
4	0.19294705869339174
5	0.21424747240105307
6	0.23271166567111348
7	0.2428707329483861
8	0.2754319594699232
9	0.2972146633924028
10	0.31307714431096656
11	0.31470542687108694
12	0.3287449392712551
13	0.33008119289396254
14	0.34503661423419835
15	0.3585053428021504
16	0.35868675471781597
17	0.3607840534501449
18	0.3664918917723059
19	0.37117762881352184
20	0.37565540585385276
21	0.38008008672374505
22	0.38361098205791905
23	0.3934470476316896
24	0.40173005022012787
25	0.40533616512909004
26	0.4060529634300126
27	0.4097033251476737
28	0.41003517621291563
29	0.4109909072808124
30	0.4146102962323842
31	0.4163536204951218
32	0.4196632817858012
33	0.4216986349859516
34	0.4232959447799827
35	0.42539324351231167
36	0.42659233202805247
37	0.4279639830977191
38	0.4291940443795491
39	0.4302736665118028
40	0.43160992013451027
41	0.4324152120528307
42	0.43249043162761885
43	0.4350611712130263
44	0.4397336342116325
45	0.44153890400654855
46	0.44460520784938384
47	0.4468662197738988
48	0.4507112674498352
49	0.4539766819318157
50	0.45580849981195104
51	0.45747217981903054
52	0.4578438530121015
53	0.4581801287582133
54	0.4585119798234552
55	0.46010486493661645
56	0.4611756377071304
57	0.4622419857967744
58	0.46336585473772707
59	0.46433043516736355
60	0.46552067432136457
61	0.46678613305015376
62	0.46775513816066017
63	0.46815778411982034
