study	run	cell_type	class	reads
GSE307660	SRR35267343	Monocyte / myeloid	RO	2760
GSE307660	SRR35267343	Monocyte / myeloid	other	41
GSE307660	SRR35267343	NK	A	8
GSE307660	SRR35267343	NK	AB	41
GSE307660	SRR35267343	NK	ABC	35
GSE307660	SRR35267343	NK	B	25
GSE307660	SRR35267343	NK	BC	38
GSE307660	SRR35267343	NK	RO	8
GSE307660	SRR35267343	Plasma cell	A	8
GSE307660	SRR35267343	Plasma cell	AB	34
GSE307660	SRR35267343	Plasma cell	ABC	81
GSE307660	SRR35267343	Plasma cell	B	10
GSE307660	SRR35267343	Plasma cell	BC	59
GSE307660	SRR35267343	T cell	A	2
GSE307660	SRR35267343	T cell	AB	21
GSE307660	SRR35267343	T cell	ABC	20
GSE307660	SRR35267343	T cell	B	61
GSE307660	SRR35267343	T cell	BC	25
GSE307660	SRR35267343	T cell	RO	8
GSE307660	SRR35267343	Unassigned	A	90
GSE307660	SRR35267343	Unassigned	AB	656
GSE307660	SRR35267343	Unassigned	ABC	2077
GSE307660	SRR35267343	Unassigned	AC	5
GSE307660	SRR35267343	Unassigned	B	1508
GSE307660	SRR35267343	Unassigned	BC	960
GSE307660	SRR35267343	Unassigned	C	3
GSE307660	SRR35267343	Unassigned	RO	1102
GSE307660	SRR35267343	Unassigned	other	8
GSE307660	SRR35267344	B cell	ABC	20
GSE307660	SRR35267344	B cell	AC	1
GSE307660	SRR35267344	B cell	BC	3
GSE307660	SRR35267344	Dendritic cell	A	4
GSE307660	SRR35267344	Dendritic cell	AB	14
GSE307660	SRR35267344	Dendritic cell	ABC	6
GSE307660	SRR35267344	Dendritic cell	B	311
GSE307660	SRR35267344	Dendritic cell	BC	21
GSE307660	SRR35267344	Dendritic cell	RO	575
GSE307660	SRR35267344	Erythroid	B	21
GSE307660	SRR35267344	Erythroid	BC	6
GSE307660	SRR35267344	Erythroid	RO	19
GSE307660	SRR35267344	Monocyte / myeloid	A	31
GSE307660	SRR35267344	Monocyte / myeloid	AB	166
GSE307660	SRR35267344	Monocyte / myeloid	ABC	84
GSE307660	SRR35267344	Monocyte / myeloid	B	1783
GSE307660	SRR35267344	Monocyte / myeloid	BC	190
GSE307660	SRR35267344	Monocyte / myeloid	C	5
GSE307660	SRR35267344	Monocyte / myeloid	RO	1611
GSE307660	SRR35267344	Monocyte / myeloid	other	19
GSE307660	SRR35267344	NK	A	3
GSE307660	SRR35267344	NK	AB	3
GSE307660	SRR35267344	NK	ABC	4
GSE307660	SRR35267344	NK	B	7
GSE307660	SRR35267344	NK	BC	3
GSE307660	SRR35267344	NK	RO	10
GSE307660	SRR35267344	T cell	A	7
GSE307660	SRR35267344	T cell	AB	65
GSE307660	SRR35267344	T cell	ABC	69
GSE307660	SRR35267344	T cell	B	250
GSE307660	SRR35267344	T cell	BC	118
GSE307660	SRR35267344	T cell	C	3
GSE307660	SRR35267344	T cell	RO	206
GSE307660	SRR35267344	Unassigned	A	78
GSE307660	SRR35267344	Unassigned	AB	989
GSE307660	SRR35267344	Unassigned	ABC	1378
GSE307660	SRR35267344	Unassigned	AC	7
GSE307660	SRR35267344	Unassigned	B	4338
GSE307660	SRR35267344	Unassigned	BC	1250
GSE307660	SRR35267344	Unassigned	C	13
GSE307660	SRR35267344	Unassigned	RO	3943
GSE307660	SRR35267344	Unassigned	other	34
GSE307660	SRR35267345	B cell	ABC	14
GSE307660	SRR35267345	Dendritic cell	B	6
GSE307660	SRR35267345	Dendritic cell	RO	10
GSE307660	SRR35267345	Erythroid	B	33
GSE307660	SRR35267345	Erythroid	RO	40
GSE307660	SRR35267345	Monocyte / myeloid	A	13
GSE307660	SRR35267345	Monocyte / myeloid	AB	120
GSE307660	SRR35267345	Monocyte / myeloid	ABC	96
GSE307660	SRR35267345	Monocyte / myeloid	B	2903
GSE307660	SRR35267345	Monocyte / myeloid	BC	216
GSE307660	SRR35267345	Monocyte / myeloid	C	6
GSE307660	SRR35267345	Monocyte / myeloid	RO	2517
GSE307660	SRR35267345	Monocyte / myeloid	other	29
GSE307660	SRR35267345	NK	A	10
GSE307660	SRR35267345	NK	AB	14
GSE307660	SRR35267345	NK	ABC	22
GSE307660	SRR35267345	NK	B	15
GSE307660	SRR35267345	NK	BC	5
GSE307660	SRR35267345	NK	RO	17
GSE307660	SRR35267345	Plasma cell	RO	1
GSE307660	SRR35267345	T cell	A	6
GSE307660	SRR35267345	T cell	AB	55
GSE307660	SRR35267345	T cell	ABC	190
GSE307660	SRR35267345	T cell	B	308
GSE307660	SRR35267345	T cell	BC	96
GSE307660	SRR35267345	T cell	C	2
GSE307660	SRR35267345	T cell	RO	225
GSE307660	SRR35267345	T cell	other	4
GSE307660	SRR35267345	Unassigned	A	143
GSE307660	SRR35267345	Unassigned	AB	1618
GSE307660	SRR35267345	Unassigned	ABC	2335
GSE307660	SRR35267345	Unassigned	AC	11
GSE307660	SRR35267345	Unassigned	B	6010
GSE307660	SRR35267345	Unassigned	BC	2080
GSE307660	SRR35267345	Unassigned	C	26
GSE307660	SRR35267345	Unassigned	RO	3300
GSE307660	SRR35267345	Unassigned	other	50
