cell_type	n_cells	median_umap1	median_umap2	canvas_x_fraction	canvas_y_from_top_fraction
B cell	6051	3.994659185409546	-9.50525951385498	0.23066623135061526	0.25269272430745326
NK	6471	12.45766830444336	0.6912502646446228	0.5784793884500181	0.8057500483818277
T cell	7059	11.357720375061035	0.1957910656929016	0.5332736753777044	0.7788764078212052
Monocyte	5057	16.691476821899414	-2.518275022506714	0.7524806551742644	0.6316658268765597
