study	run	cell_type	class	reads
GSE276974	ONT10X2_10	B cell	A	51
GSE276974	ONT10X2_10	B cell	AB	301
GSE276974	ONT10X2_10	B cell	ABC	656
GSE276974	ONT10X2_10	B cell	AC	9
GSE276974	ONT10X2_10	B cell	B	155
GSE276974	ONT10X2_10	B cell	BC	128
GSE276974	ONT10X2_10	B cell	C	2
GSE276974	ONT10X2_10	B cell	RO	133
GSE276974	ONT10X2_10	B cell	other	9
GSE276974	ONT10X2_10	Dendritic cell	A	7
GSE276974	ONT10X2_10	Dendritic cell	AB	4
GSE276974	ONT10X2_10	Dendritic cell	ABC	33
GSE276974	ONT10X2_10	Dendritic cell	AC	1
GSE276974	ONT10X2_10	Dendritic cell	B	4
GSE276974	ONT10X2_10	Dendritic cell	BC	1
GSE276974	ONT10X2_10	Erythroid	A	6
GSE276974	ONT10X2_10	Erythroid	AB	6
GSE276974	ONT10X2_10	Erythroid	B	34
GSE276974	ONT10X2_10	Erythroid	RO	36
GSE276974	ONT10X2_10	Monocyte	A	27
GSE276974	ONT10X2_10	Monocyte	AB	81
GSE276974	ONT10X2_10	Monocyte	ABC	65
GSE276974	ONT10X2_10	Monocyte	B	334
GSE276974	ONT10X2_10	Monocyte	BC	107
GSE276974	ONT10X2_10	Monocyte	RO	256
GSE276974	ONT10X2_10	Monocyte	other	3
GSE276974	ONT10X2_10	NK	A	268
GSE276974	ONT10X2_10	NK	AB	853
GSE276974	ONT10X2_10	NK	ABC	1719
GSE276974	ONT10X2_10	NK	AC	13
GSE276974	ONT10X2_10	NK	B	384
GSE276974	ONT10X2_10	NK	BC	492
GSE276974	ONT10X2_10	NK	C	3
GSE276974	ONT10X2_10	NK	RO	144
GSE276974	ONT10X2_10	NK	other	33
GSE276974	ONT10X2_10	Plasma cell	A	1
GSE276974	ONT10X2_10	Plasma cell	AB	1
GSE276974	ONT10X2_10	Plasma cell	ABC	24
GSE276974	ONT10X2_10	Plasma cell	B	3
GSE276974	ONT10X2_10	Plasma cell	RO	2
GSE276974	ONT10X2_10	Plasma cell	other	1
GSE276974	ONT10X2_10	Progenitor	A	11
GSE276974	ONT10X2_10	Progenitor	AB	73
GSE276974	ONT10X2_10	Progenitor	ABC	84
GSE276974	ONT10X2_10	Progenitor	B	130
GSE276974	ONT10X2_10	Progenitor	BC	52
GSE276974	ONT10X2_10	Progenitor	RO	42
GSE276974	ONT10X2_10	T cell	A	232
GSE276974	ONT10X2_10	T cell	AB	890
GSE276974	ONT10X2_10	T cell	ABC	496
GSE276974	ONT10X2_10	T cell	B	4310
GSE276974	ONT10X2_10	T cell	BC	701
GSE276974	ONT10X2_10	T cell	C	18
GSE276974	ONT10X2_10	T cell	RO	5338
GSE276974	ONT10X2_10	T cell	other	101
GSE276974	ONT10X2_10	Unassigned	A	6
GSE276974	ONT10X2_10	Unassigned	AB	24
GSE276974	ONT10X2_10	Unassigned	ABC	3
GSE276974	ONT10X2_10	Unassigned	B	149
GSE276974	ONT10X2_10	Unassigned	BC	12
GSE276974	ONT10X2_10	Unassigned	RO	253
GSE276974	ONT10X2_10	Unassigned	other	2
GSE276974	ONT10X2_19	B cell	A	87
GSE276974	ONT10X2_19	B cell	AB	648
GSE276974	ONT10X2_19	B cell	ABC	478
GSE276974	ONT10X2_19	B cell	B	252
GSE276974	ONT10X2_19	B cell	BC	262
GSE276974	ONT10X2_19	B cell	C	1
GSE276974	ONT10X2_19	B cell	RO	95
GSE276974	ONT10X2_19	B cell	other	15
GSE276974	ONT10X2_19	Dendritic cell	A	4
GSE276974	ONT10X2_19	Dendritic cell	AB	37
GSE276974	ONT10X2_19	Dendritic cell	ABC	14
GSE276974	ONT10X2_19	Dendritic cell	B	17
GSE276974	ONT10X2_19	Dendritic cell	BC	1
GSE276974	ONT10X2_19	Dendritic cell	RO	8
GSE276974	ONT10X2_19	Erythroid	A	2
GSE276974	ONT10X2_19	Erythroid	AB	13
GSE276974	ONT10X2_19	Erythroid	ABC	10
GSE276974	ONT10X2_19	Erythroid	B	28
GSE276974	ONT10X2_19	Erythroid	BC	5
GSE276974	ONT10X2_19	Erythroid	RO	31
GSE276974	ONT10X2_19	Erythroid	other	4
GSE276974	ONT10X2_19	Monocyte	A	13
GSE276974	ONT10X2_19	Monocyte	AB	87
